Distance_(pixels),Gray_Value,X_Fit:_Gaussian,Fit:_Gaussian
0,35.000,0.000,21.369
1,34.923,0.598,21.571
2,34.656,1.195,21.774
3,34.147,1.793,21.977
4,33.802,2.390,22.180
5,34.336,2.988,22.384
6,34.869,3.586,22.589
7,34.925,4.183,22.794
8,34.419,4.781,23.000
9,34.281,5.378,23.206
10,33.684,5.976,23.413
11,34.205,6.574,23.620
12,34.405,7.171,23.828
13,34.484,7.769,24.037
14,46.025,8.366,24.246
15,47.622,8.964,24.455
16,33.796,9.562,24.665
17,35.758,10.159,24.875
18,35.010,10.757,25.086
19,33.067,11.354,25.298
20,34.833,11.952,25.510
21,34.967,12.550,25.722
22,34.428,13.147,25.935
23,36.482,13.745,26.149
24,36.057,14.342,26.363
25,33.272,14.940,26.578
26,35.782,15.538,26.793
27,37.387,16.135,27.008
28,36.105,16.733,27.224
29,36.762,17.330,27.441
30,37.623,17.928,27.658
31,36.278,18.526,27.875
32,37.617,19.123,28.093
33,39.924,19.721,28.312
34,40.106,20.318,28.531
35,41.078,20.916,28.751
36,39.592,21.514,28.971
37,39.832,22.111,29.191
38,39.492,22.709,29.412
39,37.995,23.306,29.633
40,37.019,23.904,29.855
41,37.247,24.502,30.078
42,40.817,25.099,30.301
43,41.454,25.697,30.524
44,40.591,26.294,30.748
45,37.977,26.892,30.972
46,37.732,27.489,31.197
47,41.109,28.087,31.422
48,44.605,28.685,31.648
49,43.834,29.282,31.874
50,39.055,29.880,32.101
51,39.554,30.477,32.328
52,42.555,31.075,32.555
53,39.841,31.673,32.783
54,38.769,32.270,33.012
55,42.664,32.868,33.241
56,41.204,33.465,33.470
57,41.092,34.063,33.700
58,41.772,34.661,33.930
59,42.371,35.258,34.161
60,41.017,35.856,34.392
61,41.331,36.453,34.624
62,39.171,37.051,34.855
63,39.882,37.649,35.088
64,40.796,38.246,35.321
65,40.064,38.844,35.554
66,40.850,39.441,35.788
67,44.377,40.039,36.022
68,42.937,40.637,36.256
69,42.072,41.234,36.491
70,43.051,41.832,36.727
71,44.387,42.429,36.962
72,47.346,43.027,37.199
73,51.153,43.625,37.435
74,52.585,44.222,37.672
75,51.198,44.820,37.909
76,47.231,45.417,38.147
77,47.322,46.015,38.385
78,46.418,46.613,38.624
79,46.186,47.210,38.863
80,46.685,47.808,39.102
81,48.784,48.405,39.342
82,51.501,49.003,39.582
83,53.798,49.601,39.823
84,53.226,50.198,40.063
85,47.045,50.796,40.305
86,45.477,51.393,40.546
87,50.563,51.991,40.788
88,55.031,52.589,41.031
89,54.937,53.186,41.273
90,41.736,53.784,41.516
91,45.774,54.381,41.760
92,49.254,54.979,42.004
93,49.503,55.577,42.248
94,46.087,56.174,42.492
95,49.729,56.772,42.737
96,55.584,57.369,42.982
97,51.222,57.967,43.228
98,50.888,58.565,43.473
99,54.212,59.162,43.719
100,60.855,59.760,43.966
101,63.358,60.357,44.213
102,65.302,60.955,44.460
103,65.241,61.553,44.707
104,60.817,62.150,44.955
105,63.915,62.748,45.203
106,57.065,63.345,45.451
107,59.333,63.943,45.700
108,61.174,64.541,45.949
109,66.530,65.138,46.198
110,60.410,65.736,46.448
111,53.396,66.333,46.698
112,53.162,66.931,46.948
113,50.117,67.529,47.198
114,46.699,68.126,47.449
115,50.737,68.724,47.700
116,52.331,69.321,47.951
117,53.693,69.919,48.203
118,52.808,70.517,48.455
119,51.524,71.114,48.707
120,50.758,71.712,48.959
121,56.434,72.309,49.211
122,55.301,72.907,49.464
123,60.491,73.505,49.717
124,62.975,74.102,49.971
125,59.395,74.700,50.224
126,59.652,75.297,50.478
127,58.935,75.895,50.732
128,62.868,76.492,50.986
129,64.522,77.090,51.241
130,73.245,77.688,51.496
131,71.290,78.285,51.750
132,67.253,78.883,52.006
133,77.455,79.480,52.261
134,84.338,80.078,52.516
135,73.584,80.676,52.772
136,78.432,81.273,53.028
137,67.344,81.871,53.284
138,61.138,82.468,53.541
139,62.026,83.066,53.797
140,74.332,83.664,54.054
141,77.846,84.261,54.311
142,76.275,84.859,54.568
143,74.774,85.456,54.825
144,82.744,86.054,55.083
145,89.795,86.652,55.340
146,91.321,87.249,55.598
147,76.010,87.847,55.856
148,78.486,88.444,56.114
149,88.603,89.042,56.372
150,85.052,89.640,56.631
151,86.993,90.237,56.889
152,82.834,90.835,57.148
153,78.326,91.432,57.406
154,82.541,92.030,57.665
155,78.628,92.628,57.924
156,73.717,93.225,58.183
157,95.136,93.823,58.443
158,94.737,94.420,58.702
159,85.872,95.018,58.961
160,75.840,95.616,59.221
161,84.705,96.213,59.481
162,83.659,96.811,59.740
163,88.440,97.408,60.000
164,86.156,98.006,60.260
165,81.770,98.604,60.520
166,101.501,99.201,60.780
167,122.555,99.799,61.040
168,113.178,100.396,61.301
169,103.197,100.994,61.561
170,89.563,101.592,61.821
171,101.454,102.189,62.082
172,112.908,102.787,62.342
173,115.578,103.384,62.603
174,96.256,103.982,62.863
175,102.849,104.580,63.124
176,111.233,105.177,63.384
177,101.811,105.775,63.645
178,114.087,106.372,63.905
179,113.218,106.970,64.166
180,122.336,107.568,64.427
181,121.688,108.165,64.687
182,128.158,108.763,64.948
183,134.851,109.360,65.209
184,126.637,109.958,65.469
185,126.125,110.556,65.730
186,89.374,111.153,65.991
187,93.216,111.751,66.251
188,120.558,112.348,66.512
189,137.469,112.946,66.772
190,128.914,113.544,67.033
191,122.003,114.141,67.293
192,96.340,114.739,67.554
193,100.768,115.336,67.814
194,111.857,115.934,68.075
195,95.417,116.532,68.335
196,102.545,117.129,68.595
197,112.084,117.727,68.855
198,134.932,118.324,69.115
199,133.222,118.922,69.375
200,105.244,119.520,69.635
201,104.736,120.117,69.895
202,125.274,120.715,70.155
203,125.118,121.312,70.414
204,118.102,121.910,70.674
205,120.681,122.508,70.933
206,128.092,123.105,71.193
207,113.764,123.703,71.452
208,113.051,124.300,71.711
209,136.281,124.898,71.970
210,116.496,125.495,72.229
211,130.795,126.093,72.487
212,111.753,126.691,72.746
213,114.928,127.288,73.004
214,137.083,127.886,73.263
215,124.141,128.483,73.521
216,107.030,129.081,73.779
217,98.361,129.679,74.036
218,102.669,130.276,74.294
219,110.918,130.874,74.551
220,122.785,131.471,74.808
221,93.214,132.069,75.066
222,90.796,132.667,75.322
223,104.425,133.264,75.579
224,106.812,133.862,75.835
225,137.088,134.459,76.092
226,98.031,135.057,76.348
227,106.931,135.655,76.603
228,108.186,136.252,76.859
229,91.655,136.850,77.114
230,102.486,137.447,77.370
231,128.683,138.045,77.624
232,139.327,138.643,77.879
233,123.389,139.240,78.133
234,94.272,139.838,78.388
235,111.974,140.435,78.641
236,109.250,141.033,78.895
237,96.329,141.631,79.148
238,99.133,142.228,79.401
239,85.478,142.826,79.654
240,107.581,143.423,79.907
241,80.120,144.021,80.159
242,101.016,144.619,80.411
243,88.075,145.216,80.662
244,79.028,145.814,80.914
245,116.842,146.411,81.165
246,175.548,147.009,81.415
247,142.118,147.607,81.666
248,91.157,148.204,81.916
249,74.060,148.802,82.165
250,78.190,149.399,82.415
251,70.441,149.997,82.664
252,95.820,150.595,82.912
253,122.671,151.192,83.161
254,104.531,151.790,83.409
255,91.279,152.387,83.656
256,90.998,152.985,83.904
257,118.918,153.583,84.150
258,103.149,154.180,84.397
259,101.096,154.778,84.643
260,81.796,155.375,84.889
261,106.232,155.973,85.134
262,102.767,156.571,85.379
263,114.705,157.168,85.623
264,128.452,157.766,85.867
265,122.661,158.363,86.111
266,95.448,158.961,86.354
267,95.420,159.559,86.597
268,109.297,160.156,86.839
269,107.004,160.754,87.081
270,109.936,161.351,87.323
271,77.138,161.949,87.564
272,109.866,162.547,87.804
273,112.316,163.144,88.045
274,120.579,163.742,88.284
275,100.135,164.339,88.523
276,100.748,164.937,88.762
277,85.634,165.535,89.000
278,109.319,166.132,89.238
279,102.765,166.730,89.475
280,87.914,167.327,89.712
281,70.551,167.925,89.948
282,95.402,168.523,90.184
283,89.287,169.120,90.419
284,93.769,169.718,90.654
285,96.914,170.315,90.888
286,105.809,170.913,91.122
287,123.018,171.511,91.355
288,119.807,172.108,91.588
289,117.323,172.706,91.820
290,107.579,173.303,92.051
291,66.865,173.901,92.282
292,111.310,174.499,92.513
293,125.250,175.096,92.742
294,120.391,175.694,92.972
295,150.533,176.291,93.200
296,168.227,176.889,93.429
297,143.836,177.486,93.656
298,122.153,178.084,93.883
299,78.842,178.682,94.109
300,105.849,179.279,94.335
301,110.799,179.877,94.560
302,82.765,180.474,94.785
303,88.467,181.072,95.009
304,110.156,181.670,95.232
305,122.816,182.267,95.454
306,153.415,182.865,95.677
307,125.826,183.462,95.898
308,130.341,184.060,96.119
309,156.664,184.658,96.339
310,148.280,185.255,96.558
311,172.276,185.853,96.777
312,128.210,186.450,96.995
313,135.896,187.048,97.212
314,152.746,187.646,97.429
315,132.346,188.243,97.645
316,90.581,188.841,97.861
317,94.282,189.438,98.075
318,87.815,190.036,98.290
319,101.772,190.634,98.503
320,98.463,191.231,98.715
321,81.035,191.829,98.927
322,145.139,192.426,99.139
323,117.912,193.024,99.349
324,84.258,193.622,99.559
325,72.306,194.219,99.768
326,103.028,194.817,99.976
327,110.376,195.414,100.184
328,109.641,196.012,100.391
329,127.096,196.610,100.597
330,109.908,197.207,100.802
331,97.468,197.805,101.006
332,128.859,198.402,101.210
333,143.380,199.000,101.413
334,130.982,199.598,101.616
335,113.569,200.195,101.817
336,102.074,200.793,102.018
337,104.003,201.390,102.218
338,125.790,201.988,102.417
339,135.356,202.586,102.615
340,123.694,203.183,102.812
341,139.995,203.781,103.009
342,146.373,204.378,103.205
343,127.308,204.976,103.400
344,122.830,205.574,103.594
345,128.953,206.171,103.788
346,160.531,206.769,103.980
347,114.091,207.366,104.172
348,108.546,207.964,104.363
349,137.741,208.562,104.553
350,136.368,209.159,104.742
351,104.861,209.757,104.931
352,120.869,210.354,105.118
353,111.196,210.952,105.305
354,131.301,211.550,105.491
355,133.379,212.147,105.676
356,86.407,212.745,105.860
357,104.130,213.342,106.043
358,117.552,213.940,106.225
