Distance_(pixels),Gray_Value,X_Fit:_Gaussian,Fit:_Gaussian
0,35.000,0.000,23.4793
1,37.164,0.600,23.7974
2,36.495,1.199,24.1154
3,36.005,1.799,24.4333
4,37.157,2.398,24.7510
5,38.662,2.998,25.0686
6,37.722,3.598,25.3861
7,37.388,4.197,25.7034
8,38.824,4.797,26.0206
9,38.059,5.396,26.3376
10,36.075,5.996,26.6545
11,40.693,6.596,26.9713
12,38.103,7.195,27.2879
13,39.674,7.795,27.6044
14,40.055,8.394,27.9207
15,37.140,8.994,28.2369
16,35.691,9.594,28.5529
17,37.253,10.193,28.8687
18,38.018,10.793,29.1844
19,39.228,11.392,29.4999
20,40.528,11.992,29.8153
21,41.116,12.592,30.1305
22,42.089,13.191,30.4455
23,40.695,13.791,30.7603
24,39.096,14.390,31.0750
25,41.010,14.990,31.3895
26,42.598,15.590,31.7038
27,40.744,16.189,32.0180
28,40.434,16.789,32.3319
29,41.408,17.388,32.6457
30,40.653,17.988,32.9593
31,41.933,18.588,33.2727
32,40.381,19.187,33.5859
33,40.739,19.787,33.8989
34,42.923,20.386,34.2117
35,40.549,20.986,34.5243
36,41.201,21.586,34.8367
37,44.730,22.185,35.1489
38,44.733,22.785,35.4609
39,44.050,23.384,35.7727
40,45.175,23.984,36.0843
41,43.446,24.584,36.3957
42,44.399,25.183,36.7069
43,45.071,25.783,37.0178
44,44.359,26.382,37.3285
45,42.353,26.982,37.6390
46,42.495,27.582,37.9493
47,43.555,28.181,38.2593
48,42.991,28.781,38.5692
49,45.330,29.380,38.8788
50,45.275,29.980,39.1881
51,46.911,30.580,39.4972
52,45.663,31.179,39.8061
53,41.151,31.779,40.1148
54,44.446,32.378,40.4232
55,45.837,32.978,40.7313
56,42.892,33.578,41.0392
57,43.985,34.177,41.3469
58,46.922,34.777,41.6543
59,46.581,35.376,41.9615
60,44.713,35.976,42.2684
61,46.657,36.576,42.5750
62,45.872,37.175,42.8814
63,47.549,37.775,43.1875
64,45.071,38.374,43.4934
65,45.674,38.974,43.7989
66,48.508,39.574,44.1043
67,46.861,40.173,44.4093
68,47.638,40.773,44.7141
69,49.886,41.372,45.0186
70,50.177,41.972,45.3228
71,52.492,42.572,45.6267
72,53.761,43.171,45.9303
73,52.987,43.771,46.2337
74,53.892,44.370,46.5368
75,51.471,44.970,46.8396
76,52.599,45.570,47.1420
77,47.291,46.169,47.4442
78,47.975,46.769,47.7461
79,52.136,47.368,48.0477
80,59.710,47.968,48.3490
81,53.251,48.568,48.6500
82,53.789,49.167,48.9507
83,60.517,49.767,49.2511
84,61.703,50.366,49.5511
85,56.813,50.966,49.8509
86,69.768,51.566,50.1503
87,64.258,52.165,50.4494
88,60.776,52.765,50.7482
89,62.940,53.364,51.0467
90,68.215,53.964,51.3448
91,65.079,54.564,51.6426
