Distance_(pixels),Gray_Value,X_Fit:_Gaussian,Fit:_Gaussian
0,32.667,0.000,19.489
1,32.667,0.606,19.717
2,33.110,1.211,19.946
3,33.333,1.817,20.175
4,33.353,2.422,20.404
5,33.333,3.028,20.634
6,33.333,3.634,20.865
7,32.967,4.239,21.096
8,32.384,4.845,21.328
9,33.880,5.450,21.559
10,34.248,6.056,21.792
11,33.725,6.662,22.025
12,34.259,7.267,22.258
13,36.918,7.873,22.492
14,37.000,8.478,22.726
15,35.684,9.084,22.960
16,34.873,9.690,23.195
17,34.981,10.295,23.431
18,34.981,10.901,23.667
19,35.613,11.507,23.903
20,35.546,12.112,24.140
21,34.651,12.718,24.377
22,34.333,13.323,24.615
23,35.293,13.929,24.853
24,36.426,14.535,25.091
25,36.840,15.140,25.330
26,37.607,15.746,25.569
27,37.877,16.351,25.809
28,36.592,16.957,26.049
29,34.667,17.563,26.290
30,34.672,18.168,26.531
31,35.183,18.774,26.772
32,36.398,19.379,27.014
33,37.436,19.985,27.256
34,37.652,20.591,27.499
35,37.667,21.196,27.742
36,37.110,21.802,27.985
37,37.396,22.407,28.229
38,38.236,23.013,28.473
39,38.949,23.619,28.717
40,36.929,24.224,28.962
41,37.207,24.830,29.208
42,37.282,25.435,29.453
43,37.248,26.041,29.699
44,38.805,26.647,29.946
45,38.546,27.252,30.193
46,38.722,27.858,30.440
47,38.122,28.463,30.687
48,37.596,29.069,30.935
49,39.161,29.675,31.184
50,40.702,30.280,31.432
51,43.065,30.886,31.681
52,41.024,31.491,31.931
53,39.151,32.097,32.181
54,40.163,32.703,32.431
55,40.722,33.308,32.681
56,40.143,33.914,32.932
57,42.119,34.520,33.183
58,44.847,35.125,33.435
59,44.814,35.731,33.686
60,41.664,36.336,33.939
61,42.259,36.942,34.191
62,43.061,37.548,34.444
63,42.788,38.153,34.697
64,42.396,38.759,34.951
65,42.004,39.364,35.204
66,41.493,39.970,35.459
67,43.465,40.576,35.713
68,43.668,41.181,35.968
69,40.822,41.787,36.223
70,41.099,42.392,36.478
71,42.400,42.998,36.734
72,44.686,43.604,36.990
73,45.755,44.209,37.246
74,43.274,44.815,37.503
75,42.424,45.420,37.760
76,42.666,46.026,38.017
77,42.170,46.632,38.275
78,41.971,47.237,38.533
79,43.480,47.843,38.791
80,45.631,48.448,39.049
81,47.186,49.054,39.308
82,47.645,49.660,39.567
83,45.010,50.265,39.826
84,43.252,50.871,40.085
85,44.422,51.476,40.345
86,44.806,52.082,40.605
87,43.129,52.688,40.865
88,45.410,53.293,41.126
89,46.018,53.899,41.386
90,47.865,54.505,41.647
91,45.840,55.110,41.909
92,43.567,55.716,42.170
93,48.549,56.321,42.432
94,48.990,56.927,42.694
95,43.920,57.533,42.956
96,46.509,58.138,43.219
97,48.704,58.744,43.481
98,47.314,59.349,43.744
99,51.151,59.955,44.007
100,58.852,60.561,44.271
101,54.078,61.166,44.534
102,53.622,61.772,44.798
103,55.566,62.377,45.062
104,61.818,62.983,45.326
105,59.800,63.589,45.591
106,61.408,64.194,45.855
107,46.102,64.800,46.120
108,52.703,65.405,46.385
109,55.162,66.011,46.650
110,55.284,66.617,46.916
111,55.052,67.222,47.181
112,56.543,67.828,47.447
113,60.195,68.433,47.713
114,66.781,69.039,47.979
115,62.047,69.645,48.245
116,56.849,70.250,48.511
117,51.626,70.856,48.778
118,56.154,71.461,49.045
119,55.969,72.067,49.312
120,48.830,72.673,49.579
121,52.267,73.278,49.846
122,49.918,73.884,50.113
123,50.537,74.489,50.381
124,51.159,75.095,50.648
125,55.496,75.701,50.916
126,57.537,76.306,51.184
127,59.519,76.912,51.452
128,60.502,77.518,51.720
129,58.624,78.123,51.988
130,63.628,78.729,52.256
131,68.171,79.334,52.525
132,73.239,79.940,52.793
133,61.824,80.546,53.062
134,65.564,81.151,53.331
135,69.529,81.757,53.600
136,68.408,82.362,53.868
137,84.755,82.968,54.138
138,65.616,83.574,54.407
139,61.250,84.179,54.676
140,64.050,84.785,54.945
141,59.758,85.390,55.214
142,59.538,85.996,55.484
143,66.857,86.602,55.753
144,69.604,87.207,56.023
145,65.871,87.813,56.292
146,83.171,88.418,56.562
147,71.318,89.024,56.832
148,59.849,89.630,57.101
149,60.934,90.235,57.371
150,73.274,90.841,57.641
151,84.848,91.446,57.911
152,86.310,92.052,58.181
153,82.347,92.658,58.450
154,102.829,93.263,58.720
155,101.885,93.869,58.990
156,92.443,94.474,59.260
157,78.114,95.080,59.530
158,68.549,95.686,59.800
159,81.889,96.291,60.070
160,89.192,96.897,60.340
161,102.026,97.503,60.610
162,117.731,98.108,60.880
163,108.107,98.714,61.150
164,111.546,99.319,61.419
165,113.248,99.925,61.689
166,109.650,100.531,61.959
167,104.579,101.136,62.229
168,112.831,101.742,62.499
169,106.794,102.347,62.768
170,114.983,102.953,63.038
171,125.719,103.559,63.308
172,113.377,104.164,63.577
173,100.855,104.770,63.847
174,92.507,105.375,64.116
175,92.142,105.981,64.385
176,82.562,106.587,64.655
177,95.023,107.192,64.924
178,112.593,107.798,65.193
179,105.582,108.403,65.462
180,111.205,109.009,65.731
181,107.007,109.615,66.000
182,111.588,110.220,66.269
183,107.348,110.826,66.537
184,97.145,111.431,66.806
185,113.571,112.037,67.074
186,113.875,112.643,67.343
187,104.673,113.248,67.611
188,120.277,113.854,67.879
189,125.962,114.459,68.147
190,137.199,115.065,68.415
191,139.962,115.671,68.683
192,141.187,116.276,68.950
193,143.719,116.882,69.217
194,125.103,117.487,69.485
195,97.256,118.093,69.752
196,96.926,118.699,70.019
197,119.831,119.304,70.286
198,129.231,119.910,70.552
199,134.375,120.516,70.819
200,121.179,121.121,71.085
201,129.797,121.727,71.351
202,126.033,122.332,71.617
203,133.536,122.938,71.883
204,127.626,123.544,72.148
205,121.986,124.149,72.413
206,127.068,124.755,72.679
207,117.330,125.360,72.943
208,90.750,125.966,73.208
209,82.119,126.572,73.473
210,105.491,127.177,73.737
211,111.184,127.783,74.001
212,132.228,128.388,74.265
213,97.358,128.994,74.528
214,131.515,129.600,74.791
215,124.688,130.205,75.055
216,110.368,130.811,75.317
217,97.881,131.416,75.580
218,84.515,132.022,75.842
219,79.604,132.628,76.104
220,109.096,133.233,76.366
221,134.872,133.839,76.628
222,134.970,134.444,76.889
223,99.328,135.050,77.150
224,80.357,135.656,77.410
225,98.416,136.261,77.671
226,109.098,136.867,77.931
227,87.470,137.472,78.191
228,114.424,138.078,78.450
229,135.250,138.684,78.709
230,154.478,139.289,78.968
231,151.446,139.895,79.227
232,125.397,140.501,79.485
233,96.009,141.106,79.743
234,74.169,141.712,80.000
235,96.736,142.317,80.257
236,150.983,142.923,80.514
237,174.632,143.529,80.771
238,120.129,144.134,81.027
239,93.475,144.740,81.283
240,98.194,145.345,81.538
241,128.717,145.951,81.793
242,170.347,146.557,82.048
243,163.021,147.162,82.302
244,134.648,147.768,82.556
245,142.569,148.373,82.810
246,130.877,148.979,83.063
247,129.878,149.585,83.316
248,90.355,150.190,83.568
249,107.700,150.796,83.820
250,109.608,151.401,84.072
251,74.762,152.007,84.323
252,105.470,152.613,84.574
253,115.090,153.218,84.824
254,136.580,153.824,85.074
255,135.765,154.429,85.323
256,136.088,155.035,85.572
257,139.615,155.641,85.821
258,132.870,156.246,86.069
259,106.249,156.852,86.317
260,85.941,157.457,86.564
261,98.640,158.063,86.811
262,87.259,158.669,87.057
263,103.221,159.274,87.303
264,97.770,159.880,87.549
265,94.088,160.485,87.794
266,111.963,161.091,88.038
267,156.176,161.697,88.282
