Distance_(pixels),Gray_Value,X_Fit:_Gaussian,Fit:_Gaussian
0,36.667,0.000,21.052
1,38.065,0.598,21.385
2,38.183,1.195,21.718
3,37.069,1.793,22.050
4,35.135,2.390,22.382
5,35.667,2.988,22.714
6,35.667,3.586,23.047
7,36.345,4.183,23.378
8,36.667,4.781,23.710
9,36.588,5.378,24.042
10,35.687,5.976,24.373
11,35.356,6.574,24.705
12,34.783,7.171,25.036
13,34.917,7.769,25.367
14,33.751,8.366,25.698
15,32.690,8.964,26.028
16,34.737,9.562,26.359
17,35.510,10.159,26.689
18,35.414,10.757,27.020
19,35.974,11.354,27.350
20,36.681,11.952,27.680
21,37.481,12.550,28.009
22,36.578,13.147,28.339
23,36.085,13.745,28.668
24,36.104,14.342,28.998
25,35.377,14.940,29.327
26,37.074,15.538,29.655
27,37.709,16.135,29.984
28,36.577,16.733,30.313
29,36.708,17.330,30.641
30,37.707,17.928,30.969
31,38.265,18.526,31.297
32,37.956,19.123,31.624
33,39.477,19.721,31.952
34,43.329,20.318,32.279
35,43.908,20.916,32.606
36,42.731,21.514,32.933
37,42.286,22.111,33.260
38,42.025,22.709,33.586
39,39.470,23.306,33.913
40,36.664,23.904,34.239
41,40.860,24.502,34.564
42,45.862,25.099,34.890
43,43.594,25.697,35.215
44,42.239,26.294,35.540
45,38.662,26.892,35.865
46,40.702,27.489,36.190
47,45.233,28.087,36.514
48,45.685,28.685,36.839
49,46.101,29.282,37.163
50,45.643,29.880,37.486
51,44.527,30.477,37.810
52,45.879,31.075,38.133
53,44.284,31.673,38.456
54,41.503,32.270,38.779
55,42.215,32.868,39.101
56,44.597,33.465,39.423
57,46.653,34.063,39.745
58,45.277,34.661,40.067
59,45.374,35.258,40.388
60,45.725,35.856,40.710
61,44.687,36.453,41.030
62,40.228,37.051,41.351
63,41.601,37.649,41.671
64,43.820,38.246,41.991
65,48.192,38.844,42.311
66,43.164,39.441,42.631
67,46.207,40.039,42.950
68,46.269,40.637,43.269
69,46.957,41.234,43.587
70,46.372,41.832,43.906
71,48.077,42.429,44.224
72,51.978,43.027,44.542
73,60.859,43.625,44.859
74,63.882,44.222,45.176
75,63.284,44.820,45.493
76,52.174,45.417,45.810
77,51.229,46.015,46.126
78,52.399,46.613,46.442
79,53.567,47.210,46.757
80,50.996,47.808,47.073
81,58.877,48.405,47.388
82,56.251,49.003,47.702
83,62.924,49.601,48.016
84,64.842,50.198,48.330
85,55.766,50.796,48.644
86,55.631,51.393,48.957
87,64.005,51.991,49.270
88,66.647,52.589,49.583
89,65.203,53.186,49.895
90,51.037,53.784,50.207
91,51.934,54.381,50.519
92,55.414,54.979,50.830
93,55.907,55.577,51.141
94,52.741,56.174,51.452
95,60.166,56.772,51.762
96,63.408,57.369,52.072
97,64.975,57.967,52.381
98,61.864,58.565,52.691
99,62.120,59.162,52.999
100,74.121,59.760,53.308
101,73.703,60.357,53.616
102,82.168,60.955,53.923
103,81.365,61.553,54.231
104,82.285,62.150,54.538
105,79.406,62.748,54.844
106,71.792,63.345,55.150
107,71.585,63.943,55.456
108,72.153,64.541,55.761
109,75.521,65.138,56.066
110,69.970,65.736,56.371
111,66.676,66.333,56.675
112,63.388,66.931,56.979
113,58.598,67.529,57.282
114,57.675,68.126,57.585
115,64.407,68.724,57.888
116,58.918,69.321,58.190
117,57.339,69.919,58.492
118,58.453,70.517,58.793
119,60.251,71.114,59.094
120,58.464,71.712,59.395
121,67.122,72.309,59.695
122,66.409,72.907,59.995
123,73.871,73.505,60.294
124,71.743,74.102,60.593
125,70.338,74.700,60.891
126,75.191,75.297,61.189
127,70.950,75.895,61.487
128,76.299,76.492,61.784
129,80.870,77.090,62.081
130,91.583,77.688,62.377
131,103.189,78.285,62.673
132,86.970,78.883,62.968
133,95.779,79.480,63.263
134,104.092,80.078,63.557
135,104.319,80.676,63.851
136,103.396,81.273,64.145
137,82.701,81.871,64.438
138,78.638,82.468,64.730
139,85.158,83.066,65.022
140,97.135,83.664,65.314
141,111.848,84.261,65.605
142,98.586,84.859,65.896
143,98.789,85.456,66.186
144,116.907,86.054,66.476
145,133.788,86.652,66.765
146,121.832,87.249,67.054
147,97.907,87.847,67.342
148,106.658,88.444,67.630
149,118.998,89.042,67.918
150,122.092,89.640,68.204
151,120.694,90.237,68.491
152,105.897,90.835,68.777
153,99.841,91.432,69.062
154,108.209,92.030,69.347
155,104.663,92.628,69.631
156,108.075,93.225,69.915
157,124.394,93.823,70.199
158,126.037,94.420,70.481
159,111.289,95.018,70.764
160,103.258,95.616,71.045
161,125.010,96.213,71.327
162,128.370,96.811,71.608
163,124.421,97.408,71.888
164,121.918,98.006,72.167
165,118.073,98.604,72.447
166,121.993,99.201,72.725
167,93.351,99.799,73.003
168,125.417,100.396,73.281
169,141.294,100.994,73.558
170,135.461,101.592,73.835
171,137.152,102.189,74.111
172,115.207,102.787,74.386
173,102.931,103.384,74.661
174,125.358,103.982,74.935
175,130.914,104.580,75.209
176,127.947,105.177,75.482
177,135.336,105.775,75.755
178,138.112,106.372,76.027
179,135.833,106.970,76.298
180,93.107,107.568,76.569
181,90.823,108.165,76.840
182,86.687,108.763,77.110
183,79.568,109.360,77.379
184,74.096,109.958,77.648
185,92.211,110.556,77.916
186,158.176,111.153,78.183
187,137.249,111.751,78.450
188,106.644,112.348,78.717
189,75.531,112.946,78.982
190,80.691,113.544,79.248
191,98.524,114.141,79.512
192,140.960,114.739,79.776
193,123.603,115.336,80.040
194,104.767,115.934,80.303
195,104.883,116.532,80.565
196,121.782,117.129,80.826
197,110.896,117.727,81.087
198,77.693,118.324,81.348
199,80.111,118.922,81.608
200,122.325,119.520,81.867
201,134.819,120.117,82.125
202,86.464,120.715,82.383
203,100.861,121.312,82.641
