Distance_(pixels),Gray_Value,X_Fit:_Gaussian,Fit:_Gaussian
0,36.333,0.000,24.2719
1,33.982,0.598,24.3881
2,33.683,1.195,24.5051
3,33.933,1.793,24.6228
4,31.991,2.390,24.7412
5,33.316,2.988,24.8603
6,33.940,3.586,24.9801
7,32.602,4.183,25.1006
8,32.916,4.781,25.2219
9,33.201,5.378,25.3439
10,33.340,5.976,25.4666
11,34.525,6.574,25.5900
12,33.322,7.171,25.7141
13,33.020,7.769,25.8390
14,34.094,8.366,25.9646
15,36.934,8.964,26.0909
16,32.813,9.562,26.2180
17,33.799,10.159,26.3458
18,33.484,10.757,26.4743
19,49.176,11.354,26.6036
20,31.924,11.952,26.7336
21,33.096,12.550,26.8643
22,32.674,13.147,26.9958
23,33.956,13.745,27.1280
24,31.884,14.342,27.2610
25,28.646,14.940,27.3947
26,36.632,15.538,27.5292
27,35.206,16.135,27.6644
28,35.064,16.733,27.8004
29,34.676,17.330,27.9371
30,34.347,17.928,28.0746
31,34.586,18.526,28.2128
32,34.726,19.123,28.3518
33,35.177,19.721,28.4916
34,35.777,20.318,28.6321
35,35.022,20.916,28.7734
36,35.917,21.514,28.9154
37,36.000,22.111,29.0582
38,35.575,22.709,29.2017
39,34.786,23.306,29.3461
40,38.421,23.904,29.4912
41,34.059,24.502,29.6370
42,37.785,25.099,29.7836
43,39.100,25.697,29.9310
44,35.530,26.294,30.0792
45,35.027,26.892,30.2281
46,36.086,27.489,30.3779
47,36.898,28.087,30.5283
48,37.062,28.685,30.6796
49,37.132,29.282,30.8316
50,36.734,29.880,30.9845
51,36.667,30.477,31.1380
52,36.432,31.075,31.2924
53,36.380,31.673,31.4476
54,36.018,32.270,31.6035
55,36.978,32.868,31.7602
56,38.169,33.465,31.9177
57,38.917,34.063,32.0759
58,38.311,34.661,32.2350
59,37.325,35.258,32.3948
60,36.028,35.856,32.5554
61,35.770,36.453,32.7168
62,36.087,37.051,32.8790
63,36.500,37.649,33.0420
64,36.787,38.246,33.2057
65,37.067,38.844,33.3703
66,36.900,39.441,33.5356
67,38.190,40.039,33.7017
68,38.417,40.637,33.8686
69,38.384,41.234,34.0363
70,38.474,41.832,34.2048
71,39.635,42.429,34.3740
72,41.444,43.027,34.5441
73,41.886,43.625,34.7149
74,42.813,44.222,34.8865
75,45.539,44.820,35.0589
76,42.910,45.417,35.2321
77,40.029,46.015,35.4061
78,40.508,46.613,35.5808
79,42.409,47.210,35.7564
80,42.668,47.808,35.9327
81,43.658,48.405,36.1098
82,43.210,49.003,36.2877
83,46.282,49.601,36.4664
84,46.774,50.198,36.6459
85,42.469,50.796,36.8262
86,43.026,51.393,37.0072
87,46.000,51.991,37.1890
88,47.164,52.589,37.3717
89,45.009,53.186,37.5550
90,41.060,53.784,37.7392
91,41.145,54.381,37.9242
92,43.337,54.979,38.1099
93,41.917,55.577,38.2964
94,40.025,56.174,38.4837
95,42.218,56.772,38.6718
96,45.903,57.369,38.8607
97,44.651,57.967,39.0503
98,44.218,58.565,39.2407
99,46.243,59.162,39.4319
100,50.661,59.760,39.6239
101,52.369,60.357,39.8166
102,55.090,60.955,40.0101
103,53.878,61.553,40.2044
104,52.014,62.150,40.3994
105,53.039,62.748,40.5952
106,50.021,63.345,40.7918
107,51.635,63.943,40.9892
108,52.571,64.541,41.1873
109,53.587,65.138,41.3861
110,50.043,65.736,41.5858
111,47.969,66.333,41.7862
112,46.755,66.931,41.9873
113,44.115,67.529,42.1892
114,43.851,68.126,42.3919
115,44.535,68.724,42.5953
116,46.639,69.321,42.7995
117,44.892,69.919,43.0044
118,46.890,70.517,43.2101
119,48.250,71.114,43.4165
120,47.444,71.712,43.6236
121,49.559,72.309,43.8315
122,50.810,72.907,44.0402
