Distance_(pixels),Gray_Value,X_Fit:_Gaussian,Fit:_Gaussian
0,35.333,0.000,18.303
1,32.706,0.606,18.641
2,34.329,1.211,18.979
3,35.215,1.817,19.317
4,34.353,2.422,19.654
5,32.314,3.028,19.992
6,33.032,3.634,20.329
7,33.576,4.239,20.665
8,35.000,4.845,21.002
9,35.000,5.450,21.338
10,34.947,6.056,21.674
11,34.370,6.662,22.010
12,35.006,7.267,22.346
13,36.522,7.873,22.681
14,36.986,8.478,23.016
15,37.116,9.084,23.351
16,36.006,9.690,23.685
17,34.174,10.295,24.020
18,53.663,10.901,24.353
19,56.939,11.507,24.687
20,34.726,12.112,25.021
21,34.445,12.718,25.354
22,34.905,13.323,25.687
23,36.212,13.929,26.019
24,35.691,14.535,26.352
25,36.860,15.140,26.684
26,38.013,15.746,27.016
27,37.974,16.351,27.347
28,38.993,16.957,27.678
29,36.242,17.563,28.009
30,35.832,18.168,28.340
31,36.771,18.774,28.670
32,38.165,19.379,29.000
33,39.755,19.985,29.330
34,40.257,20.591,29.660
35,39.490,21.196,29.989
36,39.502,21.802,30.318
37,39.850,22.407,30.646
38,41.670,23.013,30.975
39,43.206,23.619,31.303
40,39.763,24.224,31.630
41,40.994,24.830,31.958
42,40.963,25.435,32.285
43,38.285,26.041,32.611
44,38.914,26.647,32.938
45,41.195,27.252,33.264
46,41.914,27.858,33.590
47,40.122,28.463,33.915
48,39.596,29.069,34.240
49,40.321,29.675,34.565
50,40.684,30.280,34.889
51,44.997,30.886,35.213
52,44.812,31.491,35.537
53,41.653,32.097,35.861
54,45.018,32.703,36.184
55,46.245,33.308,36.507
56,43.783,33.914,36.829
57,45.696,34.520,37.151
58,49.206,35.125,37.473
59,52.211,35.731,37.794
60,45.322,36.336,38.115
61,43.955,36.942,38.436
62,43.571,37.548,38.756
63,45.643,38.153,39.076
64,48.150,38.759,39.396
65,44.790,39.364,39.715
66,43.355,39.970,40.034
67,44.639,40.576,40.353
68,45.176,41.181,40.671
69,42.575,41.787,40.989
70,46.547,42.392,41.306
71,46.777,42.998,41.623
72,46.011,43.604,41.940
73,49.305,44.209,42.257
74,48.018,44.815,42.572
75,46.398,45.420,42.888
76,45.938,46.026,43.203
77,44.863,46.632,43.518
78,45.303,47.237,43.833
79,48.970,47.843,44.147
80,53.711,48.448,44.460
81,54.679,49.054,44.774
82,53.155,49.660,45.086
83,47.878,50.265,45.399
84,46.371,50.871,45.711
85,49.113,51.476,46.023
86,52.168,52.082,46.334
87,50.075,52.688,46.645
88,52.958,53.293,46.955
89,52.320,53.899,47.265
90,55.328,54.505,47.575
91,52.834,55.110,47.884
92,49.186,55.716,48.193
93,55.819,56.321,48.502
94,50.183,56.927,48.810
95,47.030,57.533,49.117
96,53.505,58.138,49.425
97,56.645,58.744,49.731
98,54.416,59.349,50.038
99,59.545,59.955,50.344
100,67.233,60.561,50.649
101,63.154,61.166,50.954
102,62.279,61.772,51.259
103,66.921,62.377,51.563
104,70.958,62.983,51.867
105,67.715,63.589,52.170
106,62.327,64.194,52.473
107,56.349,64.800,52.775
108,55.952,65.405,53.077
109,63.582,66.011,53.379
110,67.052,66.617,53.680
111,70.315,67.222,53.981
112,74.925,67.828,54.281
113,72.033,68.433,54.581
114,82.422,69.039,54.880
115,75.533,69.645,55.179
116,63.399,70.250,55.477
117,54.999,70.856,55.775
118,65.845,71.461,56.072
119,68.547,72.067,56.369
120,58.698,72.673,56.666
121,63.840,73.278,56.962
122,58.779,73.884,57.258
123,60.680,74.489,57.553
124,61.369,75.095,57.847
125,61.172,75.701,58.141
126,66.551,76.306,58.435
127,70.983,76.912,58.728
