Distance_(pixels),Gray_Value,X_Fit:_Gaussian,Fit:_Gaussian
0,36.000,0.000,22.7952
1,36.000,0.598,23.0467
2,35.804,1.195,23.2985
3,35.123,1.793,23.5506
4,35.203,2.390,23.8031
5,35.997,2.988,24.0558
6,35.081,3.586,24.3089
7,34.548,4.183,24.5622
8,35.009,4.781,24.8159
9,35.794,5.378,25.0698
10,34.991,5.976,25.3240
11,34.235,6.574,25.5786
12,35.118,7.171,25.8334
13,36.301,7.769,26.0885
14,34.581,8.366,26.3439
15,35.950,8.964,26.5995
16,34.793,9.562,26.8555
17,36.196,10.159,27.1117
18,37.119,10.757,27.3682
19,36.976,11.354,27.6250
20,35.392,11.952,27.8820
21,36.779,12.550,28.1393
22,35.783,13.147,28.3969
23,37.051,13.745,28.6547
24,38.136,14.342,28.9128
25,34.851,14.940,29.1712
26,38.077,15.538,29.4298
27,37.187,16.135,29.6887
28,35.541,16.733,29.9478
29,36.805,17.330,30.2071
30,39.632,17.928,30.4667
31,37.665,18.526,30.7266
32,38.551,19.123,30.9867
33,40.236,19.721,31.2470
34,44.662,20.318,31.5076
35,46.414,20.916,31.7684
36,43.870,21.514,32.0294
37,41.901,22.111,32.2907
38,40.738,22.709,32.5522
39,38.992,23.306,32.8139
40,36.948,23.904,33.0758
41,39.879,24.502,33.3380
42,44.610,25.099,33.6003
43,45.008,25.697,33.8629
44,45.925,26.294,34.1257
45,41.783,26.892,34.3887
46,41.392,27.489,34.6519
47,44.147,28.087,34.9152
48,45.746,28.685,35.1788
49,47.704,29.282,35.4426
50,47.108,29.880,35.7066
51,44.672,30.477,35.9708
52,45.566,31.075,36.2351
53,44.561,31.673,36.4997
54,41.800,32.270,36.7644
55,41.750,32.868,37.0293
56,42.939,33.465,37.2944
57,43.665,34.063,37.5597
58,43.596,34.661,37.8251
59,45.511,35.258,38.0907
60,47.266,35.856,38.3565
61,45.744,36.453,38.6224
62,41.838,37.051,38.8885
63,41.167,37.649,39.1547
64,41.360,38.246,39.4211
65,43.319,38.844,39.6877
66,43.108,39.441,39.9544
67,45.064,40.039,40.2212
68,46.968,40.637,40.4882
69,46.829,41.234,40.7553
70,47.794,41.832,41.0226
71,47.483,42.429,41.2900
72,53.181,43.027,41.5575
73,58.663,43.625,41.8251
74,60.359,44.222,42.0929
75,57.759,44.820,42.3608
76,54.361,45.417,42.6288
77,51.901,46.015,42.8970
78,49.841,46.613,43.1652
79,51.648,47.210,43.4336
80,50.129,47.808,43.7020
81,57.139,48.405,43.9706
82,54.600,49.003,44.2392
83,59.625,49.601,44.5080
84,59.911,50.198,44.7769
85,52.686,50.796,45.0458
86,55.689,51.393,45.3148
87,59.453,51.991,45.5840
88,61.229,52.589,45.8531
89,58.510,53.186,46.1224
90,48.133,53.784,46.3918
91,48.652,54.381,46.6612
92,55.716,54.979,46.9307
93,54.593,55.577,47.2002
94,50.923,56.174,47.4699
95,54.172,56.772,47.7395
96,54.904,57.369,48.0093
97,60.195,57.967,48.2791
98,59.419,58.565,48.5489
99,57.667,59.162,48.8188
100,66.674,59.760,49.0887
101,67.362,60.357,49.3587
102,72.874,60.955,49.6287
103,71.159,61.553,49.8987
104,67.960,62.150,50.1688
105,69.690,62.748,50.4389
106,65.857,63.345,50.7090
107,61.296,63.943,50.9791
108,64.129,64.541,51.2493
109,63.249,65.138,51.5194
110,64.744,65.736,51.7896
111,60.029,66.333,52.0598
112,60.031,66.931,52.3300
113,55.383,67.529,52.6002
114,52.401,68.126,52.8703
115,54.507,68.724,53.1405
116,53.818,69.321,53.4107
117,53.000,69.919,53.6808
118,56.150,70.517,53.9510
119,54.873,71.114,54.2211
120,55.057,71.712,54.4911
121,60.955,72.309,54.7612
122,59.200,72.907,55.0312
123,66.477,73.505,55.3012
124,69.940,74.102,55.5712
125,67.305,74.700,55.8411
126,65.107,75.297,56.1110
127,68.693,75.895,56.3808
128,68.536,76.492,56.6506
129,71.738,77.090,56.9203
130,75.107,77.688,57.1899
131,78.099,78.285,57.4595
132,72.314,78.883,57.7291
133,77.932,79.480,57.9985
134,84.397,80.078,58.2679
135,76.372,80.676,58.5372
136,77.493,81.273,58.8064
137,71.351,81.871,59.0756
138,64.897,82.468,59.3447
139,67.377,83.066,59.6136
140,83.490,83.664,59.8825
141,93.922,84.261,60.1513
142,86.304,84.859,60.4200
143,83.725,85.456,60.6885
144,92.287,86.054,60.9570
145,106.675,86.652,61.2253
146,100.417,87.249,61.4936
147,84.534,87.847,61.7617
148,89.251,88.444,62.0297
149,101.486,89.042,62.2975
150,94.224,89.640,62.5653
151,109.237,90.237,62.8329
152,93.249,90.835,63.1003
153,84.080,91.432,63.3677
154,92.651,92.030,63.6348
155,90.486,92.628,63.9019
156,93.538,93.225,64.1687
157,108.256,93.823,64.4355
158,102.882,94.420,64.7020
159,89.063,95.018,64.9684
160,81.959,95.616,65.2346
161,92.242,96.213,65.5007
162,91.088,96.811,65.7666
163,89.389,97.408,66.0323
164,92.239,98.006,66.2978
165,95.436,98.604,66.5632
166,120.019,99.201,66.8283
167,124.129,99.799,67.0933
168,118.094,100.396,67.3580
169,113.211,100.994,67.6226
170,97.419,101.592,67.8870
171,105.356,102.189,68.1511
172,107.242,102.787,68.4150
173,113.527,103.384,68.6788
174,94.488,103.982,68.9423
175,106.696,104.580,69.2055
176,104.308,105.177,69.4686
177,112.129,105.775,69.7314
178,118.486,106.372,69.9940
179,105.462,106.970,70.2563
180,112.406,107.568,70.5185
181,126.001,108.165,70.7803
182,133.610,108.763,71.0419
183,134.273,109.360,71.3033
184,136.201,109.958,71.5644
185,136.882,110.556,71.8252
186,96.529,111.153,72.0858
187,99.708,111.751,72.3461
188,124.990,112.348,72.6062
189,130.961,112.946,72.8659
190,133.355,113.544,73.1254
191,116.753,114.141,73.3846
192,97.210,114.739,73.6435
193,109.814,115.336,73.9021
194,133.288,115.934,74.1605
195,107.118,116.532,74.4185
196,112.090,117.129,74.6762
197,117.477,117.727,74.9336
198,134.334,118.324,75.1907
199,140.222,118.922,75.4475
200,112.266,119.520,75.7040
201,106.050,120.117,75.9601
202,120.641,120.715,76.2160
203,127.090,121.312,76.4715
204,126.774,121.910,76.7266
205,130.230,122.508,76.9815
206,132.781,123.105,77.2359
207,124.425,123.703,77.4901
208,117.770,124.300,77.7439
209,133.533,124.898,77.9973
210,112.630,125.495,78.2504
211,109.523,126.093,78.5031
212,109.383,126.691,78.7555
213,112.217,127.288,79.0075
214,135.354,127.886,79.2591
215,109.396,128.483,79.5104
216,125.289,129.081,79.7612
217,80.035,129.679,80.0117
218,83.668,130.276,80.2618
219,102.666,130.874,80.5115
220,107.682,131.471,80.7608
221,78.533,132.069,81.0097
222,101.377,132.667,81.2582
223,113.011,133.264,81.5063
224,119.062,133.862,81.7540
225,128.401,134.459,82.0013
226,108.460,135.057,82.2482
227,78.992,135.655,82.4946
228,71.338,136.252,82.7406
229,109.389,136.850,82.9862
230,134.677,137.447,83.2314
231,72.188,138.045,83.4761
232,103.963,138.643,83.7204
233,90.462,139.240,83.9642
234,114.299,139.838,84.2076
235,100.149,140.435,84.4505
236,81.542,141.033,84.6930
237,106.412,141.631,84.9350
238,135.868,142.228,85.1765
239,138.700,142.826,85.4176
240,131.360,143.423,85.6582
241,107.433,144.021,85.8984
242,126.054,144.619,86.1380
243,126.202,145.216,86.3772
244,103.389,145.814,86.6159
245,129.251,146.411,86.8541
246,122.929,147.009,87.0918
247,125.644,147.607,87.3290
248,101.200,148.204,87.5657
249,88.132,148.802,87.8019
250,114.736,149.399,88.0376
251,110.446,149.997,88.2728
252,148.900,150.595,88.5075
253,151.852,151.192,88.7416
254,154.360,151.790,88.9752
255,116.033,152.387,89.2083
256,119.938,152.985,89.4409
257,93.425,153.583,89.6729
258,104.939,154.180,89.9044
259,109.248,154.778,90.1353
260,130.183,155.375,90.3657
261,174.920,155.973,90.5955
262,100.732,156.571,90.8248
263,93.928,157.168,91.0536
264,79.481,157.766,91.2817
265,96.730,158.363,91.5093
266,121.946,158.961,91.7364
267,116.865,159.559,91.9628
268,89.520,160.156,92.1887
269,82.695,160.754,92.4140
270,111.568,161.351,92.6387
271,144.773,161.949,92.8628
272,90.939,162.547,93.0864
273,80.599,163.144,93.3093
274,78.239,163.742,93.5317
275,116.421,164.339,93.7534
276,103.840,164.937,93.9745
277,126.270,165.535,94.1951
278,113.537,166.132,94.4150
279,140.812,166.730,94.6343
280,128.354,167.327,94.8530
281,153.389,167.925,95.0710
282,128.765,168.523,95.2884
283,132.468,169.120,95.5052
284,103.632,169.718,95.7214
285,133.484,170.315,95.9369
286,88.571,170.913,96.1517
287,83.329,171.511,96.3660
288,84.182,172.108,96.5796
289,79.523,172.706,96.7925
290,94.014,173.303,97.0047
291,131.446,173.901,97.2163
292,107.863,174.499,97.4273
293,125.525,175.096,97.6376
294,117.304,175.694,97.8472
295,139.398,176.291,98.0561
296,141.315,176.889,98.2644
297,114.884,177.486,98.4719
298,122.797,178.084,98.6788
299,117.404,178.682,98.8850
300,115.072,179.279,99.0905
301,80.281,179.877,99.2953
302,123.715,180.474,99.4994
303,110.698,181.072,99.7028
304,86.977,181.670,99.9055
305,102.892,182.267,100.1075
306,154.420,182.865,100.3088
307,129.913,183.462,100.5094
308,115.137,184.060,100.7092
309,161.479,184.658,100.9083
310,157.986,185.255,101.1067
311,120.565,185.853,101.3044
312,128.671,186.450,101.5013
313,143.752,187.048,101.6975
314,152.958,187.646,101.8929
315,163.395,188.243,102.0876
316,141.577,188.841,102.2816
317,131.289,189.438,102.4748
318,111.580,190.036,102.6673
319,130.824,190.634,102.8590
320,151.091,191.231,103.0499
321,127.311,191.829,103.2401
322,85.245,192.426,103.4295
323,88.378,193.024,103.6181
324,118.657,193.622,103.8060
325,128.879,194.219,103.9931
326,107.493,194.817,104.1794
327,107.475,195.414,104.3649
328,127.179,196.012,104.5497
329,97.957,196.610,104.7336
330,110.467,197.207,104.9168
331,124.881,197.805,105.0991
332,76.153,198.402,105.2807
333,112.548,199.000,105.4614
334,141.406,199.598,105.6414
335,160.457,200.195,105.8205
336,170.388,200.793,105.9989
337,142.983,201.390,106.1764
338,105.483,201.988,106.3531
339,79.253,202.586,106.5290
340,90.507,203.183,106.7040
341,66.932,203.781,106.8783
342,89.931,204.378,107.0517
343,122.118,204.976,107.2242
344,110.202,205.574,107.3959
345,92.703,206.171,107.5668
346,78.920,206.769,107.7369
347,110.323,207.366,107.9061
348,107.799,207.964,108.0744
