Distance_(pixels),Gray_Value,X_Fit:_Gaussian,Fit:_Gaussian
0,34.000,0.000,25.1889
1,34.332,0.598,25.3354
2,33.815,1.195,25.4825
3,33.169,1.793,25.6304
4,33.333,2.390,25.7790
5,33.333,2.988,25.9283
6,33.333,3.586,26.0783
7,33.333,4.183,26.2289
8,33.468,4.781,26.3803
9,33.667,5.378,26.5324
10,33.671,5.976,26.6852
11,34.205,6.574,26.8386
12,34.333,7.171,26.9928
13,34.426,7.769,27.1477
14,34.255,8.366,27.3033
15,33.363,8.964,27.4596
16,33.333,9.562,27.6166
17,33.333,10.159,27.7743
18,33.333,10.757,27.9327
19,33.333,11.354,28.0918
20,33.333,11.952,28.2516
21,33.333,12.550,28.4121
22,33.333,13.147,28.5733
23,33.436,13.745,28.7353
24,33.473,14.342,28.8979
25,33.399,14.940,29.0612
26,34.616,15.538,29.2253
27,35.000,16.135,29.3900
28,34.442,16.733,29.5555
29,33.667,17.330,29.7216
30,33.667,17.928,29.8885
31,33.667,18.526,30.0560
32,33.667,19.123,30.2243
33,33.948,19.721,30.3933
34,34.654,20.318,30.5629
35,35.023,20.916,30.7333
36,35.038,21.514,30.9044
37,34.832,22.111,31.0762
38,34.492,22.709,31.2487
39,33.858,23.306,31.4219
40,33.357,23.904,31.5958
41,34.101,24.502,31.7704
42,35.565,25.099,31.9457
43,35.217,25.697,32.1217
44,34.486,26.294,32.2984
45,35.030,26.892,32.4757
46,35.409,27.489,32.6538
47,35.631,28.087,32.8326
48,36.736,28.685,33.0121
49,37.598,29.282,33.1923
50,36.794,29.880,33.3732
51,36.502,30.477,33.5548
52,37.311,31.075,33.7371
53,34.965,31.673,33.9200
54,35.163,32.270,34.1037
55,36.630,32.868,34.2880
56,35.071,33.465,34.4731
57,35.998,34.063,34.6588
58,37.789,34.661,34.8452
59,38.077,35.258,35.0323
60,35.789,35.856,35.2201
61,36.712,36.453,35.4086
62,35.956,37.051,35.5978
63,36.501,37.649,35.7876
64,36.722,38.246,35.9782
65,38.516,38.844,36.1694
66,40.214,39.441,36.3613
67,41.268,40.039,36.5538
68,40.820,40.637,36.7471
69,40.159,41.234,36.9410
70,39.794,41.832,37.1356
71,41.123,42.429,37.3309
72,43.074,43.027,37.5268
73,43.927,43.625,37.7234
74,44.484,44.222,37.9207
75,44.383,44.820,38.1187
76,42.869,45.417,38.3173
77,43.931,46.015,38.5165
78,42.790,46.613,38.7165
79,42.963,47.210,38.9171
80,43.652,47.808,39.1183
81,46.128,48.405,39.3202
82,46.641,49.003,39.5228
83,44.652,49.601,39.7260
84,44.136,50.198,39.9299
85,45.158,50.796,40.1344
86,44.280,51.393,40.3395
87,47.590,51.991,40.5453
88,46.887,52.589,40.7518
89,45.768,53.186,40.9588
90,40.428,53.784,41.1666
91,41.340,54.381,41.3749
