Distance_(pixels),Gray_Value,X_Fit:_Gaussian,Fit:_Gaussian
0,35.000,0.000,20.8095
1,36.623,0.600,21.1702
2,36.145,1.199,21.5304
3,35.174,1.799,21.8901
4,34.830,2.398,22.2493
5,35.390,2.998,22.6080
6,35.336,3.598,22.9662
7,35.966,4.197,23.3239
8,36.779,4.797,23.6812
9,35.827,5.396,24.0379
10,35.691,5.996,24.3941
11,37.534,6.596,24.7498
12,39.116,7.195,25.1051
13,38.023,7.795,25.4598
14,37.974,8.394,25.8140
15,39.333,8.994,26.1677
16,38.636,9.594,26.5209
17,37.290,10.193,26.8736
18,39.803,10.793,27.2258
19,41.219,11.392,27.5775
20,39.083,11.992,27.9287
21,40.257,12.592,28.2793
22,38.634,13.191,28.6295
23,38.280,13.791,28.9791
24,39.779,14.390,29.3282
25,41.218,14.990,29.6768
26,42.828,15.590,30.0249
27,41.891,16.189,30.3724
28,40.258,16.789,30.7195
29,40.316,17.388,31.0660
30,41.582,17.988,31.4120
31,43.846,18.588,31.7575
32,44.214,19.187,32.1024
33,40.912,19.787,32.4468
34,42.384,20.386,32.7907
35,41.496,20.986,33.1341
36,41.433,21.586,33.4769
37,42.886,22.185,33.8192
38,45.914,22.785,34.1610
39,45.797,23.384,34.5023
40,45.239,23.984,34.8430
41,44.939,24.584,35.1832
42,45.316,25.183,35.5228
43,44.596,25.783,35.8619
44,44.849,26.382,36.2005
45,44.368,26.982,36.5385
46,44.178,27.582,36.8760
47,43.304,28.181,37.2129
48,42.248,28.781,37.5493
49,44.101,29.380,37.8852
50,44.071,29.980,38.2205
51,48.674,30.580,38.5553
52,46.027,31.179,38.8895
53,43.475,31.779,39.2232
54,47.574,32.378,39.5563
55,46.142,32.978,39.8888
56,44.122,33.578,40.2209
57,46.163,34.177,40.5523
58,46.380,34.777,40.8833
59,47.180,35.376,41.2136
60,47.856,35.976,41.5434
61,47.680,36.576,41.8727
62,45.380,37.175,42.2014
63,48.413,37.775,42.5295
64,45.294,38.374,42.8571
65,50.180,38.974,43.1841
66,49.453,39.574,43.5105
67,45.750,40.173,43.8364
68,49.007,40.773,44.1617
69,49.944,41.372,44.4865
70,47.431,41.972,44.8107
71,50.446,42.572,45.1343
72,51.803,43.171,45.4573
73,50.669,43.771,45.7798
74,52.929,44.370,46.1017
75,50.838,44.970,46.4230
76,52.302,45.570,46.7438
77,47.819,46.169,47.0640
78,48.336,46.769,47.3836
79,50.086,47.368,47.7027
80,57.968,47.968,48.0211
81,53.256,48.568,48.3390
82,53.807,49.167,48.6563
83,58.201,49.767,48.9730
84,58.497,50.366,49.2892
85,53.700,50.966,49.6047
86,66.520,51.566,49.9197
87,64.216,52.165,50.2341
88,57.801,52.765,50.5479
89,58.990,53.364,50.8611
90,66.268,53.964,51.1737
91,63.688,54.564,51.4858
92,61.963,55.163,51.7972
93,62.308,55.763,52.1081
94,60.508,56.362,52.4183
95,57.822,56.962,52.7280
96,60.636,57.562,53.0371
97,64.614,58.161,53.3456
98,67.125,58.761,53.6534
99,63.925,59.360,53.9607
100,59.136,59.960,54.2674
101,56.752,60.560,54.5735
102,54.763,61.159,54.8790
103,58.776,61.759,55.1839
104,58.891,62.358,55.4882
105,69.103,62.958,55.7919
106,68.830,63.558,56.0949
107,65.834,64.157,56.3974
108,70.982,64.757,56.6993
109,76.945,65.356,57.0005
110,82.492,65.956,57.3012
111,71.991,66.556,57.6012
112,75.674,67.155,57.9006
113,71.908,67.755,58.1995
114,75.189,68.354,58.4977
115,78.592,68.954,58.7952
116,64.652,69.554,59.0922
117,74.674,70.153,59.3886
118,83.620,70.753,59.6843
119,81.757,71.352,59.9795
120,70.695,71.952,60.2740
121,68.483,72.552,60.5678
122,61.346,73.151,60.8611
123,59.233,73.751,61.1537
124,61.808,74.350,61.4458
125,67.515,74.950,61.7372
126,63.728,75.550,62.0279
127,71.532,76.149,62.3181
128,72.704,76.749,62.6076
129,82.344,77.348,62.8965
130,74.053,77.948,63.1848
131,82.010,78.548,63.4724
132,76.900,79.147,63.7594
133,87.565,79.747,64.0458
134,102.968,80.346,64.3315
135,91.106,80.946,64.6166
136,89.559,81.546,64.9011
137,95.531,82.145,65.1849
138,77.691,82.745,65.4681
139,85.407,83.344,65.7507
140,83.452,83.944,66.0326
141,81.502,84.544,66.3139
142,85.754,85.143,66.5945
143,112.359,85.743,66.8745
144,103.903,86.342,67.1539
145,105.215,86.942,67.4326
146,110.292,87.542,67.7107
147,122.826,88.141,67.9881
148,121.000,88.741,68.2649
149,132.718,89.340,68.5410
150,131.356,89.940,68.8165
151,113.359,90.540,69.0913
152,114.384,91.139,69.3655
153,112.500,91.739,69.6390
154,98.490,92.338,69.9119
155,89.489,92.938,70.1841
156,94.928,93.538,70.4557
157,94.152,94.137,70.7266
158,92.385,94.737,70.9969
159,88.129,95.336,71.2665
160,109.151,95.936,71.5355
161,101.916,96.536,71.8038
162,95.472,97.135,72.0714
163,103.082,97.735,72.3384
164,119.179,98.334,72.6047
165,124.849,98.934,72.8703
166,124.011,99.534,73.1353
167,115.301,100.133,73.3997
168,114.131,100.733,73.6633
169,138.300,101.332,73.9263
170,136.560,101.932,74.1886
171,137.529,102.532,74.4503
172,133.588,103.131,74.7113
173,131.176,103.731,74.9716
174,118.506,104.330,75.2313
175,97.831,104.930,75.4903
176,115.457,105.530,75.7486
177,118.696,106.129,76.0062
178,109.382,106.729,76.2632
179,104.995,107.328,76.5195
180,112.630,107.928,76.7751
181,106.398,108.528,77.0300
182,129.312,109.127,77.2843
183,139.644,109.727,77.5379
184,136.594,110.326,77.7908
185,136.425,110.926,78.0430
186,127.366,111.526,78.2945
187,102.945,112.125,78.5454
188,116.705,112.725,78.7956
189,115.598,113.324,79.0451
190,110.680,113.924,79.2939
191,89.058,114.524,79.5420
192,88.844,115.123,79.7894
193,114.190,115.723,80.0362
194,118.391,116.322,80.2823
195,94.465,116.922,80.5276
196,72.792,117.522,80.7723
197,113.230,118.121,81.0163
198,107.623,118.721,81.2596
199,100.466,119.320,81.5022
200,100.216,119.920,81.7442
201,99.376,120.520,81.9854
202,126.858,121.119,82.2259
203,126.774,121.719,82.4658
204,119.468,122.318,82.7049
205,106.261,122.918,82.9434
206,108.289,123.518,83.1811
207,126.099,124.117,83.4182
208,105.125,124.717,83.6545
209,109.731,125.316,83.8902
210,132.977,125.916,84.1251
211,117.488,126.516,84.3594
212,91.185,127.115,84.5929
213,92.582,127.715,84.8257
214,103.937,128.314,85.0579
215,113.933,128.914,85.2893
216,99.649,129.514,85.5200
217,103.814,130.113,85.7501
218,110.507,130.713,85.9794
219,144.765,131.312,86.2080
220,144.320,131.912,86.4359
221,129.509,132.512,86.6630
222,85.205,133.111,86.8895
223,77.184,133.711,87.1153
224,85.949,134.310,87.3403
225,81.447,134.910,87.5647
226,94.820,135.510,87.7883
227,122.391,136.109,88.0112
228,154.405,136.709,88.2334
229,109.129,137.308,88.4549
230,122.163,137.908,88.6756
231,121.094,138.508,88.8957
232,129.521,139.107,89.1150
233,65.832,139.707,89.3336
234,87.646,140.306,89.5515
235,140.799,140.906,89.7686
236,125.580,141.506,89.9851
237,98.224,142.105,90.2008
238,115.424,142.705,90.4158
239,102.223,143.304,90.6301
240,93.662,143.904,90.8436
241,99.795,144.504,91.0564
242,95.423,145.103,91.2685
243,110.280,145.703,91.4799
244,136.953,146.302,91.6906
245,86.220,146.902,91.9005
246,80.091,147.501,92.1096
247,98.156,148.101,92.3181
248,106.683,148.701,92.5258
249,100.660,149.300,92.7328
250,101.891,149.900,92.9391
251,120.046,150.499,93.1446
252,116.854,151.099,93.3494
253,114.525,151.699,93.5535
254,112.391,152.298,93.7568
255,99.447,152.898,93.9594
256,130.229,153.497,94.1612
257,114.122,154.097,94.3624
258,118.906,154.697,94.5627
259,144.565,155.296,94.7624
260,116.701,155.896,94.9613
261,136.437,156.495,95.1594
262,186.750,157.095,95.3569
263,130.305,157.695,95.5535
264,96.913,158.294,95.7495
265,90.290,158.894,95.9447
266,100.315,159.493,96.1391
267,123.496,160.093,96.3328
268,119.043,160.693,96.5258
269,119.848,161.292,96.7180
270,133.243,161.892,96.9095
271,141.611,162.491,97.1002
272,97.624,163.091,97.2902
273,114.060,163.691,97.4794
274,125.407,164.290,97.6679
275,118.942,164.890,97.8556
276,134.904,165.489,98.0426
277,134.607,166.089,98.2289
278,117.949,166.689,98.4143
279,128.946,167.288,98.5991
280,123.774,167.888,98.7830
281,124.617,168.487,98.9663
282,118.686,169.087,99.1487
283,119.512,169.687,99.3304
284,138.333,170.286,99.5114
285,108.814,170.886,99.6916
286,146.520,171.485,99.8711
287,142.060,172.085,100.0497
288,116.282,172.685,100.2277
289,101.510,173.284,100.4048
290,95.312,173.884,100.5813
291,112.305,174.483,100.7569
292,101.985,175.083,100.9318
293,95.110,175.683,101.1059
294,76.666,176.282,101.2793
295,106.555,176.882,101.4519
296,73.211,177.481,101.6238
297,113.253,178.081,101.7949
298,135.526,178.681,101.9652
299,114.210,179.280,102.1347
300,94.448,179.880,102.3035
301,92.319,180.479,102.4715
302,100.618,181.079,102.6388
303,139.629,181.679,102.8053
304,104.537,182.278,102.9710
305,123.319,182.878,103.1360
306,130.810,183.477,103.3001
307,92.376,184.077,103.4636
308,100.713,184.677,103.6262
309,77.577,185.276,103.7881
310,97.252,185.876,103.9492
311,124.650,186.475,104.1095
312,117.201,187.075,104.2691
313,116.793,187.675,104.4279
314,110.517,188.274,104.5859
315,130.988,188.874,104.7431
316,101.433,189.473,104.8996
317,94.416,190.073,105.0553
318,100.999,190.673,105.2102
319,121.934,191.272,105.3643
320,85.194,191.872,105.5177
321,104.630,192.471,105.6703
322,139.538,193.071,105.8221
323,104.509,193.671,105.9731
324,123.155,194.270,106.1234
325,130.786,194.870,106.2729
326,123.690,195.469,106.4215
327,121.848,196.069,106.5695
328,100.437,196.669,106.7166
329,66.188,197.268,106.8629
330,121.398,197.868,107.0085
331,126.164,198.467,107.1533
332,137.470,199.067,107.2973
333,151.136,199.667,107.4405
334,145.068,200.266,107.5829
335,97.937,200.866,107.7246
336,83.520,201.465,107.8654
337,70.739,202.065,108.0055
338,78.122,202.665,108.1448
339,127.783,203.264,108.2833
340,140.206,203.864,108.4210
341,139.242,204.463,108.5580
342,133.152,205.063,108.6941
343,112.178,205.663,108.8295
344,131.738,206.262,108.9640
345,121.424,206.862,109.0978
346,116.812,207.461,109.2308
347,137.954,208.061,109.3630
348,124.853,208.661,109.4944
349,142.642,209.260,109.6250
350,133.274,209.860,109.7548
351,144.003,210.459,109.8839
352,111.153,211.059,110.0121
353,105.814,211.659,110.1395
354,87.422,212.258,110.2662
355,88.802,212.858,110.3920
356,87.181,213.457,110.5171
357,104.088,214.057,110.6414
358,93.923,214.657,110.7648
359,87.975,215.256,110.8875
360,142.527,215.856,111.0094
361,137.153,216.455,111.1305
362,90.911,217.055,111.2507
363,102.755,217.655,111.3702
364,101.241,218.254,111.4889
365,90.053,218.854,111.6068
366,119.696,219.453,111.7239
367,128.816,220.053,111.8402
368,119.535,220.653,111.9557
369,128.796,221.252,112.0704
370,131.463,221.852,112.1843
371,118.599,222.451,112.2973
372,135.939,223.051,112.4096
373,138.056,223.651,112.5211
374,93.030,224.250,112.6318
375,72.862,224.850,112.7417
376,97.819,225.449,112.8508
377,99.707,226.049,112.9590
378,147.718,226.649,113.0665
379,143.921,227.248,113.1732
380,150.038,227.848,113.2790
381,107.713,228.447,113.3841
382,95.932,229.047,113.4883
383,91.034,229.647,113.5918
384,97.072,230.246,113.6944
385,133.862,230.846,113.7962
386,123.258,231.445,113.8973
387,98.005,232.045,113.9975
388,113.091,232.645,114.0969
389,103.171,233.244,114.1955
390,89.368,233.844,114.2933
391,84.892,234.443,114.3903
392,80.811,235.043,114.4865
393,123.422,235.643,114.5818
394,124.574,236.242,114.6764
395,152.143,236.842,114.7701
396,161.174,237.441,114.8631
397,90.817,238.041,114.9552
398,88.067,238.641,115.0465
399,70.915,239.240,115.1370
400,94.388,239.840,115.2267
401,106.650,240.439,115.3156
402,113.367,241.039,115.4037
403,79.079,241.639,115.4909
404,73.105,242.238,115.5774
405,75.107,242.838,115.6630
406,80.283,243.437,115.7478
407,87.235,244.037,115.8318
408,109.614,244.637,115.9150
409,113.228,245.236,115.9974
410,125.498,245.836,116.0789
411,112.517,246.435,116.1597
412,102.043,247.035,116.2396
413,108.381,247.635,116.3187
414,104.491,248.234,116.3970
415,101.554,248.834,116.4745
416,91.832,249.433,116.5512
417,147.868,250.033,116.6270
418,119.249,250.633,116.7021
419,119.556,251.232,116.7763
420,109.188,251.832,116.8497
421,84.866,252.431,116.9222
422,100.583,253.031,116.9940
423,138.649,253.631,117.0650
424,135.689,254.230,117.1351
425,118.475,254.830,117.2044
426,128.901,255.429,117.2729
427,134.253,256.029,117.3405
428,125.720,256.629,117.4074
429,125.996,257.228,117.4734
430,108.983,257.828,117.5386
431,98.694,258.427,117.6030
432,90.308,259.027,117.6666
433,81.970,259.627,117.7293
434,96.300,260.226,117.7912
435,84.292,260.826,117.8523
436,84.998,261.425,117.9126
437,106.080,262.025,117.9721
438,128.206,262.625,118.0307
439,124.057,263.224,118.0885
440,83.739,263.824,118.1455
441,97.281,264.423,118.2017
