Distance_(pixels),Gray_Value,X_Fit:_Gaussian,Fit:_Gaussian
0,34.333,0.000,20.301
1,37.442,0.600,20.668
2,36.875,1.199,21.035
3,35.914,1.799,21.401
4,35.272,2.398,21.767
5,35.092,2.998,22.133
6,35.242,3.598,22.498
7,35.562,4.197,22.862
8,36.330,4.797,23.226
9,35.494,5.396,23.589
10,35.473,5.996,23.952
11,37.622,6.596,24.314
12,38.131,7.195,24.676
13,38.618,7.795,25.037
14,37.904,8.394,25.398
15,35.628,8.994,25.758
16,34.767,9.594,26.118
17,36.193,10.193,26.477
18,37.476,10.793,26.836
19,37.112,11.392,27.194
20,37.758,11.992,27.552
21,37.837,12.592,27.909
22,37.510,13.191,28.265
23,36.890,13.791,28.622
24,37.948,14.390,28.977
25,39.702,14.990,29.332
26,40.040,15.590,29.687
27,38.250,16.189,30.040
28,38.780,16.789,30.394
29,39.995,17.388,30.747
30,40.209,17.988,31.099
31,41.085,18.588,31.451
32,40.344,19.187,31.802
33,39.735,19.787,32.153
34,38.768,20.386,32.503
35,38.616,20.986,32.853
36,41.116,21.586,33.202
37,43.128,22.185,33.550
38,44.296,22.785,33.898
39,44.952,23.384,34.246
40,42.812,23.984,34.593
41,42.317,24.584,34.939
42,45.714,25.183,35.285
43,42.332,25.783,35.630
44,41.382,26.382,35.975
45,41.805,26.982,36.319
46,40.956,27.582,36.663
47,42.114,28.181,37.006
48,42.797,28.781,37.348
49,43.542,29.380,37.690
50,42.390,29.980,38.032
51,44.858,30.580,38.373
52,43.632,31.179,38.713
53,41.711,31.779,39.053
54,44.789,32.378,39.392
55,43.969,32.978,39.730
56,40.596,33.578,40.068
57,41.977,34.177,40.406
58,44.230,34.777,40.743
59,48.828,35.376,41.079
60,48.648,35.976,41.415
61,46.446,36.576,41.750
62,46.424,37.175,42.085
63,47.481,37.775,42.419
64,44.426,38.374,42.752
65,49.226,38.974,43.085
66,47.558,39.574,43.417
67,43.970,40.173,43.749
68,48.754,40.773,44.080
69,51.054,41.372,44.411
70,51.177,41.972,44.741
71,52.158,42.572,45.070
72,53.084,43.171,45.399
73,48.648,43.771,45.727
74,50.316,44.370,46.055
75,50.335,44.970,46.382
76,50.128,45.570,46.708
77,45.456,46.169,47.034
78,46.639,46.769,47.360
79,51.192,47.368,47.684
80,57.721,47.968,48.008
81,51.146,48.568,48.332
82,54.699,49.167,48.655
83,60.554,49.767,48.977
84,59.089,50.366,49.299
85,59.740,50.966,49.620
86,72.625,51.566,49.941
87,63.968,52.165,50.260
88,59.947,52.765,50.580
89,60.194,53.364,50.899
90,66.084,53.964,51.217
91,66.364,54.564,51.534
92,65.987,55.163,51.851
93,64.885,55.763,52.167
94,65.665,56.362,52.483
95,62.090,56.962,52.798
96,64.765,57.562,53.113
97,67.532,58.161,53.427
98,70.421,58.761,53.740
99,63.585,59.360,54.053
100,63.170,59.960,54.365
101,60.211,60.560,54.676
102,57.688,61.159,54.987
103,61.038,61.759,55.297
104,64.463,62.358,55.607
105,68.606,62.958,55.915
106,85.317,63.558,56.224
107,70.593,64.157,56.531
108,75.331,64.757,56.839
109,82.921,65.356,57.145
110,90.010,65.956,57.451
111,84.100,66.556,57.756
112,85.858,67.155,58.061
113,83.348,67.755,58.365
114,84.170,68.354,58.668
115,84.421,68.954,58.971
116,76.127,69.554,59.273
117,78.921,70.153,59.574
118,85.536,70.753,59.875
119,86.806,71.352,60.175
120,79.191,71.952,60.475
121,71.545,72.552,60.773
122,68.022,73.151,61.072
123,62.589,73.751,61.369
124,64.767,74.350,61.666
125,66.725,74.950,61.963
126,67.479,75.550,62.258
127,69.056,76.149,62.553
128,71.104,76.749,62.848
129,81.416,77.348,63.142
130,75.664,77.948,63.435
131,89.949,78.548,63.727
132,84.060,79.147,64.019
133,99.993,79.747,64.310
134,104.862,80.346,64.601
135,92.701,80.946,64.890
136,89.798,81.546,65.180
137,99.890,82.145,65.468
138,92.898,82.745,65.756
139,89.330,83.344,66.043
140,89.413,83.944,66.330
141,90.328,84.544,66.616
142,95.477,85.143,66.901
143,123.286,85.743,67.186
144,110.555,86.342,67.470
145,115.310,86.942,67.753
146,119.168,87.542,68.036
147,123.190,88.141,68.318
148,125.406,88.741,68.599
149,137.537,89.340,68.880
150,124.665,89.940,69.160
151,115.741,90.540,69.439
152,107.517,91.139,69.718
153,119.420,91.739,69.996
154,98.670,92.338,70.273
155,96.134,92.938,70.550
156,96.265,93.538,70.826
157,98.805,94.137,71.101
158,102.863,94.737,71.376
159,92.608,95.336,71.649
160,115.424,95.936,71.923
161,110.223,96.536,72.195
162,105.032,97.135,72.467
163,106.856,97.735,72.739
164,124.704,98.334,73.009
165,122.258,98.934,73.279
166,114.410,99.534,73.548
167,114.982,100.133,73.817
168,116.005,100.733,74.085
169,137.195,101.332,74.352
170,111.673,101.932,74.618
171,132.573,102.532,74.884
172,116.213,103.131,75.149
173,121.325,103.731,75.413
174,122.065,104.330,75.677
175,99.304,104.930,75.940
176,116.481,105.530,76.203
177,129.559,106.129,76.464
178,120.176,106.729,76.725
179,112.056,107.328,76.985
180,92.136,107.928,77.245
181,96.628,108.528,77.504
182,96.016,109.127,77.762
183,88.366,109.727,78.019
184,107.784,110.326,78.276
185,130.414,110.926,78.532
186,106.479,111.526,78.788
187,104.691,112.125,79.042
188,90.772,112.725,79.296
189,100.941,113.324,79.550
190,115.441,113.924,79.802
191,71.525,114.524,80.054
192,71.554,115.123,80.305
193,106.829,115.723,80.556
194,104.831,116.322,80.805
195,76.556,116.922,81.054
196,93.516,117.522,81.303
197,136.154,118.121,81.550
198,94.929,118.721,81.797
199,78.318,119.320,82.044
