Distance_(pixels),Gray_Value,X_Fit:_Gaussian,Fit:_Gaussian
0,37.000,0.000,25.4944
1,36.402,0.598,25.7060
2,35.804,1.195,25.9182
3,35.202,1.793,26.1309
4,35.564,2.390,26.3441
5,35.327,2.988,26.5578
6,35.333,3.586,26.7720
7,35.785,4.183,26.9867
8,36.058,4.781,27.2019
9,36.137,5.378,27.4177
10,36.667,5.976,27.6339
11,36.356,6.574,27.8507
12,35.737,7.171,28.0679
13,35.324,7.769,28.2856
14,34.142,8.366,28.5039
15,35.000,8.964,28.7226
16,35.000,9.562,28.9418
17,35.568,10.159,29.1616
18,36.687,10.757,29.3818
19,36.739,11.354,29.6025
20,34.693,11.952,29.8236
21,34.969,12.550,30.0453
22,35.278,13.147,30.2675
23,35.238,13.745,30.4901
24,35.556,14.342,30.7132
25,35.066,14.940,30.9368
26,35.686,15.538,31.1608
27,35.951,16.135,31.3854
28,37.106,16.733,31.6104
29,37.762,17.330,31.8358
30,38.140,17.928,32.0618
31,38.430,18.526,32.2882
32,39.224,19.123,32.5150
33,40.212,19.721,32.7423
34,42.254,20.318,32.9701
35,43.147,20.916,33.1984
36,42.027,21.514,33.4270
37,41.583,22.111,33.6562
38,39.994,22.709,33.8857
39,38.660,23.306,34.1158
40,39.525,23.904,34.3462
41,40.528,24.502,34.5772
42,43.218,25.099,34.8085
43,44.822,25.697,35.0403
44,44.618,26.294,35.2725
45,41.653,26.892,35.5052
46,41.805,27.489,35.7382
47,43.283,28.087,35.9717
48,42.616,28.685,36.2057
49,43.764,29.282,36.4400
50,43.847,29.880,36.6748
51,41.256,30.477,36.9100
52,42.447,31.075,37.1456
53,41.351,31.673,37.3816
54,39.542,32.270,37.6180
55,40.590,32.868,37.8548
56,41.896,33.465,38.0920
57,41.910,34.063,38.3296
58,42.585,34.661,38.5677
59,43.738,35.258,38.8061
60,44.527,35.856,39.0449
61,42.265,36.453,39.2841
62,40.299,37.051,39.5237
63,40.822,37.649,39.7636
64,40.962,38.246,40.0040
65,42.803,38.844,40.2447
66,43.061,39.441,40.4858
67,42.695,40.039,40.7273
68,44.884,40.637,40.9691
69,46.349,41.234,41.2113
70,44.131,41.832,41.4539
71,44.159,42.429,41.6968
72,48.424,43.027,41.9401
73,55.512,43.625,42.1837
74,57.708,44.222,42.4277
75,57.580,44.820,42.6720
76,53.149,45.417,42.9167
77,49.508,46.015,43.1617
78,48.342,46.613,43.4071
79,50.956,47.210,43.6528
80,47.977,47.808,43.8988
81,55.650,48.405,44.1451
82,53.058,49.003,44.3918
83,52.470,49.601,44.6388
84,54.454,50.198,44.8861
85,53.252,50.796,45.1337
86,49.534,51.393,45.3817
87,59.322,51.991,45.6299
88,61.381,52.589,45.8785
89,58.100,53.186,46.1273
90,46.845,53.784,46.3765
91,48.462,54.381,46.6260
92,51.674,54.979,46.8757
93,54.246,55.577,47.1257
94,52.237,56.174,47.3760
95,55.976,56.772,47.6266
96,55.104,57.369,47.8775
97,60.964,57.967,48.1286
98,60.187,58.565,48.3801
99,60.726,59.162,48.6317
100,69.162,59.760,48.8837
101,73.037,60.357,49.1359
102,75.314,60.955,49.3883
103,77.000,61.553,49.6410
104,71.814,62.150,49.8940
105,76.364,62.748,50.1472
106,66.461,63.345,50.4006
107,68.359,63.943,50.6543
108,70.291,64.541,50.9082
109,72.583,65.138,51.1624
110,68.708,65.736,51.4167
111,65.331,66.333,51.6713
112,63.649,66.931,51.9261
113,60.883,67.529,52.1811
114,56.694,68.126,52.4364
115,60.718,68.724,52.6918
116,57.654,69.321,52.9474
117,53.023,69.919,53.2033
118,56.535,70.517,53.4593
119,57.670,71.114,53.7155
120,56.584,71.712,53.9719
121,68.656,72.309,54.2285
122,63.871,72.907,54.4853
123,70.925,73.505,54.7422
124,73.310,74.102,54.9993
125,71.412,74.700,55.2566
126,66.909,75.297,55.5140
127,64.221,75.895,55.7716
128,66.820,76.492,56.0294
129,68.527,77.090,56.2872
130,80.027,77.688,56.5453
131,83.392,78.285,56.8035
132,74.857,78.883,57.0618
133,87.467,79.480,57.3202
134,100.849,80.078,57.5788
135,83.014,80.676,57.8375
136,91.373,81.273,58.0963
137,73.974,81.871,58.3552
138,66.589,82.468,58.6143
139,72.980,83.066,58.8734
140,83.431,83.664,59.1327
141,91.945,84.261,59.3920
142,92.507,84.859,59.6515
143,85.344,85.456,59.9110
144,95.043,86.054,60.1706
145,106.583,86.652,60.4303
146,106.246,87.249,60.6901
147,85.114,87.847,60.9499
148,94.343,88.444,61.2098
149,107.334,89.042,61.4698
150,102.862,89.640,61.7298
151,101.376,90.237,61.9899
152,90.965,90.835,62.2500
153,88.018,91.432,62.5102
154,96.867,92.030,62.7704
155,87.727,92.628,63.0306
156,91.204,93.225,63.2909
157,119.881,93.823,63.5512
158,113.174,94.420,63.8115
159,94.411,95.018,64.0718
160,82.355,95.616,64.3321
161,101.542,96.213,64.5925
162,102.078,96.811,64.8528
163,96.494,97.408,65.1132
164,95.325,98.006,65.3735
165,95.912,98.604,65.6338
166,115.577,99.201,65.8941
167,125.356,99.799,66.1544
168,119.135,100.396,66.4147
169,107.264,100.994,66.6749
170,97.272,101.592,66.9351
171,103.931,102.189,67.1952
172,107.060,102.787,67.4553
173,106.973,103.384,67.7154
174,95.266,103.982,67.9753
175,107.323,104.580,68.2353
176,109.606,105.177,68.4951
177,104.590,105.775,68.7549
178,108.781,106.372,69.0146
179,102.004,106.970,69.2743
180,119.176,107.568,69.5338
181,125.588,108.165,69.7933
182,141.151,108.763,70.0526
183,141.241,109.360,70.3119
184,137.238,109.958,70.5710
185,129.891,110.556,70.8301
186,104.531,111.153,71.0890
187,91.053,111.751,71.3478
188,115.518,112.348,71.6065
189,132.274,112.946,71.8650
190,129.279,113.544,72.1234
191,116.909,114.141,72.3817
192,96.781,114.739,72.6398
193,104.893,115.336,72.8978
194,113.217,115.934,73.1556
195,102.100,116.532,73.4132
196,96.171,117.129,73.6707
197,111.683,117.727,73.9280
198,130.826,118.324,74.1851
199,136.333,118.922,74.4421
200,112.624,119.520,74.6988
201,114.150,120.117,74.9554
202,128.398,120.715,75.2118
203,117.797,121.312,75.4679
204,102.071,121.910,75.7239
205,120.847,122.508,75.9797
206,129.418,123.105,76.2352
207,103.596,123.703,76.4905
208,101.931,124.300,76.7456
209,118.048,124.898,77.0004
210,100.172,125.495,77.2550
211,118.930,126.093,77.5093
212,101.796,126.691,77.7635
213,109.981,127.288,78.0173
214,133.538,127.886,78.2709
215,118.865,128.483,78.5242
216,117.726,129.081,78.7773
217,76.634,129.679,79.0300
218,88.569,130.276,79.2825
219,103.737,130.874,79.5347
220,112.822,131.471,79.7866
221,81.318,132.069,80.0382
222,97.338,132.667,80.2896
223,109.381,133.264,80.5406
224,128.627,133.862,80.7912
225,124.554,134.459,81.0416
226,80.907,135.057,81.2916
227,76.410,135.655,81.5414
228,73.847,136.252,81.7907
229,97.107,136.850,82.0398
230,131.446,137.447,82.2885
231,77.676,138.045,82.5368
232,107.874,138.643,82.7848
233,94.424,139.240,83.0324
234,93.929,139.838,83.2796
235,110.747,140.435,83.5265
236,77.361,141.033,83.7730
237,99.156,141.631,84.0191
238,118.549,142.228,84.2649
239,132.169,142.826,84.5102
240,127.190,143.423,84.7551
241,70.661,144.021,84.9997
242,117.586,144.619,85.2438
243,119.451,145.216,85.4875
244,99.018,145.814,85.7308
245,143.551,146.411,85.9736
246,127.248,147.009,86.2160
247,159.950,147.607,86.4580
248,128.121,148.204,86.6995
249,83.139,148.802,86.9406
250,100.297,149.399,87.1813
251,120.873,149.997,87.4215
252,139.312,150.595,87.6612
253,145.777,151.192,87.9004
254,143.663,151.790,88.1392
255,102.554,152.387,88.3775
256,99.933,152.985,88.6153
257,79.466,153.583,88.8526
258,90.754,154.180,89.0894
259,83.803,154.778,89.3257
260,105.522,155.375,89.5615
261,154.961,155.973,89.7968
262,95.041,156.571,90.0316
263,83.990,157.168,90.2658
264,75.895,157.766,90.4995
265,95.352,158.363,90.7327
266,125.025,158.961,90.9654
267,120.851,159.559,91.1975
268,109.778,160.156,91.4290
269,97.046,160.754,91.6600
270,116.051,161.351,91.8905
271,132.397,161.949,92.1203
272,90.757,162.547,92.3496
273,77.177,163.144,92.5783
274,84.068,163.742,92.8065
275,107.247,164.339,93.0340
276,103.489,164.937,93.2610
277,110.546,165.535,93.4873
278,121.190,166.132,93.7131
279,146.764,166.730,93.9382
280,132.042,167.327,94.1628
281,119.009,167.925,94.3867
282,145.184,168.523,94.6100
283,135.803,169.120,94.8326
284,97.873,169.718,95.0546
285,140.509,170.315,95.2760
286,155.732,170.913,95.4967
287,152.417,171.511,95.7168
288,160.176,172.108,95.9363
289,156.883,172.706,96.1550
290,156.264,173.303,96.3731
291,117.295,173.901,96.5905
292,113.273,174.499,96.8073
293,100.715,175.096,97.0234
294,106.216,175.694,97.2387
