Distance_(pixels),Gray_Value,X_Fit:_Gaussian,Fit:_Gaussian
0,28.000,0.000,17.965
1,36.272,0.598,18.202
2,35.910,1.195,18.439
3,34.105,1.793,18.676
4,34.333,2.390,18.914
5,34.336,2.988,19.153
6,33.966,3.586,19.392
7,33.333,4.183,19.631
8,33.333,4.781,19.870
9,33.333,5.378,20.111
10,33.333,5.976,20.351
11,33.911,6.574,20.592
12,34.264,7.171,20.834
13,33.925,7.769,21.075
14,33.627,8.366,21.318
15,33.337,8.964,21.560
16,33.604,9.562,21.803
17,33.667,10.159,22.047
18,33.941,10.757,22.291
19,34.665,11.354,22.535
20,35.000,11.952,22.780
21,34.697,12.550,23.025
22,34.333,13.147,23.271
23,34.923,13.745,23.517
24,35.733,14.342,23.763
25,34.367,14.940,24.010
26,34.500,15.538,24.257
27,33.921,16.135,24.504
28,34.644,16.733,24.752
29,36.000,17.330,25.001
30,36.000,17.928,25.249
31,35.706,18.526,25.498
32,36.106,19.123,25.748
33,37.247,19.721,25.998
34,40.116,20.318,26.248
35,39.180,20.916,26.499
36,37.991,21.514,26.750
37,36.990,22.111,27.001
38,36.097,22.709,27.253
39,35.489,23.306,27.505
40,34.846,23.904,27.757
41,37.193,24.502,28.010
42,41.750,25.099,28.264
43,40.572,25.697,28.517
44,40.466,26.294,28.771
45,40.213,26.892,29.025
46,39.417,27.489,29.280
47,39.898,28.087,29.535
48,41.230,28.685,29.790
49,42.497,29.282,30.046
50,40.484,29.880,30.302
51,38.503,30.477,30.558
52,40.183,31.075,30.815
53,39.814,31.673,31.072
54,37.279,32.270,31.329
55,39.139,32.868,31.587
56,39.974,33.465,31.845
57,40.824,34.063,32.103
58,39.200,34.661,32.362
59,38.333,35.258,32.621
60,40.296,35.856,32.880
61,40.314,36.453,33.140
62,38.205,37.051,33.400
63,39.302,37.649,33.660
64,39.684,38.246,33.920
65,39.466,38.844,34.181
66,40.532,39.441,34.442
67,43.612,40.039,34.704
68,40.673,40.637,34.965
69,39.340,41.234,35.227
70,41.387,41.832,35.490
71,43.250,42.429,35.752
72,44.291,43.027,36.015
73,47.372,43.625,36.278
74,48.837,44.222,36.541
75,52.311,44.820,36.805
76,48.319,45.417,37.069
77,46.936,46.015,37.333
78,45.412,46.613,37.598
79,46.797,47.210,37.862
80,44.339,47.808,38.127
81,49.032,48.405,38.392
82,47.187,49.003,38.658
83,50.247,49.601,38.924
84,51.143,50.198,39.190
85,47.409,50.796,39.456
86,48.684,51.393,39.722
87,48.237,51.991,39.989
88,51.420,52.589,40.256
89,51.311,53.186,40.523
90,42.424,53.784,40.790
91,44.148,54.381,41.058
92,50.146,54.979,41.326
93,48.180,55.577,41.594
94,46.837,56.174,41.862
95,49.058,56.772,42.130
96,51.650,57.369,42.399
97,51.977,57.967,42.668
98,51.396,58.565,42.937
99,53.822,59.162,43.206
100,57.979,59.760,43.475
101,56.998,60.357,43.745
102,62.755,60.955,44.015
103,62.319,61.553,44.285
104,59.283,62.150,44.555
105,59.631,62.748,44.825
106,56.604,63.345,45.096
107,56.572,63.943,45.367
108,60.546,64.541,45.637
109,63.578,65.138,45.908
110,55.748,65.736,46.180
111,52.364,66.333,46.451
112,52.913,66.931,46.722
113,47.327,67.529,46.994
114,45.677,68.126,47.266
115,48.241,68.724,47.538
