Distance_(pixels),Gray_Value,X_Fit:_Gaussian,Fit:_Gaussian
0,35.000,0.000,23.3140
1,34.525,0.598,23.5532
2,34.124,1.195,23.7927
3,35.255,1.793,24.0326
4,35.000,2.390,24.2728
5,35.003,2.988,24.5134
6,35.331,3.586,24.7543
7,34.925,4.183,24.9956
8,34.477,4.781,25.2373
9,34.269,5.378,25.4793
10,35.000,5.976,25.7216
11,35.000,6.574,25.9643
12,34.987,7.171,26.2073
13,35.695,7.769,26.4507
14,33.194,8.366,26.6944
15,32.674,8.964,26.9385
16,33.775,9.562,27.1829
17,34.741,10.159,27.4276
18,35.000,10.757,27.6726
19,35.498,11.354,27.9180
20,36.009,11.952,28.1637
21,36.240,12.550,28.4097
22,35.220,13.147,28.6560
23,35.913,13.745,28.9027
24,36.890,14.342,29.1497
25,35.400,14.940,29.3969
26,36.629,15.538,29.6445
27,36.884,16.135,29.8924
28,36.316,16.733,30.1406
29,36.657,17.330,30.3891
30,37.981,17.928,30.6379
31,37.398,18.526,30.8871
32,37.056,19.123,31.1365
33,38.465,19.721,31.3861
34,41.231,20.318,31.6361
35,42.263,20.916,31.8864
36,41.278,21.514,32.1370
37,39.483,22.111,32.3878
38,37.804,22.709,32.6389
39,36.732,23.306,32.8903
40,37.005,23.904,33.1420
41,39.419,24.502,33.3939
42,41.561,25.099,33.6461
43,42.027,25.697,33.8986
44,40.864,26.294,34.1513
45,40.315,26.892,34.4043
46,39.865,27.489,34.6576
47,40.114,28.087,34.9111
48,42.062,28.685,35.1649
49,43.861,29.282,35.4189
50,42.211,29.880,35.6732
51,40.946,30.477,35.9277
52,43.205,31.075,36.1824
53,39.606,31.673,36.4374
54,37.884,32.270,36.6927
55,40.480,32.868,36.9481
56,40.788,33.465,37.2038
57,41.429,34.063,37.4597
58,42.963,34.661,37.7159
59,44.334,35.258,37.9722
60,44.648,35.856,38.2288
61,43.361,36.453,38.4856
62,39.725,37.051,38.7426
63,41.338,37.649,38.9999
64,41.933,38.246,39.2573
65,40.818,38.844,39.5149
66,44.810,39.441,39.7728
67,44.844,40.039,40.0308
68,45.042,40.637,40.2890
69,46.086,41.234,40.5475
70,44.138,41.832,40.8061
71,44.995,42.429,41.0649
72,52.076,43.027,41.3239
73,54.553,43.625,41.5830
74,56.502,44.222,41.8424
75,59.731,44.820,42.1019
76,50.339,45.417,42.3615
77,49.263,46.015,42.6214
78,49.573,46.613,42.8814
79,50.632,47.210,43.1416
80,50.213,47.808,43.4019
81,56.015,48.405,43.6624
82,54.693,49.003,43.9230
83,55.956,49.601,44.1838
84,55.883,50.198,44.4448
85,51.637,50.796,44.7058
86,52.194,51.393,44.9670
87,59.479,51.991,45.2284
88,59.593,52.589,45.4899
89,58.436,53.186,45.7515
90,48.238,53.784,46.0132
91,46.416,54.381,46.2751
92,48.818,54.979,46.5371
93,53.260,55.577,46.7991
94,49.560,56.174,47.0613
95,52.804,56.772,47.3237
96,57.047,57.369,47.5861
97,59.744,57.967,47.8486
98,57.531,58.565,48.1112
99,57.544,59.162,48.3739
100,70.492,59.760,48.6367
101,69.900,60.357,48.8996
102,75.409,60.955,49.1626
103,74.335,61.553,49.4257
104,71.195,62.150,49.6888
105,69.491,62.748,49.9520
106,65.152,63.345,50.2153
107,64.414,63.943,50.4786
108,66.804,64.541,50.7420
109,69.880,65.138,51.0055
110,68.707,65.736,51.2691
111,58.143,66.333,51.5326
112,59.456,66.931,51.7963
113,57.936,67.529,52.0599
114,55.339,68.126,52.3237
115,58.401,68.724,52.5874
116,58.159,69.321,52.8512
117,55.174,69.919,53.1151
118,55.470,70.517,53.3789
119,58.311,71.114,53.6428
120,58.847,71.712,53.9067
121,66.912,72.309,54.1706
122,62.767,72.907,54.4346
123,71.698,73.505,54.6985
124,75.096,74.102,54.9624
125,65.723,74.700,55.2264
126,71.862,75.297,55.4903
127,64.308,75.895,55.7543
128,68.002,76.492,56.0182
129,73.509,77.090,56.2822
130,83.553,77.688,56.5461
131,82.054,78.285,56.8100
132,78.737,78.883,57.0738
133,87.431,79.480,57.3377
134,103.023,80.078,57.6015
135,89.267,80.676,57.8652
136,92.872,81.273,58.1290
137,79.452,81.871,58.3927
138,76.022,82.468,58.6563
139,78.938,83.066,58.9199
140,89.772,83.664,59.1834
141,103.109,84.261,59.4469
142,97.022,84.859,59.7103
143,92.166,85.456,59.9737
144,106.602,86.054,60.2370
145,127.650,86.652,60.5002
