Distance_(pixels),Gray_Value,X_Fit:_Gaussian,Fit:_Gaussian
0,33.333,0.000,33.1599
1,33.333,0.598,33.1709
2,33.333,1.195,33.1821
3,33.333,1.793,33.1936
4,33.333,2.390,33.2052
5,33.333,2.988,33.2170
6,33.333,3.586,33.2291
7,33.333,4.183,33.2414
8,33.333,4.781,33.2539
9,33.333,5.378,33.2666
10,33.333,5.976,33.2795
11,33.333,6.574,33.2927
12,33.188,7.171,33.3061
13,32.357,7.769,33.3197
14,33.333,8.366,33.3336
15,33.333,8.964,33.3477
16,33.333,9.562,33.3621
17,33.333,10.159,33.3767
18,33.333,10.757,33.3916
19,33.333,11.354,33.4067
20,33.333,11.952,33.4221
21,33.333,12.550,33.4377
22,33.333,13.147,33.4537
23,33.333,13.745,33.4699
24,33.333,14.342,33.4863
25,33.333,14.940,33.5031
26,33.583,15.538,33.5201
27,33.255,16.135,33.5375
28,33.000,16.733,33.5551
29,33.324,17.330,33.5730
30,33.653,17.928,33.5913
31,33.119,18.526,33.6098
32,34.121,19.123,33.6287
33,34.657,19.721,33.6478
34,36.144,20.318,33.6673
35,37.791,20.916,33.6871
36,35.083,21.514,33.7073
37,33.161,22.111,33.7278
38,32.791,22.709,33.7486
39,33.548,23.306,33.7697
40,33.929,23.904,33.7912
41,34.251,24.502,33.8131
42,36.256,25.099,33.8353
43,37.735,25.697,33.8579
44,38.448,26.294,33.8808
45,38.058,26.892,33.9042
46,36.914,27.489,33.9278
47,36.667,28.087,33.9519
48,37.531,28.685,33.9764
49,38.365,29.282,34.0013
50,37.767,29.880,34.0265
51,37.003,30.477,34.0522
52,37.552,31.075,34.0783
53,35.619,31.673,34.1047
54,34.575,32.270,34.1316
55,35.498,32.868,34.1590
56,37.095,33.465,34.1867
57,37.085,34.063,34.2149
58,37.583,34.661,34.2436
59,37.969,35.258,34.2727
60,38.310,35.856,34.3022
61,37.454,36.453,34.3322
62,36.195,37.051,34.3627
63,37.096,37.649,34.3936
64,38.656,38.246,34.4250
65,39.479,38.844,34.4569
66,37.404,39.441,34.4893
67,36.994,40.039,34.5221
68,36.374,40.637,34.5555
69,36.347,41.234,34.5894
70,35.982,41.832,34.6238
71,37.358,42.429,34.6587
72,41.350,43.027,34.6942
73,43.462,43.625,34.7301
74,43.192,44.222,34.7666
75,45.304,44.820,34.8037
76,43.337,45.417,34.8413
77,40.625,46.015,34.8795
78,41.165,46.613,34.9182
79,41.773,47.210,34.9575
80,41.760,47.808,34.9974
81,43.580,48.405,35.0378
82,44.852,49.003,35.0789
83,45.148,49.601,35.1205
84,45.699,50.198,35.1628
85,43.684,50.796,35.2056
86,42.782,51.393,35.2491
87,44.325,51.991,35.2932
88,45.459,52.589,35.3380
89,44.875,53.186,35.3834
90,42.300,53.784,35.4294
91,41.071,54.381,35.4761
92,41.808,54.979,35.5234
93,43.765,55.577,35.5714
94,43.262,56.174,35.6201
95,44.297,56.772,35.6695
96,45.482,57.369,35.7196
97,45.656,57.967,35.7703
98,45.516,58.565,35.8218
99,46.147,59.162,35.8740
100,47.955,59.760,35.9269
101,50.800,60.357,35.9805
102,55.972,60.955,36.0349
103,55.522,61.553,36.0900
104,53.186,62.150,36.1458
105,54.086,62.748,36.2024
106,50.769,63.345,36.2598
107,51.591,63.943,36.3180
108,52.220,64.541,36.3769
109,52.600,65.138,36.4366
110,52.281,65.736,36.4972
111,46.912,66.333,36.5585
112,45.790,66.931,36.6206
113,45.780,67.529,36.6836
114,46.072,68.126,36.7474
115,42.613,68.724,36.8120
116,45.975,69.321,36.8775
117,46.080,69.919,36.9438
118,43.701,70.517,37.0110
119,42.373,71.114,37.0791
120,43.553,71.712,37.1480
121,45.432,72.309,37.2179
122,45.708,72.907,37.2886
123,46.822,73.505,37.3602
124,48.893,74.102,37.4327
125,45.670,74.700,37.5062
126,46.784,75.297,37.5806
127,47.489,75.895,37.6559
128,47.809,76.492,37.7322
129,48.101,77.090,37.8094
130,49.477,77.688,37.8876
131,51.184,78.285,37.9667
132,48.811,78.883,38.0468
133,52.053,79.480,38.1280
134,54.897,80.078,38.2101
135,49.937,80.676,38.2932
136,53.693,81.273,38.3773
137,47.821,81.871,38.4624
138,44.806,82.468,38.5486
139,46.486,83.066,38.6358
140,49.990,83.664,38.7241
141,49.416,84.261,38.8134
142,49.516,84.859,38.9038
143,49.932,85.456,38.9952
144,51.966,86.054,39.0877
145,54.876,86.652,39.1813
146,55.496,87.249,39.2760
147,51.751,87.847,39.3719
148,52.741,88.444,39.4688
149,55.993,89.042,39.5668
150,53.635,89.640,39.6660
151,54.009,90.237,39.7663
152,49.890,90.835,39.8678
153,52.568,91.432,39.9704
154,53.880,92.030,40.0742
155,50.658,92.628,40.1791
156,48.373,93.225,40.2853
157,54.086,93.823,40.3926
158,55.182,94.420,40.5011
159,53.598,95.018,40.6108
160,48.263,95.616,40.7218
161,50.253,96.213,40.8339
162,52.307,96.811,40.9473
163,53.531,97.408,41.0620
164,55.493,98.006,41.1778
165,53.296,98.604,41.2950
166,57.956,99.201,41.4134
167,64.268,99.799,41.5330
168,63.534,100.396,41.6540
169,59.648,100.994,41.7762
170,53.369,101.592,41.8997
171,54.285,102.189,42.0246
172,64.642,102.787,42.1507
173,62.739,103.384,42.2782
174,56.366,103.982,42.4069
175,61.212,104.580,42.5370
176,58.429,105.177,42.6685
177,58.921,105.775,42.8013
178,61.001,106.372,42.9355
179,58.237,106.970,43.0710
180,64.762,107.568,43.2079
181,76.318,108.165,43.3462
182,67.625,108.763,43.4858
183,69.823,109.360,43.6269
184,77.051,109.958,43.7693
185,76.850,110.556,43.9132
186,84.987,111.153,44.0585
187,84.759,111.751,44.2052
188,76.369,112.348,44.3533
189,72.006,112.946,44.5028
190,69.269,113.544,44.6538
191,69.701,114.141,44.8063
192,84.188,114.739,44.9602
