Distance_(pixels),Gray_Value,X_Fit:_Gaussian,Fit:_Gaussian
0,37.667,0.000,21.775
1,36.670,0.598,22.172
2,36.000,1.195,22.569
3,35.842,1.793,22.964
4,35.727,2.390,23.359
5,36.680,2.988,23.753
6,37.471,3.586,24.147
7,37.264,4.183,24.539
8,37.058,4.781,24.931
9,37.190,5.378,25.322
10,38.320,5.976,25.713
11,38.022,6.574,26.102
12,36.281,7.171,26.491
13,36.653,7.769,26.879
14,35.206,8.366,27.267
15,35.983,8.964,27.654
16,36.953,9.562,28.040
17,36.556,10.159,28.425
18,36.529,10.757,28.809
19,37.065,11.354,29.193
20,37.693,11.952,29.576
21,37.667,12.550,29.958
22,37.731,13.147,30.340
23,38.237,13.745,30.721
24,39.067,14.342,31.101
25,38.300,14.940,31.480
26,38.498,15.538,31.859
27,39.284,16.135,32.237
28,39.930,16.733,32.614
29,39.907,17.330,32.990
30,39.771,17.928,33.366
31,39.533,18.526,33.741
32,41.032,19.123,34.115
33,43.318,19.721,34.488
34,46.296,20.318,34.861
35,43.775,20.916,35.233
36,44.657,21.514,35.604
37,43.770,22.111,35.974
38,40.470,22.709,36.344
39,39.665,23.306,36.713
40,37.418,23.904,37.081
41,40.937,24.502,37.448
42,49.424,25.099,37.815
43,49.368,25.697,38.181
44,48.561,26.294,38.546
45,44.037,26.892,38.910
46,43.847,27.489,39.274
47,45.166,28.087,39.637
48,46.942,28.685,39.999
49,48.726,29.282,40.361
50,47.369,29.880,40.721
51,45.611,30.477,41.081
52,48.547,31.075,41.440
53,44.578,31.673,41.799
54,41.237,32.270,42.157
55,42.378,32.868,42.513
56,46.032,33.465,42.870
57,49.733,34.063,43.225
58,49.063,34.661,43.580
59,48.268,35.258,43.934
60,46.445,35.856,44.287
61,45.601,36.453,44.639
62,41.376,37.051,44.991
63,45.200,37.649,45.342
64,46.259,38.246,45.692
65,52.220,38.844,46.041
66,47.942,39.441,46.390
67,51.433,40.039,46.738
68,49.077,40.637,47.085
69,49.121,41.234,47.431
70,49.225,41.832,47.777
71,52.900,42.429,48.122
72,58.005,43.027,48.466
73,64.712,43.625,48.809
74,69.129,44.222,49.152
75,69.891,44.820,49.493
76,63.305,45.417,49.834
77,52.809,46.015,50.175
78,56.043,46.613,50.514
79,57.226,47.210,50.853
80,56.559,47.808,51.191
81,65.477,48.405,51.528
82,65.742,49.003,51.865
83,69.493,49.601,52.200
84,69.191,50.198,52.535
85,63.506,50.796,52.870
86,61.020,51.393,53.203
87,67.719,51.991,53.536
88,74.115,52.589,53.868
89,68.426,53.186,54.199
90,58.616,53.784,54.529
91,55.694,54.381,54.859
92,62.528,54.979,55.188
93,64.458,55.577,55.516
94,57.429,56.174,55.843
95,63.926,56.772,56.170
96,68.281,57.369,56.496
97,76.485,57.967,56.821
98,71.232,58.565,57.145
99,73.026,59.162,57.468
100,88.318,59.760,57.791
101,86.292,60.357,58.113
102,84.875,60.955,58.434
103,87.391,61.553,58.755
104,85.097,62.150,59.074
105,87.921,62.748,59.393
106,75.796,63.345,59.711
107,75.710,63.943,60.029
108,82.817,64.541,60.345
109,89.770,65.138,60.661
110,82.889,65.736,60.976
111,73.997,66.333,61.291
112,70.161,66.931,61.604
113,63.297,67.529,61.917
114,60.885,68.126,62.229
115,70.579,68.724,62.540
116,64.392,69.321,62.850
117,66.709,69.919,63.160
118,66.632,70.517,63.469
119,65.593,71.114,63.777
120,65.754,71.712,64.084
121,78.659,72.309,64.391
122,71.147,72.907,64.697
123,81.660,73.505,65.002
124,83.306,74.102,65.306
125,80.172,74.700,65.610
126,87.695,75.297,65.912
127,86.516,75.895,66.214
128,87.572,76.492,66.515
129,89.550,77.090,66.816
130,92.250,77.688,67.115
131,110.941,78.285,67.414
132,101.665,78.883,67.712
133,105.975,79.480,68.010
134,111.445,80.078,68.306
135,118.063,80.676,68.602
136,120.604,81.273,68.897
137,102.005,81.871,69.191
138,96.022,82.468,69.484
139,101.955,83.066,69.777
140,114.977,83.664,70.069
141,120.300,84.261,70.360
142,110.942,84.859,70.650
143,110.277,85.456,70.940
144,125.162,86.054,71.228
145,134.340,86.652,71.516
146,134.522,87.249,71.803
147,108.102,87.847,72.090
148,113.397,88.444,72.375
149,119.716,89.042,72.660
150,121.056,89.640,72.944
151,125.114,90.237,73.228
152,109.837,90.835,73.510
153,111.482,91.432,73.792
154,125.179,92.030,74.073
155,110.797,92.628,74.353
156,108.404,93.225,74.632
157,125.254,93.823,74.911
158,129.020,94.420,75.188
159,124.186,95.018,75.465
160,107.286,95.616,75.742
161,118.727,96.213,76.017
162,121.764,96.811,76.292
163,124.850,97.408,76.566
164,122.554,98.006,76.839
165,125.613,98.604,77.111
166,119.780,99.201,77.383
167,93.394,99.799,77.653
168,121.225,100.396,77.923
169,137.606,100.994,78.192
170,131.656,101.592,78.461
171,141.680,102.189,78.728
172,108.153,102.787,78.995
173,102.840,103.384,79.261
174,115.557,103.982,79.526
175,128.035,104.580,79.791
176,132.612,105.177,80.054
177,134.021,105.775,80.317
178,129.214,106.372,80.579
179,133.166,106.970,80.841
180,92.817,107.568,81.101
181,84.518,108.165,81.361
182,90.622,108.763,81.620
183,84.821,109.360,81.878
184,95.334,109.958,82.135
185,89.861,110.556,82.392
186,159.496,111.153,82.647
187,131.969,111.751,82.902
188,91.597,112.348,83.157
189,82.871,112.946,83.410
190,88.286,113.544,83.663
191,85.136,114.141,83.914
192,137.906,114.739,84.165
193,121.983,115.336,84.416
194,89.839,115.934,84.665
195,101.945,116.532,84.914
196,104.535,117.129,85.161
197,97.909,117.727,85.409
198,76.729,118.324,85.655
199,84.222,118.922,85.900
200,115.268,119.520,86.145
201,118.864,120.117,86.389
202,82.301,120.715,86.632
203,84.085,121.312,86.874
204,67.671,121.910,87.116
205,118.053,122.508,87.356
206,77.580,123.105,87.596
207,91.828,123.703,87.835
208,109.209,124.300,88.074
209,88.232,124.898,88.311
210,103.030,125.495,88.548
211,78.713,126.093,88.784
212,105.330,126.691,89.019
213,111.121,127.288,89.253
214,69.544,127.886,89.487
215,98.877,128.483,89.720
216,171.208,129.081,89.951
217,134.637,129.679,90.183
218,114.933,130.276,90.413
219,120.913,130.874,90.642
220,101.473,131.471,90.871
221,125.586,132.069,91.099
222,141.180,132.667,91.326
223,138.976,133.264,91.553
224,129.253,133.862,91.778
225,78.902,134.459,92.003
226,163.309,135.057,92.227
227,129.046,135.655,92.450
228,105.369,136.252,92.672
229,109.379,136.850,92.894
230,116.178,137.447,93.115
231,107.221,138.045,93.335
232,96.321,138.643,93.554
233,116.913,139.240,93.772
234,147.245,139.838,93.990
235,122.389,140.435,94.207
236,116.661,141.033,94.422
237,150.185,141.631,94.638
238,133.629,142.228,94.852
239,131.600,142.826,95.066
240,85.853,143.423,95.278
241,132.022,144.021,95.490
242,122.811,144.619,95.701
243,125.943,145.216,95.912
244,132.166,145.814,96.121
245,117.724,146.411,96.330
246,169.963,147.009,96.538
247,120.722,147.607,96.745
248,108.129,148.204,96.951
249,108.942,148.802,97.157
250,110.676,149.399,97.362
251,135.973,149.997,97.565
252,125.969,150.595,97.769
253,118.257,151.192,97.971
254,133.363,151.790,98.172
255,144.789,152.387,98.373
256,168.114,152.985,98.573
257,114.524,153.583,98.772
258,132.306,154.180,98.970
259,134.002,154.778,99.168
260,150.111,155.375,99.364
261,119.865,155.973,99.560
262,125.808,156.571,99.755
263,83.859,157.168,99.949
264,66.535,157.766,100.143
265,96.149,158.363,100.335
266,142.345,158.961,100.527
267,106.975,159.559,100.718
268,91.927,160.156,100.908
269,99.724,160.754,101.098
270,138.328,161.351,101.286
271,147.703,161.949,101.474
272,108.944,162.547,101.661
273,117.699,163.144,101.847
274,91.797,163.742,102.033
275,117.313,164.339,102.217
276,133.799,164.937,102.401
277,126.312,165.535,102.584
278,128.067,166.132,102.766
279,100.712,166.730,102.947
280,110.649,167.327,103.128
281,144.902,167.925,103.307
282,106.079,168.523,103.486
283,81.346,169.120,103.664
284,80.999,169.718,103.842
285,125.372,170.315,104.018
286,77.243,170.913,104.194
287,83.401,171.511,104.369
288,75.320,172.108,104.543
289,72.656,172.706,104.716
290,82.331,173.303,104.888
291,103.165,173.901,105.060
292,106.700,174.499,105.230
293,127.172,175.096,105.400
294,123.340,175.694,105.570
295,147.112,176.291,105.738
296,160.566,176.889,105.905
297,129.569,177.486,106.072
298,110.967,178.084,106.238
299,115.470,178.682,106.403
300,116.286,179.279,106.567
301,88.115,179.877,106.731
302,104.473,180.474,106.893
303,112.826,181.072,107.055
304,94.686,181.670,107.216
305,99.037,182.267,107.376
306,160.772,182.865,107.536
307,116.898,183.462,107.694
308,95.134,184.060,107.852
309,143.007,184.658,108.009
310,131.446,185.255,108.165
311,80.956,185.853,108.320
312,110.182,186.450,108.475
313,115.039,187.048,108.629
314,108.784,187.646,108.781
315,135.078,188.243,108.933
316,164.368,188.841,109.085
317,163.662,189.438,109.235
318,140.721,190.036,109.385
319,126.436,190.634,109.533
320,114.410,191.231,109.681
321,77.042,191.829,109.829
322,100.341,192.426,109.975
323,107.237,193.024,110.120
324,102.616,193.622,110.265
325,98.535,194.219,110.409
326,69.312,194.817,110.552
327,117.389,195.414,110.694
328,123.352,196.012,110.836
329,132.335,196.610,110.976
330,136.920,197.207,111.116
331,129.265,197.805,111.255
332,149.436,198.402,111.393
333,108.199,199.000,111.531
334,84.300,199.598,111.667
335,80.725,200.195,111.803
336,83.100,200.793,111.938
337,107.318,201.390,112.072
338,149.462,201.988,112.205
339,150.566,202.586,112.337
340,119.033,203.183,112.469
341,164.045,203.781,112.600
342,133.172,204.378,112.730
343,123.113,204.976,112.859
344,124.283,205.574,112.987
345,136.283,206.171,113.115
346,151.685,206.769,113.242
347,130.198,207.366,113.367
348,114.708,207.964,113.492
349,124.576,208.562,113.617
350,114.653,209.159,113.740
351,120.809,209.757,113.863
352,110.862,210.354,113.984
353,105.150,210.952,114.105
354,115.624,211.550,114.226
355,135.070,212.147,114.345
356,73.038,212.745,114.463
357,125.338,213.342,114.581
358,142.606,213.940,114.698
359,127.438,214.538,114.814
360,91.308,215.135,114.929
361,156.762,215.733,115.043
362,118.025,216.330,115.157
363,144.369,216.928,115.270
364,120.010,217.526,115.382
365,127.858,218.123,115.493
366,122.788,218.721,115.603
367,146.527,219.318,115.713
368,148.749,219.916,115.821
369,130.379,220.514,115.929
370,139.543,221.111,116.036
371,132.448,221.709,116.142
372,80.479,222.306,116.247
373,69.438,222.904,116.352
374,84.460,223.501,116.456
375,96.320,224.099,116.559
376,143.344,224.697,116.661
377,122.359,225.294,116.762
378,148.771,225.892,116.862
379,90.665,226.489,116.962
380,99.942,227.087,117.061
381,86.931,227.685,117.159
382,112.987,228.282,117.256
383,142.410,228.880,117.352
384,108.340,229.477,117.447
385,107.478,230.075,117.542
386,108.582,230.673,117.636
387,113.995,231.270,117.729
388,111.415,231.868,117.821
389,97.431,232.465,117.912
390,118.139,233.063,118.003
391,121.394,233.661,118.093
392,132.522,234.258,118.181
393,150.473,234.856,118.269
394,142.357,235.453,118.357
395,88.226,236.051,118.443
396,83.503,236.649,118.529
397,75.448,237.246,118.613
398,125.000,237.844,118.697
399,110.916,238.441,118.780
400,107.570,239.039,118.863
401,87.382,239.637,118.944
402,88.433,240.234,119.025
403,116.097,240.832,119.105
404,84.371,241.429,119.184
405,101.806,242.027,119.262
406,94.810,242.625,119.339
407,88.911,243.222,119.416
408,155.384,243.820,119.491
409,116.311,244.417,119.566
410,78.356,245.015,119.640
411,97.079,245.613,119.713
412,78.723,246.210,119.786
413,66.839,246.808,119.857
414,122.965,247.405,119.928
415,162.035,248.003,119.998
416,88.902,248.601,120.067
417,101.572,249.198,120.135
418,108.247,249.796,120.202
419,85.551,250.393,120.269
420,97.870,250.991,120.335
421,120.342,251.589,120.400
422,117.251,252.186,120.464
423,124.358,252.784,120.527
424,117.815,253.381,120.590
425,133.621,253.979,120.651
426,139.159,254.577,120.712
427,119.940,255.174,120.772
428,88.318,255.772,120.831
429,84.678,256.369,120.889
430,75.110,256.967,120.947
431,83.132,257.565,121.004
432,115.934,258.162,121.059
433,95.887,258.760,121.114
434,104.924,259.357,121.169
435,124.265,259.955,121.222
436,140.520,260.553,121.274
437,124.027,261.150,121.326
438,90.295,261.748,121.377
439,83.359,262.345,121.427
440,90.068,262.943,121.476
441,120.690,263.541,121.525
442,118.702,264.138,121.572
443,113.284,264.736,121.619
444,120.388,265.333,121.665
445,128.494,265.931,121.710
446,133.187,266.529,121.754
447,126.741,267.126,121.798
448,123.993,267.724,121.840
449,130.151,268.321,121.882
450,131.334,268.919,121.923
451,122.972,269.517,121.963
452,119.316,270.114,122.002
453,121.228,270.712,122.041
454,111.879,271.309,122.078
455,100.320,271.907,122.115
456,110.447,272.505,122.151
457,100.710,273.102,122.186
458,109.400,273.700,122.221
459,99.528,274.297,122.254
460,108.576,274.895,122.287
461,123.311,275.492,122.318
462,129.822,276.090,122.349
463,129.425,276.688,122.380
464,127.088,277.285,122.409
465,114.080,277.883,122.437
466,114.472,278.480,122.465
467,100.676,279.078,122.492
468,105.361,279.676,122.518
469,108.443,280.273,122.543
470,98.092,280.871,122.568
471,95.785,281.468,122.591
472,103.386,282.066,122.614
473,88.508,282.664,122.636
474,93.119,283.261,122.657
475,95.817,283.859,122.677
476,85.583,284.456,122.696
477,87.055,285.054,122.715
