X0,Y0,X1,Y1
0,33.333,0.000,36.076
1,33.454,0.509,36.089
2,33.575,1.017,36.101
3,33.333,1.526,36.114
4,33.333,2.034,36.127
5,33.333,2.543,36.140
6,33.333,3.051,36.154
7,33.333,3.560,36.168
8,63.034,4.068,36.182
9,62.913,4.577,36.196
10,34.541,5.085,36.211
11,34.661,5.594,36.226
12,64.000,6.102,36.241
13,33.333,6.611,36.256
14,33.333,7.119,36.272
15,33.333,7.628,36.288
16,64.000,8.136,36.305
17,64.000,8.645,36.321
18,61.827,9.153,36.338
19,35.627,9.662,36.356
20,35.748,10.170,36.373
21,61.465,10.679,36.391
22,35.990,11.187,36.409
23,33.333,11.696,36.428
24,33.333,12.204,36.447
25,33.333,12.713,36.466
26,36.472,13.221,36.486
27,60.740,13.730,36.506
28,33.333,14.238,36.526
29,33.333,14.747,36.547
30,60.378,15.255,36.568
31,33.333,15.764,36.590
32,33.333,16.272,36.612
33,60.016,16.781,36.634
34,33.333,17.289,36.657
35,59.774,17.798,36.680
36,37.680,18.306,36.703
37,33.333,18.815,36.727
38,59.412,19.323,36.752
39,33.333,19.832,36.777
40,33.333,20.340,36.802
41,59.050,20.849,36.827
42,33.333,21.357,36.854
43,64.000,21.866,36.880
44,33.333,22.374,36.907
45,38.766,22.883,36.935
46,64.000,23.391,36.963
47,33.333,23.900,36.991
48,33.333,24.408,37.020
49,33.333,24.917,37.050
50,33.333,25.425,37.080
51,64.000,25.934,37.110
52,39.612,26.442,37.141
53,57.601,26.951,37.173
54,39.853,27.459,37.205
55,33.333,27.968,37.237
56,40.094,28.476,37.270
57,57.118,28.985,37.304
58,33.333,29.493,37.338
59,33.333,30.002,37.373
60,33.333,30.511,37.409
61,64.000,31.019,37.445
62,40.819,31.528,37.481
63,33.333,32.036,37.518
64,33.333,32.545,37.556
65,41.181,33.053,37.595
66,33.333,33.562,37.634
67,41.423,34.070,37.673
68,55.790,34.579,37.714
69,33.333,35.087,37.755
70,33.333,35.596,37.796
71,33.333,36.104,37.839
72,33.333,36.613,37.882
73,55.186,37.121,37.925
74,33.333,37.630,37.970
75,42.388,38.138,38.015
76,33.333,38.647,38.061
77,33.333,39.155,38.107
78,33.333,39.664,38.154
79,33.333,40.172,38.202
80,33.333,40.681,38.251
81,33.333,41.189,38.301
82,33.333,41.698,38.351
83,33.333,42.206,38.402
84,33.333,42.715,38.454
85,33.333,43.223,38.507
86,33.333,43.732,38.560
87,33.333,44.240,38.614
88,33.333,44.749,38.669
89,33.333,45.257,38.725
90,33.333,45.766,38.782
91,37.612,46.274,38.840
92,37.585,46.783,38.898
93,33.333,47.291,38.958
94,33.333,47.800,39.018
95,33.333,48.308,39.079
96,33.333,48.817,39.141
97,33.333,49.325,39.204
98,40.000,49.834,39.268
99,37.402,50.342,39.333
100,40.000,50.851,39.398
101,40.000,51.359,39.465
102,37.323,51.868,39.533
103,40.000,52.376,39.602
104,40.000,52.885,39.671
105,40.000,53.393,39.742
106,40.000,53.902,39.814
107,40.000,54.410,39.886
108,40.000,54.919,39.960
109,40.000,55.427,40.035
110,43.780,55.936,40.111
111,43.753,56.444,40.188
112,43.727,56.953,40.266
113,43.701,57.461,40.345
114,46.667,57.970,40.425
115,43.648,58.478,40.506
116,46.667,58.987,40.589
117,48.970,59.495,40.672
118,46.667,60.004,40.757
119,46.667,60.513,40.843
120,49.029,61.021,40.930
121,49.285,61.530,41.018
122,49.265,62.038,41.107
123,51.667,62.547,41.198
124,51.667,63.055,41.289
125,54.206,63.564,41.382
126,56.667,64.072,41.477
127,54.167,64.581,41.572
128,46.667,65.089,41.669
129,54.206,65.598,41.767
130,60.932,66.106,41.866
131,65.000,66.615,41.967
132,56.667,67.123,42.069
133,71.667,67.632,42.172
134,71.667,68.140,42.276
135,68.123,68.649,42.382
136,73.990,69.157,42.489
137,68.071,69.666,42.598
138,56.667,70.174,42.708
139,76.667,70.683,42.819
140,80.000,71.191,42.932
141,71.667,71.700,43.046
142,78.136,72.208,43.162
143,76.667,72.717,43.279
144,87.165,73.225,43.397
145,97.854,73.734,43.517
146,89.252,74.242,43.638
147,94.213,74.751,43.761
148,92.087,75.259,43.885
149,92.933,75.768,44.011
150,97.047,76.276,44.138
151,108.333,76.785,44.267
152,97.992,77.293,44.398
153,108.333,77.802,44.530
154,122.218,78.310,44.663
155,110.932,78.819,44.798
156,127.835,79.327,44.935
157,93.091,79.836,45.073
158,118.150,80.344,45.213
159,129.593,80.853,45.354
160,145.000,81.361,45.497
161,146.220,81.870,45.642
162,148.333,82.378,45.788
163,142.959,82.887,45.936
164,145.971,83.395,46.086
165,106.995,83.904,46.237
166,143.714,84.412,46.390
167,137.283,84.921,46.545
168,92.690,85.429,46.702
169,143.871,85.938,46.860
170,98.333,86.446,47.020
171,77.178,86.955,47.181
172,70.486,87.463,47.345
173,118.766,87.972,47.510
174,110.118,88.480,47.677
175,76.371,88.989,47.845
176,76.024,89.497,48.016
177,100.052,90.006,48.188
178,81.496,90.515,48.362
179,120.525,91.023,48.538
180,105.354,91.532,48.716
181,103.563,92.040,48.896
182,119.029,92.549,49.077
183,122.257,93.057,49.260
184,123.215,93.566,49.445
185,111.667,94.074,49.632
186,102.323,94.583,49.821
187,116.667,95.091,50.012
188,84.370,95.600,50.205
189,140.387,96.108,50.400
190,105.000,96.617,50.596
191,107.894,97.125,50.795
192,117.480,97.634,50.995
193,134.462,98.142,51.197
194,139.816,98.651,51.402
195,152.710,99.159,51.608
196,160.289,99.668,51.816
197,161.804,100.176,52.026
198,166.667,100.685,52.238
199,153.609,101.193,52.453
200,141.325,101.702,52.669
201,130.046,102.210,52.887
202,143.596,102.719,53.107
203,142.303,103.227,53.329
204,153.281,103.736,53.553
205,161.024,104.244,53.779
206,78.648,104.753,54.008
207,79.567,105.261,54.238
208,73.189,105.770,54.470
209,65.000,106.278,54.704
210,72.533,106.787,54.941
211,108.239,107.295,55.179
212,95.000,107.804,55.420
213,107.984,108.312,55.662
214,79.304,108.821,55.907
215,73.976,109.329,56.153
216,75.000,109.838,56.402
217,122.959,110.346,56.653
218,102.152,110.855,56.906
219,67.297,111.363,57.161
220,84.223,111.872,57.418
221,107.751,112.380,57.677
222,110.848,112.889,57.938
223,143.186,113.397,58.201
224,156.885,113.906,58.467
225,118.261,114.414,58.734
226,95.000,114.923,59.004
227,162.638,115.431,59.275
228,166.333,115.940,59.549
229,119.287,116.448,59.825
230,82.927,116.957,60.103
231,142.038,117.465,60.382
232,157.619,117.974,60.665
233,166.554,118.482,60.949
234,169.000,118.991,61.235
235,166.583,119.499,61.523
236,156.454,120.008,61.814
237,161.602,120.517,62.106
238,139.370,121.025,62.401
239,169.686,121.534,62.697
240,168.945,122.042,62.996
241,155.728,122.551,63.297
242,166.239,123.059,63.599
243,161.289,123.568,63.904
244,169.680,124.076,64.211
245,147.759,124.585,64.520
246,150.438,125.093,64.831
247,169.308,125.602,65.144
248,144.606,126.110,65.459
249,137.871,126.619,65.776
250,87.228,127.127,66.095
251,114.203,127.636,66.417
252,105.987,128.144,66.740
253,0.000,128.653,67.065
254,141.000,129.161,67.392
255,131.408,129.670,67.721
256,144.100,130.178,68.052
257,164.306,130.687,68.385
258,167.614,131.195,68.720
259,164.726,131.704,69.057
260,167.698,132.212,69.396
261,169.991,132.721,69.737
262,169.677,133.229,70.080
263,169.608,133.738,70.424
264,168.895,134.246,70.771
265,169.899,134.755,71.119
266,164.554,135.263,71.470
267,168.352,135.772,71.822
268,166.677,136.280,72.176
269,152.711,136.789,72.531
270,155.136,137.297,72.889
271,143.554,137.806,73.249
272,130.520,138.314,73.610
273,106.874,138.823,73.973
274,78.071,139.331,74.338
275,148.958,139.840,74.704
276,169.696,140.348,75.072
277,161.785,140.857,75.442
278,121.577,141.365,75.814
279,154.463,141.874,76.187
280,164.667,142.382,76.562
281,126.444,142.891,76.939
282,117.604,143.399,77.317
283,116.959,143.908,77.697
284,125.680,144.416,78.078
285,142.291,144.925,78.461
286,167.987,145.433,78.846
287,157.925,145.942,79.232
288,80.105,146.450,79.620
289,71.148,146.959,80.009
290,77.139,147.467,80.399
291,135.551,147.976,80.792
292,91.982,148.484,81.185
293,89.980,148.993,81.580
294,97.336,149.501,81.976
295,75.538,150.010,82.374
