X0,Y0,X1,Y1
0,64.000,0.000,42.092
1,63.937,0.487,42.093
2,63.874,0.975,42.093
3,33.333,1.462,42.093
4,33.333,1.950,42.093
5,33.333,2.437,42.093
6,63.622,2.925,42.093
7,63.559,3.412,42.093
8,63.496,3.900,42.094
9,64.000,4.387,42.094
10,33.333,4.875,42.094
11,33.333,5.362,42.094
12,34.089,5.850,42.094
13,34.152,6.337,42.095
14,64.000,6.825,42.095
15,33.333,7.312,42.095
16,33.333,7.800,42.095
17,62.930,8.287,42.095
18,62.867,8.775,42.096
19,34.530,9.262,42.096
20,34.593,9.750,42.096
21,34.656,10.237,42.097
22,62.615,10.725,42.097
23,33.333,11.212,42.097
24,64.000,11.700,42.097
25,33.333,12.187,42.098
26,33.333,12.675,42.098
27,62.300,13.162,42.098
28,64.000,13.650,42.099
29,62.174,14.137,42.099
30,33.333,14.625,42.100
31,64.000,15.112,42.100
32,64.000,15.600,42.100
33,33.333,16.087,42.101
34,35.474,16.575,42.101
35,33.333,17.062,42.102
36,33.333,17.550,42.102
37,33.333,18.037,42.103
38,35.726,18.525,42.103
39,35.789,19.012,42.104
40,35.852,19.500,42.104
41,33.333,19.987,42.105
42,35.978,20.474,42.106
43,33.333,20.962,42.106
44,61.229,21.449,42.107
45,33.333,21.937,42.108
46,33.333,22.424,42.108
47,36.293,22.912,42.109
48,33.333,23.399,42.110
49,36.419,23.887,42.111
50,33.333,24.374,42.111
51,36.545,24.862,42.112
52,33.333,25.349,42.113
53,60.663,25.837,42.114
54,33.333,26.324,42.115
55,33.333,26.812,42.116
56,33.333,27.299,42.117
57,36.923,27.787,42.118
58,33.333,28.274,42.119
59,37.049,28.762,42.120
60,37.112,29.249,42.121
61,33.333,29.737,42.123
62,64.000,30.224,42.124
63,33.333,30.712,42.125
64,59.970,31.199,42.126
65,37.426,31.687,42.128
66,37.489,32.174,42.129
67,33.333,32.662,42.131
68,37.615,33.149,42.132
69,33.333,33.637,42.134
70,37.741,34.124,42.135
71,37.804,34.612,42.137
72,64.000,35.099,42.139
73,37.930,35.587,42.141
74,37.993,36.074,42.143
75,33.333,36.562,42.145
76,33.333,37.049,42.147
77,38.182,37.537,42.149
78,33.333,38.024,42.151
79,33.333,38.512,42.153
80,64.000,38.999,42.155
81,38.434,39.486,42.158
82,38.497,39.974,42.160
83,58.773,40.461,42.163
84,38.623,40.949,42.165
85,33.333,41.436,42.168
86,33.333,41.924,42.171
87,33.333,42.411,42.173
88,38.875,42.899,42.176
89,38.938,43.386,42.179
90,58.333,43.874,42.183
91,39.064,44.361,42.186
92,33.333,44.849,42.189
93,33.333,45.336,42.193
94,33.333,45.824,42.196
95,39.316,46.311,42.200
96,39.379,46.799,42.204
97,33.333,47.286,42.208
98,39.504,47.774,42.212
99,33.333,48.261,42.216
100,33.333,48.749,42.220
101,33.333,49.236,42.225
102,39.756,49.724,42.229
103,33.333,50.211,42.234
104,39.882,50.699,42.239
105,33.333,51.186,42.244
106,64.000,51.674,42.249
107,33.333,52.161,42.255
108,57.199,52.649,42.260
109,33.333,53.136,42.266
110,33.333,53.624,42.272
111,33.333,54.111,42.278
112,40.386,54.599,42.284
113,33.333,55.086,42.290
114,33.333,55.574,42.297
115,33.333,56.061,42.304
116,33.333,56.549,42.311
117,33.333,57.036,42.318
118,33.333,57.524,42.325
119,33.333,58.011,42.333
120,40.890,58.498,42.341
121,33.333,58.986,42.349
122,33.333,59.473,42.358
123,35.017,59.961,42.366
124,33.333,60.448,42.375
125,40.000,60.936,42.384
126,33.333,61.423,42.394
127,40.000,61.911,42.403
128,40.000,62.398,42.413
129,38.234,62.886,42.423
130,40.000,63.373,42.434
131,40.000,63.861,42.445
132,40.000,64.348,42.456
133,44.846,64.836,42.467
134,40.000,65.323,42.479
135,41.848,65.811,42.491
136,40.000,66.298,42.504
137,44.791,66.786,42.517
138,40.000,67.273,42.530
139,44.764,67.761,42.543
140,40.000,68.248,42.557
141,46.667,68.736,42.572
