X0,Y0,X1,Y1
0,33.333,0.000,20.267
1,33.333,0.504,20.516
2,33.333,1.007,20.766
3,33.333,1.511,21.017
4,33.333,2.014,21.268
5,33.333,2.518,21.519
6,33.333,3.021,21.771
7,33.333,3.525,22.023
8,33.333,4.028,22.276
9,33.333,4.532,22.529
10,33.333,5.035,22.782
11,33.333,5.539,23.036
12,64.000,6.042,23.291
13,33.333,6.546,23.546
14,33.333,7.049,23.801
15,33.333,7.553,24.057
16,33.333,8.056,24.313
17,33.333,8.560,24.569
18,33.333,9.063,24.826
19,33.333,9.567,25.084
20,33.333,10.070,25.341
21,33.333,10.574,25.600
22,33.333,11.077,25.858
23,33.333,11.581,26.117
24,33.333,12.084,26.377
25,33.333,12.588,26.636
26,33.333,13.091,26.897
27,33.333,13.595,27.157
28,33.333,14.098,27.418
29,33.333,14.602,27.680
30,33.333,15.105,27.941
31,33.333,15.609,28.204
32,33.333,16.112,28.466
33,33.333,16.616,28.729
34,33.333,17.119,28.992
35,33.333,17.623,29.256
36,33.333,18.126,29.520
37,40.000,18.630,29.784
38,33.333,19.133,30.049
39,33.333,19.637,30.314
40,33.333,20.140,30.580
41,33.333,20.644,30.846
42,33.333,21.147,31.112
43,40.000,21.651,31.379
44,33.333,22.154,31.646
45,40.000,22.658,31.913
46,33.333,23.161,32.180
47,33.333,23.665,32.448
48,40.000,24.168,32.717
49,40.000,24.672,32.985
50,40.000,25.175,33.254
51,40.000,25.679,33.524
52,40.000,26.182,33.793
53,40.000,26.686,34.063
54,46.667,27.189,34.334
55,40.000,27.693,34.604
56,40.000,28.196,34.875
57,40.000,28.700,35.146
58,40.000,29.203,35.418
59,46.667,29.707,35.690
60,40.000,30.210,35.962
61,40.000,30.714,36.234
62,46.667,31.217,36.507
63,40.000,31.721,36.780
64,40.000,32.224,37.053
65,46.667,32.728,37.327
66,40.000,33.231,37.601
67,46.667,33.735,37.875
68,46.667,34.238,38.150
69,46.667,34.742,38.424
70,46.667,35.245,38.699
71,46.667,35.749,38.975
72,46.667,36.252,39.250
73,51.667,36.756,39.526
74,51.667,37.259,39.802
75,51.667,37.763,40.079
76,51.667,38.266,40.355
77,46.667,38.770,40.632
78,46.667,39.273,40.909
79,51.667,39.777,41.186
80,46.667,40.280,41.464
81,51.667,40.784,41.742
82,46.667,41.287,42.020
83,56.667,41.791,42.298
84,65.000,42.294,42.576
85,56.667,42.798,42.855
86,56.667,43.301,43.134
87,56.667,43.805,43.413
88,56.667,44.308,43.693
89,51.667,44.812,43.972
90,65.000,45.315,44.252
91,56.667,45.819,44.532
92,65.000,46.322,44.812
93,71.667,46.826,45.092
94,65.000,47.329,45.373
95,76.667,47.833,45.654
96,80.000,48.336,45.934
97,56.667,48.840,46.216
98,65.000,49.343,46.497
99,71.667,49.847,46.778
100,85.000,50.350,47.060
101,76.667,50.854,47.342
102,71.667,51.357,47.623
103,90.000,51.861,47.906
104,80.000,52.364,48.188
105,80.000,52.868,48.470
106,80.000,53.371,48.753
107,85.000,53.875,49.035
108,85.000,54.378,49.318
109,95.000,54.882,49.601
110,76.667,55.385,49.884
111,85.000,55.889,50.167
112,100.000,56.392,50.451
113,108.333,56.896,50.734
114,85.000,57.399,51.017
115,100.000,57.903,51.301
116,123.333,58.406,51.585
117,115.000,58.910,51.869
118,85.000,59.413,52.153
119,95.000,59.917,52.437
120,100.000,60.420,52.721
121,108.333,60.924,53.005
122,123.333,61.427,53.289
123,133.333,61.931,53.574
124,135.000,62.434,53.858
125,115.000,62.938,54.143
126,135.000,63.441,54.427
127,145.000,63.945,54.712
128,123.333,64.448,54.997
129,135.000,64.952,55.281
130,141.667,65.455,55.566
131,141.667,65.959,55.851
132,128.333,66.462,56.136
133,148.333,66.966,56.421
134,141.667,67.469,56.706
135,135.000,67.973,56.991
136,148.333,68.476,57.276
137,85.000,68.980,57.561
138,98.333,69.483,57.846
139,75.000,69.987,58.131
140,85.000,70.490,58.416
141,80.000,70.994,58.701
142,75.000,71.497,58.986
143,78.333,72.001,59.271
144,135.000,72.505,59.556
145,121.667,73.008,59.841
146,85.000,73.512,60.126
147,100.000,74.015,60.411
148,105.000,74.519,60.696
149,80.000,75.022,60.981
150,90.000,75.526,61.266
151,136.667,76.029,61.550
152,116.667,76.533,61.835
153,105.000,77.036,62.120
154,100.000,77.540,62.405
155,111.667,78.043,62.689
156,100.000,78.547,62.974
157,131.667,79.050,63.258
158,95.000,79.554,63.543
159,80.000,80.057,63.827
160,90.000,80.561,64.111
161,75.000,81.064,64.395
162,85.000,81.568,64.680
163,98.333,82.071,64.964
164,85.000,82.575,65.247
165,111.667,83.078,65.531
166,128.333,83.582,65.815
167,121.667,84.085,66.098
168,98.333,84.589,66.382
169,78.333,85.092,66.665
170,81.667,85.596,66.948
171,95.000,86.099,67.231
172,78.333,86.603,67.514
173,90.000,87.106,67.797
174,111.667,87.610,68.080
175,120.000,88.113,68.362
176,141.667,88.617,68.645
177,161.667,89.120,68.927
178,158.333,89.624,69.209
179,111.667,90.127,69.490
180,78.333,90.631,69.772
181,111.667,91.134,70.054
182,80.000,91.638,70.335
183,85.000,92.141,70.616
184,76.667,92.645,70.897
