X0,Y0,X1,Y1
212,110.593,112.048,94.5720
213,90.407,112.577,94.7731
214,79.640,113.105,94.9734
215,74.381,113.634,95.1731
216,78.333,114.162,95.3721
217,108.378,114.691,95.5704
218,80.000,115.219,95.7680
219,122.966,115.748,95.9649
220,168.500,116.276,96.1610
221,166.458,116.805,96.3565
222,161.292,117.333,96.5513
223,165.741,117.862,96.7453
224,149.586,118.390,96.9387
225,105.004,118.919,97.1314
226,116.527,119.447,97.3233
227,117.201,119.976,97.5146
228,67.652,120.505,97.7052
229,72.449,121.033,97.8950
230,109.419,121.562,98.0842
231,154.375,122.090,98.2726
232,119.419,122.619,98.4604
233,116.316,123.147,98.6474
234,126.402,123.676,98.8338
235,73.516,124.204,99.0194
236,70.391,124.733,99.2044
237,76.667,125.261,99.3886
238,161.080,125.790,99.5722
239,163.333,126.318,99.7550
240,70.000,126.847,99.9372
241,74.855,127.375,100.1186
242,91.806,127.904,100.2993
243,68.703,128.432,100.4794
244,70.000,128.961,100.6587
245,74.280,129.489,100.8373
246,67.330,130.018,101.0153
247,114.333,130.547,101.1925
248,109.495,131.075,101.3690
249,119.331,131.604,101.5448
250,148.917,132.132,101.7199
251,169.667,132.661,101.8944
252,160.348,133.189,102.0681
253,156.299,133.718,102.2411
254,148.335,134.246,102.4134
255,168.311,134.775,102.5850
256,162.000,135.303,102.7559
257,162.994,135.832,102.9261
258,167.223,136.360,103.0956
259,79.968,136.889,103.2644
260,86.540,137.417,103.4325
261,149.032,137.946,103.6000
262,131.534,138.474,103.7666
263,175.801,139.003,103.9326
264,170.000,139.532,104.0979
265,147.346,140.060,104.2625
266,163.051,140.589,104.4264
267,166.150,141.117,104.5896
268,142.967,141.646,104.7521
269,81.667,142.174,104.9139
270,168.814,142.703,105.0750
271,164.363,143.231,105.2353
272,119.636,143.760,105.3950
273,73.049,144.288,105.5540
274,154.112,144.817,105.7123
275,142.618,145.345,105.8699
276,125.924,145.874,106.0267
277,138.308,146.402,106.1829
278,100.013,146.931,106.3384
279,109.564,147.459,106.4931
280,152.207,147.988,106.6472
281,131.330,148.517,106.8006
282,140.114,149.045,106.9532
283,147.542,149.574,107.1052
284,91.679,150.102,107.2564
285,157.854,150.631,107.4070
286,130.750,151.159,107.5569
287,148.843,151.688,107.7060
288,135.727,152.216,107.8545
289,74.088,152.745,108.0022
290,120.432,153.273,108.1492
291,124.625,153.802,108.2956
292,87.551,154.330,108.4412
293,101.266,154.859,108.5862
294,155.337,155.387,108.7304
295,162.551,155.916,108.8739
296,115.146,156.444,109.0168
297,137.833,156.973,109.1589
