Radius_[pixels],Normalized_Integrated_Intensity,X_Fit:_Gaussian,Fit:_Gaussian
1.335,95.3968,1.335,90.4573
2.67,97.3809,1.629,90.6516
4.005,101.25,1.923,90.8457
5.339,98.8958,2.217,91.0395
6.674,105.5722,2.511,91.233
8.009,98.6,2.805,91.4263
9.344,98.0958,3.099,91.6193
10.679,106.6309,3.393,91.812
12.014,100.9611,3.687,92.0044
13.348,103.256,3.98,92.1965
14.683,99.5457,4.274,92.3883
16.018,103.5548,4.568,92.5798
17.353,104.8268,4.862,92.771
18.688,103.4808,5.156,92.9618
20.023,101.036,5.45,93.1523
21.357,101.154,5.744,93.3424
22.692,103.3352,6.038,93.5322
24.027,103.8423,6.332,93.7216
25.362,107.1435,6.626,93.9107
26.697,104.1798,6.92,94.0994
28.032,105.5625,7.214,94.2877
29.367,105.8984,7.508,94.4756
30.701,105.0771,7.802,94.6631
32.036,104.8909,8.096,94.8502
33.371,103.2941,8.39,95.0369
34.706,104.2981,8.684,95.2232
36.041,106.5397,8.978,95.4091
37.376,107.1699,9.272,95.5945
38.71,106.1064,9.566,95.7795
40.045,104.5911,9.86,95.964
41.38,106.4108,10.154,96.1481
42.715,107.9364,10.448,96.3317
44.05,108.1577,10.742,96.5149
45.385,108.8661,11.035,96.6976
46.719,107.0383,11.329,96.8798
48.054,105.6912,11.623,97.0615
49.389,107.2492,11.917,97.2427
50.724,106.2171,12.211,97.4234
52.059,107.4829,12.505,97.6036
53.394,107.4828,12.799,97.7832
54.729,105.8899,13.093,97.9624
56.063,108.2015,13.387,98.141
57.398,111.1888,13.681,98.3191
58.733,109.5275,13.975,98.4966
60.068,110.9486,14.269,98.6735
61.403,113.9474,14.563,98.8499
62.738,113.2567,14.857,99.0258
64.072,112.0282,15.151,99.201
65.407,114.282,15.445,99.3757
66.742,114.5612,15.739,99.5498
68.077,114.0932,16.033,99.7232
69.412,114.841,16.327,99.8961
70.747,116.3164,16.621,100.0684
72.081,114.7705,16.915,100.24
73.416,114.4951,17.209,100.411
74.751,114.1882,17.503,100.5814
76.086,113.6904,17.797,100.7511
77.421,115.1314,18.091,100.9202
78.756,116.6237,18.384,101.0886
80.09,116.1927,18.678,101.2564
81.425,114.2535,18.972,101.4235
82.76,114.4856,19.266,101.5899
84.095,114.9226,19.56,101.7557
85.43,113.7636,19.854,101.9207
86.765,114.0325,20.148,102.0851
88.1,112.8025,20.442,102.2487
89.434,113.5829,20.736,102.4116
90.769,114.7449,21.03,102.5738
92.104,115.3026,21.324,102.7353
93.439,114.4941,21.618,102.8961
94.774,113.3614,21.912,103.0561
96.109,114.07,22.206,103.2153
97.443,113.7132,22.5,103.3739
98.778,113.1212,22.794,103.5316
100.113,113.6789,23.088,103.6886
101.448,113.3115,23.382,103.8448
102.783,113.4495,23.676,104.0003
104.118,111.8004,23.97,104.1549
105.452,110.5409,24.264,104.3087
106.787,109.1435,24.558,104.4618
108.122,107.3868,24.852,104.614
109.457,106.0242,25.146,104.7655
110.792,104.9261,25.439,104.9161
112.127,101.5398,25.733,105.0659
113.462,100.3742,26.027,105.2148
114.796,99.7219,26.321,105.3629
116.131,98.5,26.615,105.5102
117.466,97.6792,26.909,105.6566
118.801,97.2009,27.203,105.8022
120.136,96.5447,27.497,105.9468
121.471,95.8564,27.791,106.0907
122.805,94.1944,28.085,106.2336
124.14,92.7124,28.379,106.3756
125.475,92.3526,28.673,106.5168
126.81,89.9352,28.967,106.6571
128.145,89.5865,29.261,106.7964
129.48,86.7986,29.555,106.9349
130.814,85.3556,29.849,107.0724
132.149,85.9355,30.143,107.209
133.484,84.8728,30.437,107.3447
134.819,83.0134,30.731,107.4794
136.154,82.2683,31.025,107.6133
137.489,83.0825,31.319,107.7461
138.824,82.8664,31.613,107.878
140.158,79.4823,31.907,108.009
141.493,77.1693,32.201,108.139
142.828,75.7643,32.495,108.268
144.163,75.3139,32.788,108.396
145.498,73.5551,33.082,108.5231
146.833,73.2004,33.376,108.6491
148.167,73.3284,33.67,108.7742
149.502,73.7994,33.964,108.8983
150.837,71.9422,34.258,109.0214
152.172,69.833,34.552,109.1434
153.507,68.6192,34.846,109.2645
154.842,68.4363,35.14,109.3845
