Radius_[pixels],Normalized_Integrated_Intensity,X_Fit:_Gaussian,Fit:_Gaussian
1.335,120.619,1.335,108.2518
2.67,118.8929,1.629,108.3454
4.005,109.75,1.923,108.4386
5.339,111.9375,2.217,108.5314
6.674,110.25,2.511,108.6238
8.009,114.975,2.805,108.7158
9.344,122.2625,3.099,108.8074
10.679,118.4643,3.393,108.8986
12.014,125.15,3.687,108.9894
13.348,120.4107,3.98,109.0798
14.683,116.5564,4.274,109.1698
16.018,113.0526,4.568,109.2594
17.353,115.1513,4.862,109.3486
18.688,117.0064,5.156,109.4374
20.023,120.5455,5.45,109.5257
21.357,112.5924,5.744,109.6137
22.692,119.0435,6.038,109.7013
24.027,116.0625,6.332,109.7885
25.362,114.3009,6.626,109.8752
26.697,119.6579,6.92,109.9616
28.032,119.6,7.214,110.0475
29.367,115.6328,7.508,110.133
30.701,112.75,7.802,110.2181
32.036,116.0809,8.096,110.3028
33.371,113.1801,8.39,110.3871
34.706,116.912,8.684,110.471
36.041,115.9881,8.978,110.5544
37.376,114.7949,9.272,110.6374
38.71,116.2229,9.566,110.72
40.045,114.7674,9.86,110.8022
41.38,111.0595,10.154,110.884
42.715,117.9381,10.448,110.9653
44.05,116.3138,10.742,111.0462
45.385,114.7979,11.035,111.1267
46.719,111.2475,11.329,111.2068
48.054,111.8431,11.623,111.2864
49.389,114.1722,11.917,111.3656
50.724,114.7018,12.211,111.4444
52.059,115.6138,12.505,111.5227
53.394,112.1518,12.799,111.6006
54.729,113.1413,13.093,111.6781
56.063,110.4037,13.387,111.7551
57.398,112.4313,13.681,111.8317
58.733,109.7025,13.975,111.9079
60.068,113.5643,14.269,111.9837
61.403,109.6619,14.563,112.059
62.738,109.9507,14.857,112.1338
64.072,110.7353,15.151,112.2082
65.407,112.1214,15.445,112.2822
66.742,108.7675,15.739,112.3558
68.077,109.8125,16.033,112.4288
69.412,106.2025,16.327,112.5015
70.747,109.7044,16.621,112.5737
72.081,109.856,16.915,112.6455
73.416,109.724,17.209,112.7168
74.751,108.3381,17.503,112.7877
76.086,108.6975,17.797,112.8581
77.421,109.981,18.091,112.9281
78.756,110.698,18.384,112.9976
80.09,110.9382,18.678,113.0667
81.425,109.8034,18.972,113.1353
82.76,107.6734,19.266,113.2035
84.095,109.7967,19.56,113.2712
85.43,109.3652,19.854,113.3384
86.765,110.7019,20.148,113.4053
88.1,111.2432,20.442,113.4716
89.434,112.0847,20.736,113.5375
90.769,109.736,21.03,113.603
92.104,108.0972,21.324,113.6679
93.439,108.1755,21.618,113.7325
94.774,109.0322,21.912,113.7965
96.109,109.966,22.206,113.8601
97.443,110.5025,22.5,113.9233
98.778,110.8373,22.794,113.9859
100.113,111.9346,23.088,114.0481
101.448,110.6116,23.382,114.1099
102.783,112.0807,23.676,114.1712
104.118,112.5909,23.97,114.232
105.452,112.8079,24.264,114.2924
106.787,111.0143,24.558,114.3522
108.122,112.3168,24.852,114.4117
109.457,110.7752,25.146,114.4706
110.792,112.9019,25.439,114.5291
112.127,112.2279,25.733,114.5871
113.462,113.2362,26.027,114.6446
114.796,111.7129,26.321,114.7017
116.131,112.2039,26.615,114.7583
117.466,112.4252,26.909,114.8144
118.801,112.7481,27.203,114.8701
120.136,110.3996,27.497,114.9252
121.471,111.0904,27.791,114.9799
122.805,112.4598,28.085,115.0342
124.14,113.3731,28.379,115.0879
125.475,113.4199,28.673,115.1412
126.81,112.4283,28.967,115.194
128.145,110.3647,29.261,115.2463
129.48,112.2433,29.555,115.2981
130.814,112.0667,29.849,115.3495
132.149,111.0511,30.143,115.4003
133.484,112.2969,30.437,115.4507
134.819,111.5495,30.731,115.5006
136.154,110.4844,31.025,115.55
137.489,110.0845,31.319,115.599
138.824,108.4588,31.613,115.6474
140.158,109.5346,31.907,115.6954
141.493,110.2246,32.201,115.7429
142.828,109.6401,32.495,115.7899
144.163,108.176,32.788,115.8364
145.498,107.7782,33.082,115.8824
146.833,106.3818,33.376,115.928
148.167,105.9035,33.67,115.973
149.502,104.1675,33.964,116.0176
150.837,103.4719,34.258,116.0616
152.172,102.7516,34.552,116.1052
153.507,101.668,34.846,116.1483
154.842,100.9773,35.14,116.1909
156.176,101.1033,35.434,116.233
157.511,99.7081,35.728,116.2746
158.846,98.646,36.022,116.3157
160.181,97.643,36.316,116.3564
161.516,97.2028,36.61,116.3965
162.851,98.1712,36.904,116.4361
164.186,96.5441,37.198,116.4753
165.52,94.9254,37.492,116.5139
166.855,93.4248,37.786,116.5521
168.19,92.7207,38.08,116.5897
169.525,92.8268,38.374,116.6269
170.86,90.7562,38.668,116.6635
172.195,90.2598,38.962,116.6997
173.529,89.0681,39.256,116.7353
174.864,88.4096,39.55,116.7705
176.199,86.0405,39.843,116.8052
177.534,85.1305,40.137,116.8393
178.869,84.5416,40.431,116.873
180.204,82.6541,40.725,116.9062
181.538,80.8988,41.019,116.9388
182.873,79.6266,41.313,116.971
184.208,78.7369,41.607,117.0026
185.543,77.6263,41.901,117.0338
186.878,77.2595,42.195,117.0644
188.213,76.1238,42.489,117.0946
189.548,74.1525,42.783,117.1242
190.882,72.9831,43.077,117.1534
192.217,71.0088,43.371,117.182
193.552,70.9507,43.665,117.2101
194.887,69.9604,43.959,117.2378
196.222,69.6324,44.253,117.2649
197.557,67.4238,44.547,117.2915
198.891,66.4491,44.841,117.3176
200.226,66.1653,45.135,117.3432
201.561,65.4799,45.429,117.3683
202.896,64.6642,45.723,117.3929
204.231,63.7483,46.017,117.4169
205.566,62.403,46.311,117.4405
206.9,62.2366,46.605,117.4636
208.235,61.0914,46.899,117.4861
209.57,60.5102,47.192,117.5082
210.905,59.9584,47.486,117.5297
212.24,59.8006,47.78,117.5507
213.575,59.14,48.074,117.5713
214.91,58.1593,48.368,117.5913
216.244,57.8733,48.662,117.6107
217.579,57.0515,48.956,117.6297
218.914,55.4437,49.25,117.6482
220.249,55.4317,49.544,117.6662
221.584,55.3466,49.838,117.6836
222.919,54.7105,50.132,117.7006
224.253,54.4813,50.426,117.717
225.588,53.847,50.72,117.7329
226.923,53.2722,51.014,117.7483
228.258,52.6098,51.308,117.7632
229.593,52.1606,51.602,117.7776
230.928,51.6936,51.896,117.7914
232.262,51.0267,52.19,117.8048
233.597,50.4706,52.484,117.8176
234.932,50.1736,52.778,117.8299
236.267,49.5806,53.072,117.8418
237.602,48.9797,53.366,117.8531
238.937,48.455,53.66,117.8638
240.271,48.0883,53.954,117.8741
241.606,47.913,54.247,117.8839
242.941,47.0534,54.541,117.8931
244.276,46.3108,54.835,117.9018
245.611,45.988,55.129,117.91
246.946,45.5933,55.423,117.9177
248.281,45.3484,55.717,117.9249
249.615,44.9523,56.011,117.9316
250.95,44.6155,56.305,117.9378
252.285,44.2061,56.599,117.9434
253.62,43.816,56.893,117.9485
254.955,43.5784,57.187,117.9531
256.29,42.9201,57.481,117.9572
257.624,42.4952,57.775,117.9608
258.959,42.2241,58.069,117.9639
260.294,41.8636,58.363,117.9664
261.629,41.7103,58.657,117.9684
262.964,41.3574,58.951,117.97
264.299,41.153,59.245,117.971
265.633,41.0794,59.539,117.9715
266.968,40.788,59.833,117.9714
268.303,40.4819,60.127,117.9709
269.638,40.2881,60.421,117.9698
270.973,40.0852,60.715,117.9682
272.308,39.5909,61.009,117.9662
273.643,39.2715,61.303,117.9636
274.977,39.0529,61.596,117.9604
276.312,38.9107,61.89,117.9568
277.647,38.6793,62.184,117.9526
278.982,38.5557,62.478,117.948
280.317,38.5157,62.772,117.9428
281.652,38.3127,63.066,117.9371
282.986,38.2938,63.36,117.9309
284.321,37.9307,63.654,117.9242
285.656,37.7647,63.948,117.9169
286.991,37.439,64.242,117.9092
288.326,37.1032,64.536,117.9009
289.661,36.8647,64.83,117.8921
290.995,36.5719,65.124,117.8828
292.33,36.2803,65.418,117.873
293.665,36.1267,65.712,117.8627
295,36.1667,66.006,117.8518
,,66.3,117.8405
,,66.594,117.8286
,,66.888,117.8162
,,67.182,117.8033
,,67.476,117.7899
,,67.77,117.776
,,68.064,117.7616
,,68.358,117.7466
,,68.651,117.7312
,,68.945,117.7152
,,69.239,117.6987
,,69.533,117.6817
,,69.827,117.6642
,,70.121,117.6462
,,70.415,117.6277
,,70.709,117.6086
,,71.003,117.5891
,,71.297,117.569
,,71.591,117.5484
,,71.885,117.5274
,,72.179,117.5058
,,72.473,117.4837
,,72.767,117.4611
,,73.061,117.4379
,,73.355,117.4143
,,73.649,117.3902
,,73.943,117.3655
,,74.237,117.3404
,,74.531,117.3147
,,74.825,117.2886
,,75.119,117.2619
,,75.413,117.2347
,,75.706,117.2071
,,76,117.1789
,,76.294,117.1502
,,76.588,117.121
,,76.882,117.0913
,,77.176,117.0611
,,77.47,117.0304
,,77.764,116.9992
,,78.058,116.9675
,,78.352,116.9352
,,78.646,116.9025
,,78.94,116.8693
,,79.234,116.8356
,,79.528,116.8014
,,79.822,116.7667
,,80.116,116.7314
,,80.41,116.6957
,,80.704,116.6595
,,80.998,116.6228
,,81.292,116.5856
,,81.586,116.5479
,,81.88,116.5097
,,82.174,116.471
,,82.468,116.4318
,,82.762,116.3921
,,83.055,116.3519
,,83.349,116.3112
,,83.643,116.2701
,,83.937,116.2284
,,84.231,116.1862
,,84.525,116.1436
,,84.819,116.1004
,,85.113,116.0568
,,85.407,116.0127
,,85.701,115.9681
,,85.995,115.923
,,86.289,115.8774
,,86.583,115.8313
,,86.877,115.7847
,,87.171,115.7377
,,87.465,115.6901
,,87.759,115.6421
,,88.053,115.5936
,,88.347,115.5446
,,88.641,115.4951
,,88.935,115.4452
,,89.229,115.3947
,,89.523,115.3438
,,89.817,115.2924
,,90.11,115.2405
,,90.404,115.1882
,,90.698,115.1353
,,90.992,115.082
,,91.286,115.0282
,,91.58,114.9739
,,91.874,114.9192
,,92.168,114.864
,,92.462,114.8083
,,92.756,114.7521
,,93.05,114.6954
,,93.344,114.6383
,,93.638,114.5807
,,93.932,114.5227
,,94.226,114.4641
,,94.52,114.4051
,,94.814,114.3457
,,95.108,114.2857
,,95.402,114.2253
,,95.696,114.1645
,,95.99,114.1031
,,96.284,114.0413
,,96.578,113.979
,,96.872,113.9163
,,97.166,113.8531
,,97.459,113.7895
,,97.753,113.7254
,,98.047,113.6608
,,98.341,113.5958
,,98.635,113.5303
,,98.929,113.4643
,,99.223,113.3979
,,99.517,113.3311
,,99.811,113.2637
,,100.105,113.196
,,100.399,113.1278
,,100.693,113.0591
,,100.987,112.99
,,101.281,112.9204
,,101.575,112.8504
,,101.869,112.7799
,,102.163,112.709
,,102.457,112.6376
,,102.751,112.5658
,,103.045,112.4935
,,103.339,112.4208
,,103.633,112.3477
,,103.927,112.2741
,,104.221,112.2001
,,104.514,112.1256
,,104.808,112.0507
,,105.102,111.9753
,,105.396,111.8995
,,105.69,111.8233
,,105.984,111.7467
,,106.278,111.6696
,,106.572,111.592
,,106.866,111.5141
,,107.16,111.4357
,,107.454,111.3569
,,107.748,111.2776
,,108.042,111.198
,,108.336,111.1179
,,108.63,111.0373
,,108.924,110.9564
,,109.218,110.875
,,109.512,110.7932
,,109.806,110.711
,,110.1,110.6283
,,110.394,110.5452
,,110.688,110.4618
,,110.982,110.3778
,,111.276,110.2935
,,111.57,110.2088
,,111.863,110.1236
,,112.157,110.0381
,,112.451,109.9521
,,112.745,109.8657
,,113.039,109.7789
,,113.333,109.6917
,,113.627,109.6041
,,113.921,109.516
,,114.215,109.4276
,,114.509,109.3388
,,114.803,109.2495
,,115.097,109.1599
,,115.391,109.0698
,,115.685,108.9794
,,115.979,108.8885
,,116.273,108.7973
,,116.567,108.7056
,,116.861,108.6136
,,117.155,108.5212
,,117.449,108.4283
,,117.743,108.3351
,,118.037,108.2415
,,118.331,108.1475
,,118.625,108.0531
,,118.918,107.9583
,,119.212,107.8632
,,119.506,107.7676
,,119.8,107.6717
,,120.094,107.5753
,,120.388,107.4786
,,120.682,107.3816
,,120.976,107.2841
,,121.27,107.1863
,,121.564,107.088
,,121.858,106.9894
,,122.152,106.8905
,,122.446,106.7911
,,122.74,106.6914
,,123.034,106.5913
,,123.328,106.4909
,,123.622,106.3901
,,123.916,106.2889
,,124.21,106.1873
,,124.504,106.0854
,,124.798,105.9831
,,125.092,105.8805
,,125.386,105.7775
,,125.68,105.6741
,,125.974,105.5704
,,126.267,105.4663
,,126.561,105.3618
,,126.855,105.257
,,127.149,105.1519
,,127.443,105.0464
,,127.737,104.9405
,,128.031,104.8343
,,128.325,104.7278
,,128.619,104.6209
,,128.913,104.5137
,,129.207,104.4061
,,129.501,104.2981
,,129.795,104.1899
,,130.089,104.0813
,,130.383,103.9723
,,130.677,103.863
,,130.971,103.7534
,,131.265,103.6434
,,131.559,103.5331
,,131.853,103.4225
,,132.147,103.3116
,,132.441,103.2003
,,132.735,103.0887
,,133.029,102.9767
,,133.322,102.8645
,,133.616,102.7519
,,133.91,102.6389
,,134.204,102.5257
,,134.498,102.4121
,,134.792,102.2983
,,135.086,102.1841
,,135.38,102.0696
,,135.674,101.9547
,,135.968,101.8396
,,136.262,101.7242
,,136.556,101.6084
,,136.85,101.4923
,,137.144,101.3759
,,137.438,101.2593
,,137.732,101.1423
,,138.026,101.025
,,138.32,100.9074
,,138.614,100.7895
,,138.908,100.6713
,,139.202,100.5528
,,139.496,100.434
,,139.79,100.3149
,,140.084,100.1955
,,140.378,100.0758
,,140.671,99.9559
,,140.965,99.8356
,,141.259,99.7151
,,141.553,99.5942
,,141.847,99.4731
,,142.141,99.3517
,,142.435,99.23
,,142.729,99.1081
,,143.023,98.9858
,,143.317,98.8633
,,143.611,98.7405
,,143.905,98.6174
,,144.199,98.4941
,,144.493,98.3704
,,144.787,98.2465
,,145.081,98.1224
,,145.375,97.9979
,,145.669,97.8732
,,145.963,97.7483
,,146.257,97.623
,,146.551,97.4975
,,146.845,97.3718
,,147.139,97.2458
,,147.433,97.1195
,,147.726,96.993
,,148.02,96.8662
,,148.314,96.7392
,,148.608,96.6119
,,148.902,96.4843
,,149.196,96.3565
,,149.49,96.2285
,,149.784,96.1002
,,150.078,95.9717
,,150.372,95.8429
,,150.666,95.7139
,,150.96,95.5846
,,151.254,95.4551
,,151.548,95.3254
,,151.842,95.1954
,,152.136,95.0652
,,152.43,94.9348
,,152.724,94.8041
,,153.018,94.6732
,,153.312,94.5421
,,153.606,94.4107
,,153.9,94.2791
,,154.194,94.1473
,,154.488,94.0153
,,154.781,93.883
,,155.075,93.7505
,,155.369,93.6178
,,155.663,93.4849
,,155.957,93.3518
,,156.251,93.2185
,,156.545,93.0849
,,156.839,92.9511
,,157.133,92.8172
,,157.427,92.683
,,157.721,92.5486
,,158.015,92.414
,,158.309,92.2792
,,158.603,92.1442
,,158.897,92.009
,,159.191,91.8736
,,159.485,91.738
,,159.779,91.6022
,,160.073,91.4662
,,160.367,91.33
,,160.661,91.1937
,,160.955,91.0571
,,161.249,90.9203
,,161.543,90.7834
,,161.837,90.6463
,,162.13,90.509
,,162.424,90.3715
,,162.718,90.2338
,,163.012,90.0959
,,163.306,89.9579
,,163.6,89.8197
,,163.894,89.6813
,,164.188,89.5427
,,164.482,89.404
,,164.776,89.2651
,,165.07,89.126
,,165.364,88.9868
,,165.658,88.8474
,,165.952,88.7078
,,166.246,88.5681
,,166.54,88.4282
,,166.834,88.2881
,,167.128,88.1479
,,167.422,88.0075
,,167.716,87.867
,,168.01,87.7263
,,168.304,87.5855
,,168.598,87.4445
,,168.892,87.3033
,,169.186,87.162
,,169.479,87.0206
,,169.773,86.879
,,170.067,86.7373
,,170.361,86.5954
,,170.655,86.4534
,,170.949,86.3113
,,171.243,86.169
,,171.537,86.0266
,,171.831,85.884
,,172.125,85.7413
,,172.419,85.5985
,,172.713,85.4555
,,173.007,85.3125
,,173.301,85.1692
,,173.595,85.0259
,,173.889,84.8824
,,174.183,84.7389
,,174.477,84.5951
,,174.771,84.4513
,,175.065,84.3074
,,175.359,84.1633
,,175.653,84.0191
,,175.947,83.8748
,,176.241,83.7304
,,176.534,83.5859
,,176.828,83.4413
,,177.122,83.2965
,,177.416,83.1517
,,177.71,83.0067
,,178.004,82.8617
,,178.298,82.7165
,,178.592,82.5713
,,178.886,82.4259
,,179.18,82.2804
,,179.474,82.1349
,,179.768,81.9892
,,180.062,81.8435
,,180.356,81.6977
,,180.65,81.5517
,,180.944,81.4057
,,181.238,81.2596
,,181.532,81.1134
,,181.826,80.9671
,,182.12,80.8208
,,182.414,80.6743
,,182.708,80.5278
,,183.002,80.3812
,,183.296,80.2345
,,183.589,80.0878
,,183.883,79.9409
,,184.177,79.794
,,184.471,79.647
,,184.765,79.5
,,185.059,79.3529
,,185.353,79.2057
,,185.647,79.0584
,,185.941,78.9111
,,186.235,78.7637
,,186.529,78.6163
,,186.823,78.4688
,,187.117,78.3212
,,187.411,78.1736
,,187.705,78.0259
,,187.999,77.8782
,,188.293,77.7304
,,188.587,77.5825
,,188.881,77.4346
,,189.175,77.2867
,,189.469,77.1387
,,189.763,76.9907
,,190.057,76.8426
,,190.351,76.6944
,,190.645,76.5463
,,190.938,76.3981
,,191.232,76.2498
,,191.526,76.1015
,,191.82,75.9532
,,192.114,75.8048
,,192.408,75.6564
,,192.702,75.508
,,192.996,75.3595
,,193.29,75.2111
,,193.584,75.0625
,,193.878,74.914
,,194.172,74.7654
,,194.466,74.6168
,,194.76,74.4682
,,195.054,74.3195
,,195.348,74.1709
,,195.642,74.0222
,,195.936,73.8735
,,196.23,73.7248
,,196.524,73.576
,,196.818,73.4273
,,197.112,73.2785
,,197.406,73.1297
,,197.7,72.981
,,197.993,72.8322
,,198.287,72.6834
,,198.581,72.5346
,,198.875,72.3858
,,199.169,72.237
,,199.463,72.0881
,,199.757,71.9393
,,200.051,71.7905
,,200.345,71.6417
,,200.639,71.4929
,,200.933,71.3441
,,201.227,71.1953
,,201.521,71.0465
,,201.815,70.8977
,,202.109,70.7489
,,202.403,70.6002
,,202.697,70.4514
,,202.991,70.3027
,,203.285,70.154
,,203.579,70.0053
,,203.873,69.8566
,,204.167,69.7079
,,204.461,69.5593
,,204.755,69.4106
,,205.049,69.262
,,205.342,69.1134
,,205.636,68.9649
,,205.93,68.8164
,,206.224,68.6679
,,206.518,68.5194
,,206.812,68.3709
,,207.106,68.2225
,,207.4,68.0742
,,207.694,67.9258
,,207.988,67.7775
,,208.282,67.6292
,,208.576,67.481
,,208.87,67.3328
,,209.164,67.1846
,,209.458,67.0365
,,209.752,66.8884
,,210.046,66.7404
,,210.34,66.5924
,,210.634,66.4445
,,210.928,66.2966
,,211.222,66.1487
,,211.516,66.0009
,,211.81,65.8532
,,212.104,65.7055
,,212.397,65.5579
,,212.691,65.4103
,,212.985,65.2627
,,213.279,65.1153
,,213.573,64.9678
,,213.867,64.8205
,,214.161,64.6732
,,214.455,64.526
,,214.749,64.3788
,,215.043,64.2317
,,215.337,64.0846
,,215.631,63.9376
,,215.925,63.7907
,,216.219,63.6439
,,216.513,63.4971
,,216.807,63.3504
,,217.101,63.2038
,,217.395,63.0572
,,217.689,62.9107
,,217.983,62.7643
,,218.277,62.618
,,218.571,62.4717
,,218.865,62.3256
,,219.159,62.1795
,,219.452,62.0334
,,219.746,61.8875
,,220.04,61.7416
,,220.334,61.5959
,,220.628,61.4502
,,220.922,61.3046
,,221.216,61.1591
,,221.51,61.0136
,,221.804,60.8683
,,222.098,60.7231
,,222.392,60.5779
,,222.686,60.4328
,,222.98,60.2879
,,223.274,60.143
,,223.568,59.9982
,,223.862,59.8535
,,224.156,59.709
,,224.45,59.5645
,,224.744,59.4201
,,225.038,59.2758
,,225.332,59.1316
,,225.626,58.9875
,,225.92,58.8435
,,226.214,58.6997
,,226.508,58.5559
,,226.801,58.4122
,,227.095,58.2687
,,227.389,58.1252
,,227.683,57.9819
,,227.977,57.8387
