Radius_[pixels],Normalized_Integrated_Intensity,X_Fit:_Gaussian,Fit:_Gaussian
1.335,97.8571,1.335,101.7706
2.670,106.8452,1.629,101.9033
4.005,112.2667,1.923,102.0356
5.339,116.3055,2.217,102.1675
6.674,121.1333,2.511,102.2991
8.009,108.0500,2.805,102.4303
9.344,104.5417,3.099,102.5611
10.679,109.3095,3.393,102.6916
12.014,108.8250,3.687,102.8218
13.348,110.5208,3.980,102.9515
14.683,110.1882,4.274,103.0809
16.018,107.4562,4.568,103.2099
17.353,109.3421,4.862,103.3385
18.688,111.4722,5.156,103.4668
20.023,114.9754,5.450,103.5946
21.357,113.7409,5.744,103.7221
22.692,110.9040,6.038,103.8492
24.027,113.7753,6.332,103.9759
25.362,113.1389,6.626,104.1023
26.697,109.8538,6.920,104.2282
28.032,116.1347,7.214,104.3537
29.367,115.7109,7.508,104.4789
30.701,116.7898,7.802,104.6036
32.036,109.1274,8.096,104.7280
33.371,110.9399,8.390,104.8520
34.706,112.6373,8.684,104.9755
36.041,113.9891,8.978,105.0986
37.376,118.7286,9.272,105.2214
38.710,113.6415,9.566,105.3437
40.045,115.6057,9.860,105.4657
41.380,111.2182,10.154,105.5872
42.715,116.0773,10.448,105.7083
44.050,112.2669,10.742,105.8289
45.385,116.7731,11.035,105.9492
46.719,115.3827,11.329,106.0691
48.054,113.6584,11.623,106.1885
49.389,115.2665,11.917,106.3075
50.724,113.7103,12.211,106.4261
52.059,113.8236,12.505,106.5442
53.394,116.3520,12.799,106.6619
54.729,115.6464,13.093,106.7792
56.063,117.1469,13.387,106.8961
57.398,115.1208,13.681,107.0125
58.733,115.9009,13.975,107.1285
60.068,119.0919,14.269,107.2441
61.403,117.4802,14.563,107.3592
62.738,118.9855,14.857,107.4739
64.072,119.9418,15.151,107.5881
65.407,121.4541,15.445,107.7019
66.742,114.9657,15.739,107.8152
68.077,117.5619,16.033,107.9281
69.412,117.2670,16.327,108.0405
70.747,115.8305,16.621,108.1525
72.081,118.6957,16.915,108.2640
73.416,116.6644,17.209,108.3751
74.751,116.5482,17.503,108.4857
76.086,116.0129,17.797,108.5959
77.421,114.5184,18.091,108.7056
78.756,116.4195,18.384,108.8148
80.090,115.3637,18.678,108.9236
81.425,115.3948,18.972,109.0319
82.760,116.4923,19.266,109.1397
