Radius_[pixels],Normalized_Integrated_Intensity,X_Fit:_Gaussian,Fit:_Gaussian
1.335,137.032,1.335,124.4872
2.67,127.048,1.629,124.5019
4.005,124.458,1.923,124.5158
5.339,124.049,2.217,124.5287
6.674,120.9,2.511,124.5408
8.009,122.237,2.805,124.552
9.344,123.892,3.099,124.5622
10.679,119.825,3.393,124.5716
12.014,122.944,3.687,124.5801
13.348,125.128,3.98,124.5877
14.683,124.126,4.274,124.5944
16.018,123.724,4.568,124.6002
17.353,124.386,4.862,124.6051
18.688,124.987,5.156,124.6091
20.023,126.079,5.45,124.6123
21.357,124.476,5.744,124.6145
22.692,124.234,6.038,124.6158
24.027,123.49,6.332,124.6163
25.362,120.931,6.626,124.6158
26.697,122.86,6.92,124.6145
28.032,122.313,7.214,124.6123
29.367,119.697,7.508,124.6091
30.701,119.825,7.802,124.6051
32.036,121.151,8.096,124.6002
33.371,121.453,8.39,124.5944
34.706,120.499,8.684,124.5877
36.041,118.811,8.978,124.5801
37.376,117.939,9.272,124.5716
38.71,118.236,9.566,124.5622
40.045,118.851,9.86,124.5519
41.38,117.214,10.154,124.5408
42.715,115.769,10.448,124.5287
44.05,115.124,10.742,124.5158
45.385,114.923,11.035,124.5019
46.719,115.144,11.329,124.4872
48.054,116.106,11.623,124.4716
49.389,115.126,11.917,124.4551
50.724,114.318,12.211,124.4377
52.059,113.795,12.505,124.4194
53.394,112.81,12.799,124.4002
54.729,113.504,13.093,124.3801
56.063,113.176,13.387,124.3592
57.398,110.269,13.681,124.3374
58.733,109.833,13.975,124.3146
60.068,110.005,14.269,124.291
61.403,108.742,14.563,124.2665
62.738,108.951,14.857,124.2412
64.072,109.219,15.151,124.2149
65.407,108.034,15.445,124.1878
66.742,106.228,15.739,124.1598
68.077,107.031,16.033,124.1308
69.412,106.218,16.327,124.1011
70.747,105.066,16.621,124.0704
72.081,105.608,16.915,124.0389
73.416,106.786,17.209,124.0065
74.751,106.169,17.503,123.9732
76.086,104.512,17.797,123.939
77.421,102.984,18.091,123.904
78.756,104.1,18.384,123.8681
80.09,103.671,18.678,123.8313
81.425,101.365,18.972,123.7936
82.76,101.177,19.266,123.7551
84.095,100.036,19.56,123.7157
85.43,100.381,19.854,123.6754
86.765,98.598,20.148,123.6343
88.1,97.441,20.442,123.5923
89.434,96.938,20.736,123.5495
90.769,96.854,21.03,123.5058
92.104,96.454,21.324,123.4612
93.439,93.651,21.618,123.4157
94.774,93.002,21.912,123.3694
96.109,91.297,22.206,123.3223
97.443,89.418,22.5,123.2743
98.778,89.801,22.794,123.2254
100.113,90.081,23.088,123.1757
101.448,89.193,23.382,123.1251
102.783,88.871,23.676,123.0737
104.118,87.916,23.97,123.0214
105.452,87.35,24.264,122.9683
106.787,85.751,24.558,122.9144
108.122,83.69,24.852,122.8596
109.457,83.003,25.146,122.8039
110.792,82.192,25.439,122.7474
112.127,79.628,25.733,122.6901
