Radius_[pixels],Normalized_Integrated_Intensity,X_Fit:_Gaussian,Fit:_Gaussian
1.335,122.5714,1.335,110.1486
2.670,124.1071,1.629,110.2402
4.005,119.2000,1.923,110.3314
5.339,116.9792,2.217,110.4222
6.674,113.6333,2.511,110.5126
8.009,119.7500,2.805,110.6026
9.344,126.2750,3.099,110.6922
10.679,113.4286,3.393,110.7814
12.014,113.0500,3.687,110.8702
13.348,116.4286,3.980,110.9586
14.683,115.4839,4.274,111.0466
16.018,121.0461,4.568,111.1342
17.353,116.9145,4.862,111.2214
18.688,114.8654,5.156,111.3082
20.023,114.1477,5.450,111.3946
21.357,117.6196,5.744,111.4806
22.692,117.7337,6.038,111.5662
24.027,119.7411,6.332,111.6513
25.362,115.2222,6.626,111.7361
26.697,116.0132,6.920,111.8204
28.032,118.0458,7.214,111.9044
29.367,119.3945,7.508,111.9879
30.701,119.4328,7.802,112.0710
32.036,118.7206,8.096,112.1537
33.371,116.1324,8.390,112.2359
34.706,115.2500,8.684,112.3178
36.041,115.2083,8.978,112.3992
37.376,116.7660,9.272,112.4802
38.710,118.7801,9.566,112.5608
40.045,117.9273,9.860,112.6410
41.380,117.4821,10.154,112.7207
42.715,118.0129,10.448,112.8001
44.050,120.4309,10.742,112.8790
45.385,116.3537,11.035,112.9574
46.719,116.8929,11.329,113.0355
48.054,115.1348,11.623,113.1131
49.389,118.1321,11.917,113.1903
50.724,116.8257,12.211,113.2671
52.059,121.1384,12.505,113.3434
53.394,115.1317,12.799,113.4193
54.729,116.1304,13.093,113.4948
56.063,114.9098,13.387,113.5699
57.398,116.3479,13.681,113.6445
58.733,118.6612,13.975,113.7187
60.068,110.8860,14.269,113.7924
61.403,114.9631,14.563,113.8657
62.738,112.2591,14.857,113.9386
64.072,113.6746,15.151,114.0110
65.407,115.2826,15.445,114.0830
66.742,113.2517,15.739,114.1546
68.077,112.2118,16.033,114.2257
69.412,112.8838,16.327,114.2964
70.747,114.0473,16.621,114.3666
72.081,114.7959,16.915,114.4364
73.416,113.9773,17.209,114.5058
74.751,113.7123,17.503,114.5747
76.086,114.2377,17.797,114.6432
77.421,108.9415,18.091,114.7112
78.756,109.1965,18.384,114.7788
80.090,109.5074,18.678,114.8459
81.425,110.3110,18.972,114.9126
82.760,110.5549,19.266,114.9788
84.095,109.8462,19.560,115.0446
85.430,111.2907,19.854,115.1099
86.765,110.3195,20.148,115.1748
88.100,108.8899,20.442,115.2392
89.434,109.9153,20.736,115.3032
90.769,110.5495,21.030,115.3667
92.104,109.6616,21.324,115.4298
93.439,106.2287,21.618,115.4924
94.774,108.1844,21.912,115.5546
96.109,108.4563,22.206,115.6163
97.443,108.3317,22.500,115.6775
98.778,107.8313,22.794,115.7383
100.113,109.5894,23.088,115.7986
101.448,106.2937,23.382,115.8585
102.783,106.9114,23.676,115.9179
104.118,107.9909,23.970,115.9769
105.452,109.2338,24.264,116.0353
106.787,110.5540,24.558,116.0934
108.122,109.0905,24.852,116.1509
109.457,108.2862,25.146,116.2080
110.792,110.3397,25.439,116.2647
112.127,111.6723,25.733,116.3209
113.462,110.5710,26.027,116.3766
114.796,111.6355,26.321,116.4318
116.131,111.6793,26.615,116.4866
117.466,112.9359,26.909,116.5409
118.801,112.9012,27.203,116.5947
120.136,113.3602,27.497,116.6481
121.471,113.6808,27.791,116.7010
122.805,113.9216,28.085,116.7534
124.140,113.5940,28.379,116.8054
125.475,115.3320,28.673,116.8569
126.810,113.2912,28.967,116.9079
128.145,112.5681,29.261,116.9585
129.480,114.3311,29.555,117.0085
130.814,113.5703,29.849,117.0581
132.149,112.2896,30.143,117.1073
133.484,112.9274,30.437,117.1559
134.819,112.7031,30.731,117.2041
136.154,113.6424,31.025,117.2518
137.489,112.1294,31.319,117.2990
138.824,111.0421,31.613,117.3458
140.158,110.4282,31.907,117.3921
141.493,111.3667,32.201,117.4379
142.828,112.0961,32.495,117.4832
144.163,110.8832,32.788,117.5280
145.498,111.4919,33.082,117.5724
146.833,111.5775,33.376,117.6162
148.167,110.8117,33.670,117.6596
149.502,109.4383,33.964,117.7026
150.837,109.0957,34.258,117.7450
152.172,110.1242,34.552,117.7869
153.507,108.7556,34.846,117.8284
154.842,108.6805,35.140,117.8694
156.176,107.0150,35.434,117.9099
157.511,105.3430,35.728,117.9499
158.846,102.8702,36.022,117.9895
160.181,102.7231,36.316,118.0285
161.516,101.8488,36.610,118.0671
162.851,102.2564,36.904,118.1051
164.186,101.0961,37.198,118.1427
165.520,98.8858,37.492,118.1798
166.855,98.6845,37.786,118.2165
168.190,97.5747,38.080,118.2526
169.525,95.3862,38.374,118.2882
170.860,93.3258,38.668,118.3234
172.195,92.2046,38.962,118.3580
173.529,90.0471,39.256,118.3922
174.864,89.2553,39.550,118.4259
176.199,87.7582,39.843,118.4591
177.534,87.4556,40.137,118.4918
178.869,85.9677,40.431,118.5240
180.204,84.9624,40.725,118.5557
181.538,82.8862,41.019,118.5869
182.873,81.3463,41.313,118.6177
184.208,79.9319,41.607,118.6479
185.543,79.3164,41.901,118.6777
186.878,79.5500,42.195,118.7069
188.213,77.4708,42.489,118.7357
189.548,75.5575,42.783,118.7640
190.882,75.1434,43.077,118.7917
192.217,73.6212,43.371,118.8190
193.552,72.4304,43.665,118.8458
194.887,70.8339,43.959,118.8721
196.222,69.7482,44.253,118.8979
197.557,69.0665,44.547,118.9232
198.891,68.9327,44.841,118.9480
200.226,68.3394,45.135,118.9723
201.561,66.6000,45.429,118.9961
202.896,65.8857,45.723,119.0194
204.231,64.8274,46.017,119.0422
205.566,63.6935,46.311,119.0645
206.900,63.1404,46.605,119.0863
208.235,61.9606,46.899,119.1077
209.570,61.3091,47.192,119.1285
210.905,60.9418,47.486,119.1488
212.240,60.4199,47.780,119.1686
213.575,60.1936,48.074,119.1879
214.910,58.9935,48.368,119.2068
216.244,58.5243,48.662,119.2251
217.579,57.5389,48.956,119.2429
218.914,56.6163,49.250,119.2602
220.249,55.6239,49.544,119.2771
221.584,55.2298,49.838,119.2934
222.919,54.8472,50.132,119.3092
224.253,54.0085,50.426,119.3245
225.588,53.3190,50.720,119.3393
226.923,52.8608,51.014,119.3537
228.258,52.6303,51.308,119.3675
229.593,52.0319,51.602,119.3808
230.928,51.3713,51.896,119.3936
232.262,50.9592,52.190,119.4059
233.597,50.7185,52.484,119.4177
234.932,50.0759,52.778,119.4290
236.267,49.3638,53.072,119.4398
237.602,48.6471,53.366,119.4501
238.937,48.4672,53.660,119.4599
240.271,48.2564,53.954,119.4692
241.606,47.7625,54.247,119.4780
242.941,47.2278,54.541,119.4863
244.276,46.4142,54.835,119.4941
245.611,45.6930,55.129,119.5014
246.946,45.3330,55.423,119.5082
248.281,44.9700,55.717,119.5145
249.615,44.5681,56.011,119.5202
250.950,44.1723,56.305,119.5255
252.285,43.8821,56.599,119.5303
253.620,43.7449,56.893,119.5345
254.955,43.2463,57.187,119.5383
256.290,42.7862,57.481,119.5415
257.624,42.6901,57.775,119.5443
258.959,42.2124,58.069,119.5466
260.294,41.9785,58.363,119.5483
261.629,41.5498,58.657,119.5495
262.964,41.3008,58.951,119.5503
264.299,40.8461,59.245,119.5505
265.633,40.6579,59.539,119.5502
266.968,40.3536,59.833,119.5495
268.303,40.0275,60.127,119.5482
269.638,39.8575,60.421,119.5464
270.973,39.8025,60.715,119.5441
272.308,39.7948,61.009,119.5413
273.643,39.5890,61.303,119.5380
274.977,39.1920,61.596,119.5342
276.312,38.6516,61.890,119.5299
277.647,38.3780,62.184,119.5251
278.982,38.1705,62.478,119.5198
280.317,38.0706,62.772,119.5140
281.652,37.8910,63.066,119.5077
282.986,37.8659,63.360,119.5009
284.321,37.8245,63.654,119.4936
285.656,37.8297,63.948,119.4857
286.991,37.8978,64.242,119.4774
288.326,37.6137,64.536,119.4686
289.661,37.4018,64.830,119.4592
290.995,37.1058,65.124,119.4494
292.330,36.7680,65.418,119.4391
293.665,36.4137,65.712,119.4282
295.000,36.3436,66.006,119.4169
"","",66.300,119.4050
"","",66.594,119.3927
"","",66.888,119.3798
"","",67.182,119.3665
"","",67.476,119.3526
"","",67.770,119.3383
"","",68.064,119.3234
"","",68.358,119.3081
"","",68.651,119.2922
"","",68.945,119.2758
"","",69.239,119.2590
"","",69.533,119.2416
"","",69.827,119.2238
"","",70.121,119.2054
"","",70.415,119.1866
"","",70.709,119.1672
"","",71.003,119.1473
