Radius_[pixels],Normalized_Integrated_Intensity,X_Fit:_Gaussian,Fit:_Gaussian
1.335,108.8889,1.335,107.8682
2.67,114.6072,1.629,107.9718
4.005,118.4167,1.923,108.0749
5.339,122.618,2.217,108.1776
6.674,112.5722,2.511,108.2798
8.009,118.7125,2.805,108.3815
9.344,127.075,3.099,108.4828
10.679,123.246,3.393,108.5836
12.014,116.6445,3.687,108.684
13.348,124.5982,3.98,108.7839
14.683,120.4221,4.274,108.8833
16.018,122.943,4.568,108.9822
17.353,120.8816,4.862,109.0807
18.688,114.5684,5.156,109.1787
20.023,116.9072,5.45,109.2762
21.357,122.2301,5.744,109.3733
22.692,115.221,6.038,109.4698
24.027,114.5863,6.332,109.5659
25.362,113.6667,6.626,109.6615
26.697,114.8553,6.92,109.7566
28.032,114.7389,7.214,109.8512
29.367,112.7253,7.508,109.9454
30.701,111.2016,7.802,110.039
32.036,114.0441,8.096,110.1321
33.371,112.337,8.39,110.2248
34.706,114.0387,8.684,110.317
36.041,110.3006,8.978,110.4086
37.376,108.6218,9.272,110.4998
38.71,110.0492,9.566,110.5904
40.045,109.7161,9.86,110.6806
41.38,111.8452,10.154,110.7702
42.715,110.1675,10.448,110.8594
44.05,110.1534,10.742,110.948
45.385,113.3111,11.035,111.0362
46.719,111.8878,11.329,111.1238
48.054,109.9183,11.623,111.2109
49.389,112.9324,11.917,111.2975
50.724,109.7309,12.211,111.3836
52.059,110.4598,12.505,111.4691
53.394,108.1853,12.799,111.5542
54.729,109.1804,13.093,111.6387
56.063,110.7719,13.387,111.7227
57.398,107.4479,13.681,111.8061
58.733,106.5985,13.975,111.8891
60.068,109.0814,14.269,111.9715
61.403,109.7841,14.563,112.0534
62.738,108.5797,14.857,112.1348
64.072,107.2022,15.151,112.2156
65.407,110.1534,15.445,112.2959
66.742,112.4837,15.739,112.3757
68.077,110.5387,16.033,112.4549
69.412,107.973,16.327,112.5336
70.747,109.7055,16.621,112.6118
72.081,106.3196,16.915,112.6894
73.416,107.9421,17.209,112.7664
74.751,110.0031,17.503,112.843
76.086,111.501,17.797,112.919
77.421,110.99,18.091,112.9944
78.756,111.2678,18.384,113.0693
80.09,112.7191,18.678,113.1436
81.425,109.1266,18.972,113.2174
82.76,111.658,19.266,113.2907
84.095,113.9378,19.56,113.3634
85.43,114.1226,19.854,113.4355
86.765,110.2116,20.148,113.5071
88.1,112.4352,20.442,113.5781
89.434,111.4973,20.736,113.6486
90.769,111.0478,21.03,113.7185
92.104,113.2234,21.324,113.7878
93.439,113.2638,21.618,113.8566
94.774,112.5028,21.912,113.9249
96.109,113.1238,22.206,113.9925
97.443,113.6535,22.5,114.0596
98.778,113.6523,22.794,114.1261
100.113,112.998,23.088,114.1921
101.448,113.0426,23.382,114.2575
102.783,112.4798,23.676,114.3223
104.118,113.0508,23.97,114.3865
105.452,112.7014,24.264,114.4502
106.787,115.032,24.558,114.5133
108.122,113.1753,24.852,114.5758
109.457,113.5896,25.146,114.6378
110.792,114.3178,25.439,114.6991
112.127,114.4793,25.733,114.7599
113.462,113.161,26.027,114.8201
114.796,112.9267,26.321,114.8797
116.131,110.7219,26.615,114.9388
117.466,111.7215,26.909,114.9972
118.801,111.905,27.203,115.0551
120.136,111.1414,27.497,115.1124
121.471,109.4801,27.791,115.1691
122.805,110.2578,28.085,115.2252
124.14,107.5934,28.379,115.2807
125.475,107.7125,28.673,115.3357
126.81,106.2017,28.967,115.39
128.145,106.8589,29.261,115.4438
129.48,104.9691,29.555,115.4969
130.814,103.7284,29.849,115.5495
132.149,104.9654,30.143,115.6015
133.484,104.9218,30.437,115.6528
134.819,104.0828,30.731,115.7036
136.154,103.57,31.025,115.7538
137.489,104.551,31.319,115.8034
138.824,103.3499,31.613,115.8523
140.158,100.5375,31.907,115.9007
141.493,99.8374,32.201,115.9485
142.828,97.8092,32.495,115.9957
144.163,97.3801,32.788,116.0422
145.498,95.6861,33.082,116.0882
146.833,95.4447,33.376,116.1336
148.167,95.3586,33.67,116.1783
149.502,95.6667,33.964,116.2224
150.837,93.3202,34.258,116.266
152.172,90.9667,34.552,116.3089
153.507,89.5106,34.846,116.3512
154.842,88.7442,35.14,116.3929
156.176,89.1482,35.434,116.434
157.511,88.9492,35.728,116.4745
158.846,87.324,36.022,116.5144
160.181,86.1837,36.316,116.5536
161.516,85.1238,36.61,116.5923
162.851,83.521,36.904,116.6303
164.186,83.105,37.198,116.6677
165.52,82.6649,37.492,116.7045
166.855,81.5329,37.786,116.7407
168.19,80.8785,38.08,116.7763
169.525,79.0117,38.374,116.8112
170.86,77.6014,38.668,116.8455
172.195,77.1166,38.962,116.8792
173.529,75.8757,39.256,116.9123
174.864,74.1828,39.55,116.9448
176.199,73.8049,39.843,116.9766
177.534,73.6191,40.137,117.0078
178.869,73.0794,40.431,117.0384
180.204,72.5862,40.725,117.0684
181.538,71.7081,41.019,117.0977
182.873,70.708,41.313,117.1264
184.208,68.9286,41.607,117.1545
185.543,67.3492,41.901,117.182
186.878,66.9761,42.195,117.2089
188.213,67.0095,42.489,117.2351
189.548,66.1478,42.783,117.2607
190.882,64.9038,43.077,117.2856
192.217,63.5373,43.371,117.3099
193.552,62.7203,43.665,117.3336
194.887,61.5218,43.959,117.3567
196.222,60.9365,44.253,117.3792
