Radius_[pixels],Normalized_Integrated_Intensity,X_Fit:_Gaussian,Fit:_Gaussian
1.335,137.794,1.335,106.2411
2.670,110.381,1.629,106.3580
4.005,117.942,1.923,106.4744
5.339,114.583,2.217,106.5905
6.674,116.756,2.511,106.7062
8.009,118.533,2.805,106.8214
9.344,117.654,3.099,106.9362
10.679,111.131,3.393,107.0507
12.014,112.200,3.687,107.1647
13.348,112.848,3.980,107.2783
14.683,112.048,4.274,107.3915
16.018,106.458,4.568,107.5042
17.353,113.311,4.862,107.6166
18.688,110.045,5.156,107.7285
20.023,116.239,5.450,107.8400
21.357,118.134,5.744,107.9511
22.692,115.072,6.038,108.0618
24.027,116.187,6.332,108.1720
25.362,113.060,6.626,108.2818
26.697,111.658,6.920,108.3911
28.032,113.994,7.214,108.5001
29.367,116.896,7.508,108.6086
30.701,115.872,7.802,108.7166
32.036,115.762,8.096,108.8242
33.371,115.267,8.390,108.9314
34.706,117.528,8.684,109.0381
36.041,118.774,8.978,109.1444
37.376,116.718,9.272,109.2503
38.710,115.806,9.566,109.3557
40.045,117.993,9.860,109.4606
41.380,115.414,10.154,109.5651
42.715,112.982,10.448,109.6692
44.050,117.504,10.742,109.7728
45.385,114.901,11.035,109.8759
46.719,113.697,11.329,109.9786
48.054,114.070,11.623,110.0808
49.389,117.763,11.917,110.1826
50.724,115.491,12.211,110.2839
52.059,115.906,12.505,110.3848
53.394,115.946,12.799,110.4851
54.729,115.814,13.093,110.5851
56.063,112.905,13.387,110.6845
57.398,110.324,13.681,110.7835
58.733,113.041,13.975,110.8820
60.068,112.470,14.269,110.9800
61.403,111.292,14.563,111.0776
62.738,114.519,14.857,111.1747
64.072,114.753,15.151,111.2713
65.407,113.378,15.445,111.3674
66.742,112.530,15.739,111.4631
68.077,117.438,16.033,111.5582
69.412,114.398,16.327,111.6529
70.747,112.857,16.621,111.7471
72.081,114.185,16.915,111.8408
73.416,111.845,17.209,111.9340
74.751,113.617,17.503,112.0268
76.086,112.232,17.797,112.1190
77.421,111.989,18.091,112.2108
78.756,111.869,18.384,112.3021
80.090,111.789,18.678,112.3928
81.425,113.526,18.972,112.4831
82.760,113.262,19.266,112.5729
84.095,114.196,19.560,112.6621
85.430,112.100,19.854,112.7509
86.765,113.685,20.148,112.8392
88.100,115.534,20.442,112.9270
89.434,113.878,20.736,113.0142
90.769,111.650,21.030,113.1010
92.104,114.779,21.324,113.1872
93.439,111.981,21.618,113.2730
94.774,114.032,21.912,113.3582
96.109,112.594,22.206,113.4429
97.443,110.478,22.500,113.5271
98.778,112.661,22.794,113.6108
100.113,112.608,23.088,113.6940
101.448,113.578,23.382,113.7767
102.783,112.871,23.676,113.8588
104.118,109.888,23.970,113.9404
105.452,112.243,24.264,114.0215
106.787,111.364,24.558,114.1021
108.122,110.729,24.852,114.1822
109.457,111.957,25.146,114.2617
