Radius_[pixels],Normalized_Integrated_Intensity,X_Fit:_Gaussian,Fit:_Gaussian
1.335,105.2222,1.335,88.4934
2.67,100.2619,1.629,88.7151
4.005,102.575,1.923,88.9367
5.339,98.6667,2.217,89.1581
6.674,103.7667,2.511,89.3794
8.009,98.4458,2.805,89.6006
9.344,94.6958,3.099,89.8216
10.679,102.7103,3.393,90.0424
12.014,102.0028,3.687,90.263
13.348,100.0089,3.98,90.4835
14.683,100.3575,4.274,90.7038
16.018,99.6294,4.568,90.9238
17.353,101.2676,4.862,91.1437
18.688,102.6368,5.156,91.3633
20.023,100.4678,5.45,91.5827
21.357,100.5471,5.744,91.8018
22.692,104.3986,6.038,92.0207
24.027,103.4003,6.332,92.2393
25.362,105.358,6.626,92.4577
26.697,100.7047,6.92,92.6758
28.032,104.0097,7.214,92.8936
29.367,105.7265,7.508,93.1111
30.701,104.3918,7.802,93.3283
32.036,103.0563,8.096,93.5451
33.371,105.1017,8.39,93.7617
34.706,103.9578,8.684,93.9779
36.041,105.4594,8.978,94.1937
37.376,106.0865,9.272,94.4093
38.71,103.6747,9.566,94.6244
40.045,105.3159,9.86,94.8392
41.38,105.1081,10.154,95.0536
42.715,108.6941,10.448,95.2676
44.05,109.1188,10.742,95.4811
45.385,106.5169,11.035,95.6943
46.719,106.534,11.329,95.9071
48.054,107.4265,11.623,96.1194
49.389,110.0574,11.917,96.3313
50.724,111.4274,12.211,96.5428
52.059,111.6242,12.505,96.7537
53.394,112.7552,12.799,96.9643
54.729,111.0979,13.093,97.1743
56.063,110.974,13.387,97.3838
57.398,112.5222,13.681,97.5929
58.733,114.9807,13.975,97.8014
60.068,115.8652,14.269,98.0095
61.403,118.1147,14.563,98.217
62.738,120.0444,14.857,98.4239
64.072,120.7928,15.151,98.6303
65.407,120.2862,15.445,98.8362
66.742,120.7022,15.739,99.0415
68.077,118.4433,16.033,99.2462
69.412,119.9096,16.327,99.4504
70.747,120.7083,16.621,99.6539
72.081,120.1777,16.915,99.8568
73.416,119.8972,17.209,100.0592
74.751,120.827,17.503,100.2609
76.086,120.7099,17.797,100.462
77.421,122.2152,18.091,100.6624
78.756,122.8377,18.384,100.8622
80.09,122.8843,18.678,101.0613
81.425,122.2216,18.972,101.2598
82.76,121.6016,19.266,101.4575
84.095,121.1552,19.56,101.6546
85.43,121.0637,19.854,101.851
86.765,119.3788,20.148,102.0467
88.1,117.6576,20.442,102.2416
89.434,117.9521,20.736,102.4359
90.769,118.3042,21.03,102.6294
92.104,119.1023,21.324,102.8221
93.439,116.9446,21.618,103.0141
94.774,115.2818,21.912,103.2054
96.109,115.7099,22.206,103.3958
97.443,114.1968,22.5,103.5855
98.778,113.0148,22.794,103.7744
100.113,113.706,23.088,103.9624
101.448,112.8568,23.382,104.1497
102.783,111.9059,23.676,104.3362
104.118,110.4466,23.97,104.5218
