Radius_[pixels],Normalized_Integrated_Intensity,X_Fit:_Gaussian,Fit:_Gaussian
1.335,143.746,1.335,105.2916
2.670,113.333,1.629,105.4136
4.005,114.142,1.923,105.5353
5.339,113.069,2.217,105.6565
6.674,119.456,2.511,105.7773
8.009,114.229,2.805,105.8978
9.344,109.583,3.099,106.0178
10.679,107.028,3.393,106.1374
12.014,108.619,3.687,106.2566
13.348,111.429,3.980,106.3754
14.683,112.551,4.274,106.4938
16.018,107.066,4.568,106.6117
17.353,111.447,4.862,106.7293
18.688,108.786,5.156,106.8464
20.023,112.782,5.450,106.9631
21.357,114.051,5.744,107.0794
22.692,113.659,6.038,107.1953
24.027,114.253,6.332,107.3107
25.362,112.779,6.626,107.4257
26.697,109.971,6.920,107.5403
28.032,115.218,7.214,107.6544
29.367,117.408,7.508,107.7682
30.701,117.646,7.802,107.8814
32.036,112.321,8.096,107.9943
33.371,114.065,8.390,108.1067
34.706,116.104,8.684,108.2186
36.041,117.083,8.978,108.3301
37.376,118.989,9.272,108.4412
38.710,115.092,9.566,108.5518
40.045,116.617,9.860,108.6620
41.380,113.140,10.154,108.7718
42.715,113.615,10.448,108.8810
44.050,114.984,10.742,108.9899
45.385,119.090,11.035,109.0982
46.719,117.649,11.329,109.2061
48.054,114.282,11.623,109.3136
49.389,115.913,11.917,109.4206
50.724,116.071,12.211,109.5271
52.059,116.906,12.505,109.6332
53.394,117.057,12.799,109.7388
54.729,115.367,13.093,109.8439
56.063,116.635,13.387,109.9485
57.398,114.538,13.681,110.0527
58.733,116.935,13.975,110.1565
60.068,117.986,14.269,110.2597
61.403,115.751,14.563,110.3625
62.738,117.015,14.857,110.4648
64.072,117.871,15.151,110.5666
65.407,116.446,15.445,110.6679
66.742,113.407,15.739,110.7687
68.077,115.778,16.033,110.8691
69.412,114.836,16.327,110.9690
70.747,114.990,16.621,111.0684
72.081,117.164,16.915,111.1672
73.416,115.447,17.209,111.2656
74.751,115.035,17.503,111.3636
76.086,112.589,17.797,111.4610
77.421,111.798,18.091,111.5579
78.756,113.092,18.384,111.6543
80.090,111.502,18.678,111.7502
81.425,111.793,18.972,111.8457
82.760,114.510,19.266,111.9406
84.095,112.929,19.560,112.0350
85.430,112.411,19.854,112.1289
86.765,111.699,20.148,112.2223
88.100,112.928,20.442,112.3152
89.434,111.283,20.736,112.4076
90.769,110.742,21.030,112.4995
92.104,113.560,21.324,112.5908
93.439,110.328,21.618,112.6817
94.774,112.372,21.912,112.7720
96.109,110.199,22.206,112.8618
97.443,107.377,22.500,112.9511
98.778,110.073,22.794,113.0399
100.113,110.671,23.088,113.1281
101.448,110.258,23.382,113.2158
102.783,108.836,23.676,113.3030
104.118,109.308,23.970,113.3897
105.452,110.507,24.264,113.4758
106.787,110.985,24.558,113.5614
108.122,109.530,24.852,113.6465
109.457,110.837,25.146,113.7311
110.792,111.215,25.439,113.8151
112.127,112.560,25.733,113.8986
113.462,111.773,26.027,113.9815
114.796,111.243,26.321,114.0639
116.131,112.374,26.615,114.1458
117.466,112.641,26.909,114.2271
118.801,109.870,27.203,114.3079
120.136,111.433,27.497,114.3881
121.471,111.923,27.791,114.4678
122.805,113.027,28.085,114.5469
124.140,112.041,28.379,114.6255
125.475,111.657,28.673,114.7036
126.810,112.354,28.967,114.7811
128.145,112.142,29.261,114.8580
129.480,112.368,29.555,114.9344
130.814,112.439,29.849,115.0102
132.149,114.870,30.143,115.0855
133.484,115.115,30.437,115.1602
134.819,115.626,30.731,115.2344
136.154,115.093,31.025,115.3080
137.489,114.802,31.319,115.3810
138.824,114.054,31.613,115.4535
140.158,112.246,31.907,115.5254
141.493,112.048,32.201,115.5968
142.828,110.892,32.495,115.6676
144.163,111.194,32.788,115.7378
145.498,109.594,33.082,115.8074
146.833,110.473,33.376,115.8765
148.167,110.640,33.670,115.9450
149.502,110.508,33.964,116.0130
150.837,108.332,34.258,116.0803
152.172,105.530,34.552,116.1471
153.507,104.214,34.846,116.2133
154.842,102.600,35.140,116.2790
156.176,102.701,35.434,116.3440
157.511,102.844,35.728,116.4085
158.846,100.663,36.022,116.4724
160.181,99.588,36.316,116.5358
161.516,98.318,36.610,116.5985
162.851,96.634,36.904,116.6607
164.186,96.007,37.198,116.7222
165.520,95.120,37.492,116.7832
166.855,93.359,37.786,116.8436
