Radius_[pixels],Normalized_Integrated_Intensity,X_Fit:_Gaussian,Fit:_Gaussian
1.335,138,1.335,105.9272
2.67,118.524,1.629,106.05
4.005,115.525,1.923,106.1724
5.339,116.84,2.217,106.2944
6.674,118.789,2.511,106.416
8.009,117.15,2.805,106.5371
9.344,111.429,3.099,106.6577
10.679,112.206,3.393,106.778
12.014,106.911,3.687,106.8978
13.348,114.387,3.98,107.0171
14.683,114.452,4.274,107.136
16.018,109.713,4.568,107.2545
17.353,110.882,4.862,107.3725
18.688,109.297,5.156,107.4901
20.023,112.799,5.45,107.6072
21.357,115.386,5.744,107.7238
22.692,114.176,6.038,107.84
24.027,117.539,6.332,107.9558
25.362,113.278,6.626,108.0711
26.697,110.937,6.92,108.1859
28.032,115.55,7.214,108.3002
29.367,115.799,7.508,108.4141
30.701,120.128,7.802,108.5275
32.036,115.556,8.096,108.6405
33.371,116.732,8.39,108.753
34.706,117.626,8.684,108.865
36.041,114.937,8.978,108.9765
37.376,113.277,9.272,109.0875
38.71,114.799,9.566,109.1981
40.045,118.215,9.86,109.3082
41.38,114.559,10.154,109.4177
42.715,115.276,10.448,109.5269
44.05,115.544,10.742,109.6355
45.385,117.816,11.035,109.7436
46.719,116.063,11.329,109.8512
48.054,111.913,11.623,109.9584
49.389,115.785,11.917,110.065
50.724,116.091,12.211,110.1712
52.059,114.995,12.505,110.2768
53.394,116.158,12.799,110.3819
54.729,117.198,13.093,110.4866
56.063,117.93,13.387,110.5907
57.398,113.51,13.681,110.6943
58.733,113.98,13.975,110.7974
60.068,113.877,14.269,110.9
61.403,114.24,14.563,111.0021
62.738,114.162,14.857,111.1037
64.072,113.765,15.151,111.2047
65.407,115.524,15.445,111.3053
66.742,111.659,15.739,111.4053
68.077,112.703,16.033,111.5047
69.412,113.533,16.327,111.6037
70.747,114.412,16.621,111.7021
72.081,113.77,16.915,111.8
73.416,113.759,17.209,111.8974
74.751,112.546,17.503,111.9942
76.086,112.855,17.797,112.0906
77.421,110.239,18.091,112.1863
78.756,111.555,18.384,112.2816
80.09,112.07,18.678,112.3762
81.425,109.969,18.972,112.4704
82.76,110.077,19.266,112.564
84.095,109.405,19.56,112.6571
85.43,110.491,19.854,112.7496
86.765,110.284,20.148,112.8415
88.1,111.86,20.442,112.933
89.434,111.177,20.736,113.0238
90.769,110.767,21.03,113.1141
92.104,110.793,21.324,113.2039
93.439,109.55,21.618,113.2931
94.774,110.508,21.912,113.3817
96.109,109.365,22.206,113.4698
97.443,106.327,22.5,113.5573
98.778,110.078,22.794,113.6443
100.113,110.172,23.088,113.7307
101.448,109.091,23.382,113.8165
102.783,108.753,23.676,113.9017
104.118,109.536,23.97,113.9864
105.452,109.941,24.264,114.0705
106.787,110.561,24.558,114.1541
108.122,111.525,24.852,114.237
109.457,110.947,25.146,114.3194
110.792,112.661,25.439,114.4012
112.127,113.073,25.733,114.4825
113.462,112.948,26.027,114.5631
114.796,113.075,26.321,114.6432
116.131,114.057,26.615,114.7227
117.466,113.786,26.909,114.8016
118.801,112.308,27.203,114.8799
120.136,112.502,27.497,114.9576
121.471,113.213,27.791,115.0348
122.805,114.439,28.085,115.1113
124.14,114.08,28.379,115.1872
125.475,113.042,28.673,115.2626
126.81,113.323,28.967,115.3374
128.145,112.814,29.261,115.4115
129.48,112.938,29.555,115.4851
130.814,112.352,29.849,115.5581
132.149,114.644,30.143,115.6304
133.484,115.304,30.437,115.7022
134.819,114.96,30.731,115.7733
136.154,113.944,31.025,115.8439
137.489,113.508,31.319,115.9138
138.824,112.959,31.613,115.9832
140.158,111.002,31.907,116.0519
141.493,110.776,32.201,116.12
142.828,108.077,32.495,116.1875
144.163,108.467,32.788,116.2544
145.498,106.178,33.082,116.3207
146.833,105.629,33.376,116.3863
148.167,105.301,33.67,116.4514
149.502,106.301,33.964,116.5158
150.837,103.301,34.258,116.5796
152.172,100.804,34.552,116.6428
153.507,99.599,34.846,116.7054
154.842,97.816,35.14,116.7673
156.176,97.528,35.434,116.8286
157.511,96.931,35.728,116.8893
158.846,95.221,36.022,116.9494
160.181,93.75,36.316,117.0088
161.516,92.501,36.61,117.0676
162.851,90.7,36.904,117.1258
164.186,89.64,37.198,117.1833
165.52,89.119,37.492,117.2403
166.855,88.087,37.786,117.2965
168.19,86.835,38.08,117.3522
169.525,84.811,38.374,117.4072
170.86,83.039,38.668,117.4616
172.195,82.062,38.962,117.5153
173.529,80.816,39.256,117.5684
174.864,78.638,39.55,117.6209
176.199,78.019,39.843,117.6727
177.534,77.721,40.137,117.7239
178.869,77.06,40.431,117.7744
180.204,76.253,40.725,117.8243
181.538,74.963,41.019,117.8735
182.873,73.664,41.313,117.9221
184.208,71.794,41.607,117.9701
185.543,70.062,41.901,118.0174
186.878,69.251,42.195,118.064
188.213,68.791,42.489,118.1101
189.548,68.022,42.783,118.1554
190.882,66.755,43.077,118.2001
192.217,65.151,43.371,118.2442
193.552,64.087,43.665,118.2876
194.887,62.761,43.959,118.3303
196.222,61.819,44.253,118.3724
197.557,61.74,44.547,118.4139
198.891,60.868,44.841,118.4546
200.226,60.043,45.135,118.4948
