Radius_[pixels],Normalized_Integrated_Intensity,X_Fit:_Gaussian,Fit:_Gaussian
1.335,117.7937,1.335,104.7959
2.670,118.5119,1.629,104.9122
4.005,111.9750,1.923,105.0281
5.339,118.7014,2.217,105.1436
6.674,112.9278,2.511,105.2588
8.009,107.5000,2.805,105.3735
9.344,108.8708,3.099,105.4879
10.679,107.5913,3.393,105.6019
12.014,111.0750,3.687,105.7154
13.348,113.1458,3.980,105.8286
14.683,109.8656,4.274,105.9415
16.018,112.6052,4.568,106.0539
17.353,115.8794,4.862,106.1659
18.688,118.5385,5.156,106.2775
20.023,112.6705,5.450,106.3887
21.357,107.9149,5.744,106.4995
22.692,112.2101,6.038,106.6099
24.027,112.5491,6.332,106.7200
25.362,112.6064,6.626,106.8296
26.697,114.7368,6.920,106.9388
28.032,114.8750,7.214,107.0476
29.367,115.0156,7.508,107.1559
30.701,113.0921,7.802,107.2639
32.036,118.2108,8.096,107.3715
33.371,117.6630,8.390,107.4786
34.706,112.1714,8.684,107.5853
36.041,116.4653,8.978,107.6916
37.376,113.6528,9.272,107.7975
38.710,115.9096,9.566,107.9030
40.045,116.9448,9.860,108.0080
41.380,120.5198,10.154,108.1126
42.715,117.0249,10.448,108.2168
44.050,114.2589,10.742,108.3206
45.385,112.2660,11.035,108.4239
46.719,112.9915,11.329,108.5268
48.054,115.5122,11.623,108.6293
49.389,114.8868,11.917,108.7314
50.724,115.0260,12.211,108.8330
52.059,114.4881,12.505,108.9341
53.394,114.9717,12.799,109.0349
54.729,116.7964,13.093,109.1351
56.063,115.4276,13.387,109.2350
57.398,115.5118,13.681,109.3344
58.733,116.4676,13.975,109.4333
60.068,112.0895,14.269,109.5319
61.403,112.4173,14.563,109.6299
62.738,114.7342,14.857,109.7276
64.072,112.7255,15.151,109.8247
65.407,115.3949,15.445,109.9214
66.742,114.0757,15.739,110.0177
68.077,114.9896,16.033,110.1135
69.412,114.5916,16.327,110.2089
70.747,108.6154,16.621,110.3038
72.081,110.0121,16.915,110.3982
73.416,115.4703,17.209,110.4922
74.751,112.2248,17.503,110.5857
76.086,112.8303,17.797,110.6787
77.421,113.5870,18.091,110.7713
78.756,114.2154,18.384,110.8635
80.090,114.1005,18.678,110.9551
81.425,109.8028,18.972,111.0463
82.760,113.7813,19.266,111.1370
84.095,112.6214,19.560,111.2273
85.430,111.9302,19.854,111.3170
86.765,114.9631,20.148,111.4063
88.100,110.3918,20.442,111.4952
89.434,110.6639,20.736,111.5835
90.769,111.8515,21.030,111.6714
92.104,111.9062,21.324,111.7588
93.439,111.9814,21.618,111.8457
94.774,110.6246,21.912,111.9321
96.109,111.8575,22.206,112.0181
97.443,111.1196,22.500,112.1035
98.778,109.8959,22.794,112.1885
100.113,111.2905,23.088,112.2730
101.448,107.9839,23.382,112.3570
102.783,110.9237,23.676,112.4405
104.118,112.1239,23.970,112.5235
105.452,110.8627,24.264,112.6060
106.787,113.6906,24.558,112.6880
108.122,113.2421,24.852,112.7696
109.457,110.2068,25.146,112.8506
110.792,111.4419,25.439,112.9312
112.127,113.1089,25.733,113.0112
113.462,110.9473,26.027,113.0907
114.796,111.9425,26.321,113.1698
116.131,112.3230,26.615,113.2483
117.466,112.1645,26.909,113.3264
118.801,111.8452,27.203,113.4039
120.136,111.2444,27.497,113.4809
121.471,110.2241,27.791,113.5574
122.805,111.9610,28.085,113.6335
124.140,111.1849,28.379,113.7090
125.475,111.6441,28.673,113.7839
126.810,110.9370,28.967,113.8584
128.145,112.4325,29.261,113.9324
129.480,113.5664,29.555,114.0058
130.814,113.2114,29.849,114.0788
132.149,112.8818,30.143,114.1512
